city,x,y,country,iso2,admin,capital,population,population_proper
Oslo,1196684.5260276909,8381208.039039528,Norway,NO,Oslo,primary,835000,580000
Bergen,592745.3416557413,8487333.990032429,Norway,NO,Hordaland,admin,213585,187194
Stavanger,640087.0720613231,8173185.830762997,Norway,NO,Rogaland,admin,173132,100866
Trondheim,1159578.0662030966,9203155.61621683,Norway,NO,Sør-Trøndelag,admin,147139,141533
Drammen,1136757.5705904756,8342630.142636313,Norway,NO,Buskerud,admin,90722,80153
Skyer,1077943.6987417021,8223740.701207093,Norway,NO,Telemark,,73330,73330
Kristiansand,890555.9263461885,8002410.863766945,Norway,NO,Vest-Agder,admin,63814,52770
Tomasjorda,2116925.6870252495,10961080.975544058,Norway,NO,Troms,,52436,45365
Ålesund,685000.0338167772,8972122.229932804,Norway,NO,Møre og Romsdal,minor,47772,42982
Sandnes,638231.7101082716,8148036.518686202,Norway,NO,Rogaland,minor,46911,46911
Haugesund,587488.6126615013,8269961.556934755,Norway,NO,Rogaland,minor,40321,32118
Tønsberg,1159732.6889758084,8242424.5187536,Norway,NO,Vestfold,admin,38914,38914
Moss,1187686.2376283982,8275371.976632222,Norway,NO,Østfold,minor,36901,34492
Bodø,1601145.305470088,10237254.651942044,Norway,NO,Nordland,admin,34073,28694
Arendal,975900.9063941952,8064635.533635492,Norway,NO,Aust-Agder,admin,30916,30916
Hamar,1235646.3478053366,8580044.128124397,Norway,NO,Hedmark,admin,29479,29479
Gjøvik,1191118.5514880272,8580044.128124397,Norway,NO,Oppland,minor,22719,17596
Mo i Rana,1577026.1566778726,9964057.15807754,Norway,NO,Nordland,minor,20409,17853
Narvik,1941102.673889267,10577663.174897877,Norway,NO,Nordland,minor,20000,18473
Lillehammer,1168854.6533293726,8656502.910346458,Norway,NO,Oppland,admin,19542,19096
Harstad,1841842.8688115925,10689710.993987687,Norway,NO,Troms,minor,19433,18973
Molde,799644.9717585183,9035160.157358335,Norway,NO,Møre og Romsdal,admin,18594,13749
Alta,2587250.53562683,11057875.214745974,Norway,NO,Finnmark,minor,12077,12077
