city,x,y,country,iso2,admin,capital,population,population_proper
Karachi,7467556.345292536,2864154.157937881,Pakistan,PK,Sindh,admin,12130000,11624219
Lahore,8275892.920253212,3704348.691691497,Pakistan,PK,Punjab,admin,6577000,6310888
Faisalābād,8135599.415035246,3686980.3338013995,Pakistan,PK,Punjab,minor,2617000,2506595
Serai,8052368.280797913,4128513.314902367,Pakistan,PK,Khyber Pakhtunkhwa,,1860310,1860310
Rāwalpindi,8131655.476795932,3974860.72431817,Pakistan,PK,Punjab,minor,1858000,1743101
Multān,7956921.390918889,3528870.397728439,Pakistan,PK,Punjab,minor,1522000,1437230
Gujrānwāla,8258464.852094107,3783761.7299626395,Pakistan,PK,Punjab,minor,1513000,1384471
Hyderābād City,7611713.1934384825,2924573.0355999195,Pakistan,PK,Sindh,minor,1459000,1386330
Peshāwar,7968080.835912441,4029876.2812674176,Pakistan,PK,Khyber Pakhtunkhwa,admin,1303000,1218773
Abbottābād,8149887.382998055,4048463.4994349293,Pakistan,PK,Khyber Pakhtunkhwa,minor,1183647,881000
Islamabad,8132456.53185168,3987252.1684489786,Pakistan,PK,Islāmābād,primary,780000,601600
Quetta,7458562.843631349,3527241.093615002,Pakistan,PK,Balochistān,admin,768000,733675
Bannu,7859456.723949747,3893368.075847779,Pakistan,PK,Khyber Pakhtunkhwa,minor,622419,550000
Bahāwalpur,7979752.127924664,3426656.25037027,Pakistan,PK,Punjab,minor,552607,552607
Sargodha,8089711.071901461,3774290.8810684364,Pakistan,PK,Punjab,minor,542603,542603
Siālkot City,8296087.2777585285,3829005.1783408877,Pakistan,PK,Punjab,minor,477396,477396
Sukkur,7665168.812917412,3211852.312731221,Pakistan,PK,Sindh,minor,417767,417767
Lārkāna,7593329.002172954,3193484.8119387105,Pakistan,PK,Sindh,minor,364033,364033
Sheikhupura,8235230.359295227,3725703.4248252898,Pakistan,PK,Punjab,minor,361303,361303
Mīrpur Khās,7682814.844639489,2940380.4454313656,Pakistan,PK,Sindh,minor,356435,215657
Rahīmyār Khān,7826025.811072164,3301964.555509238,Pakistan,PK,Punjab,,353203,353203
Kohāt,7953698.691660425,3972806.3775048587,Pakistan,PK,Khyber Pakhtunkhwa,minor,343027,151427
Jhang Sadr,8050276.810204891,3667839.0345521183,Pakistan,PK,Punjab,,341210,341210
Gujrāt,8246038.368656346,3838922.090753496,Pakistan,PK,Punjab,minor,301506,301506
Bardār,8016291.414943666,4050809.1517805955,Pakistan,PK,Khyber Pakhtunkhwa,,300424,300424
Kasūr,8287365.061696404,3647765.4003133816,Pakistan,PK,Punjab,minor,290643,290643
Dera Ghāzi Khān,7863026.183422033,3510768.417341802,Pakistan,PK,Punjab,minor,236093,236093
Masīwāla,8133744.164401686,3591691.8322435007,Pakistan,PK,Punjab,,235695,235695
Nawābshāh,7615316.716674951,3029870.824716859,Pakistan,PK,Sindh,minor,229504,229504
Okāra,8175952.730447807,3607846.569630212,Pakistan,PK,Punjab,minor,223648,223648
Gilgit,8272558.344906499,4289620.0337269325,Pakistan,PK,Gilgit-Baltistan,minor,216760,31633
Chiniot,8123972.762138833,3726612.1345404414,Pakistan,PK,Punjab,minor,201781,201781
Sādiqābād,7806907.8017233275,3287637.5348528656,Pakistan,PK,Punjab,,189876,189876
Turbat,7018525.9134042915,2999232.5419009496,Pakistan,PK,Balochistān,minor,147791,75694
Dera Ismāīl Khān,7892818.841382019,3741368.7022174713,Pakistan,PK,Khyber Pakhtunkhwa,minor,101616,31737
Chaman,7397468.480694183,3622064.1004860895,Pakistan,PK,Balochistān,,88568,88568
Zhob,7731061.157227257,3677090.2683827565,Pakistan,PK,Balochistān,minor,88356,50537
Mehra,8150871.558616158,4070883.447961384,Pakistan,PK,Khyber Pakhtunkhwa,,66486,66486
Parachinār,7803371.070181335,4014801.912605104,Pakistan,PK,Federally Administered Tribal Areas,,55685,55685
Gwādar,6938033.016001491,2890691.5397102265,Pakistan,PK,Balochistān,minor,51901,23364
Kundiān,7956996.7542141555,3823548.1599868475,Pakistan,PK,Punjab,,35406,35406
Shahdād Kot,7559349.172886271,3229730.760014733,Pakistan,PK,Sindh,minor,,
Harīpur,8118986.094229259,4028797.5950415297,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Matiāri,7619451.790479959,2949263.7870661984,Pakistan,PK,Sindh,minor,,
Dera Allāhyār,7608773.802284086,3296149.3967566234,Pakistan,PK,Balochistān,minor,,
Lodhrān,7974212.536104318,3444621.989307017,Pakistan,PK,Punjab,minor,,
Batgrām,8129250.419197342,4120429.8691989374,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Thatta,7561212.54984266,2844756.1603038497,Pakistan,PK,Sindh,minor,,
Bāgh,8212716.103601778,4026265.305618069,Pakistan,PK,Azad Kashmir,minor,,
Badīn,7662899.4537781,2833550.146709499,Pakistan,PK,Sindh,minor,,
Mānsehra,8148229.167863197,4073230.778818213,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Ziārat,7539181.9773367075,3552804.789317656,Pakistan,PK,Balochistān,minor,,
Muzaffargarh,7925256.227804271,3512882.22701196,Pakistan,PK,Punjab,minor,,
Tando Allāhyār,7649790.025264322,2932675.667563177,Pakistan,PK,Sindh,minor,,
Dera Murād Jamāli,7594558.637268257,3318059.9164985553,Pakistan,PK,Balochistān,minor,,
Karak,7914096.226213263,3910755.5559825054,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Mardan,8020530.3498335825,4055412.0039979867,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Uthal,7416320.8817379875,2975224.0873665833,Pakistan,PK,Balochistān,minor,,
Nankāna Sāhib,8203937.225918839,3691002.927484941,Pakistan,PK,Punjab,minor,,
Bārkhān,7739552.6079849675,3490410.365394448,Pakistan,PK,Balochistān,minor,,
Hāfizābād,8202626.661553729,3772221.212483848,Pakistan,PK,Punjab,minor,,
Kotli,8226755.606461135,3964311.7105550114,Pakistan,PK,Azad Kashmir,minor,,
Loralai,7636288.75214295,3551265.16800092,Pakistan,PK,Balochistān,minor,,
Dera Bugti,7698688.224790175,3380252.7632059962,Pakistan,PK,Balochistān,minor,,
Jhang City,8051286.923264347,3672511.986606263,Pakistan,PK,Punjab,minor,,
Sāhīwāl,8137454.776988298,3589534.752059357,Pakistan,PK,Punjab,minor,,
Sānghar,7675267.383163705,3004848.4947351986,Pakistan,PK,Sindh,minor,,
Pākpattan,8169363.618468263,3547463.6293645157,Pakistan,PK,Punjab,minor,,
Chakwāl,8110574.5708659375,3886464.0769555992,Pakistan,PK,Punjab,minor,,
Khushāb,8054243.457620326,3802316.089715522,Pakistan,PK,Punjab,minor,,
Ghotki,7716230.3954273425,3249735.31680786,Pakistan,PK,Sindh,minor,,
Kohlu,7709234.855986912,3490253.4511127025,Pakistan,PK,Balochistān,minor,,
Khuzdār,7418705.45655027,3216029.9836095194,Pakistan,PK,Balochistān,minor,,
Awārān,7261530.239234014,3055764.488524153,Pakistan,PK,Balochistān,minor,,
Nowshera,8012914.0929124905,4030927.53788192,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Chārsadda,7986127.506481886,4048721.8916045893,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Qila Abdullāh,7420687.945361807,3597479.4511331855,Pakistan,PK,Balochistān,minor,,
Bahāwalnagar,8154553.896052108,3503377.4716225206,Pakistan,PK,Punjab,minor,,
Dādu,7544889.55026866,3089820.7551188087,Pakistan,PK,Sindh,minor,,
Alīābad,8306153.787991473,4342950.607636412,Pakistan,PK,Gilgit-Baltistan,minor,,
Lakki Marwat,7893822.720549992,3843381.152860539,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Chilās,8249227.115470119,4220130.633956677,Pakistan,PK,Gilgit-Baltistan,minor,,
Pishin,7457744.7566935085,3578551.267706804,Pakistan,PK,Balochistān,minor,,
Tānk,7835016.863704556,3791838.418771769,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Chitrāl,7991220.818463642,4280248.669626255,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Qila Saifullāh,7609782.913468126,3593948.5836656676,Pakistan,PK,Balochistān,minor,,
Shikārpur,7640734.51864676,3243560.737841096,Pakistan,PK,Sindh,minor,,
Panjgūr,7134977.566681608,3119956.592555521,Pakistan,PK,Balochistān,minor,,
Mastung,7441210.02744802,3477823.3974564057,Pakistan,PK,Balochistān,minor,,
Kalāt,7413166.421327379,3379035.7467077198,Pakistan,PK,Balochistān,minor,,
Gandāvā,7512467.414616647,3326507.4620608618,Pakistan,PK,Balochistān,minor,,
Khānewāl,8007447.415358613,3542393.811257312,Pakistan,PK,Punjab,minor,,
Nārowāl,8335974.498463139,3776444.3508962523,Pakistan,PK,Punjab,minor,,
Khairpur,7654517.207440857,3189780.8334347866,Pakistan,PK,Sindh,minor,,
Malakand,8007259.06278019,4105004.7185827456,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Vihāri,8053965.158893341,3507835.209833921,Pakistan,PK,Punjab,minor,,
Saidu Sharif,8054596.897003595,4129491.150230971,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Jhelum,8207699.379429689,3886611.0354706426,Pakistan,PK,Punjab,minor,,
Mandi Bahāuddīn,8181006.412690842,3840617.4437140534,Pakistan,PK,Punjab,minor,,
Bhakkar,7911001.989647174,3714218.376226401,Pakistan,PK,Punjab,minor,,
Toba Tek Singh,8068736.587404666,3629415.33443224,Pakistan,PK,Punjab,minor,,
Jāmshoro,7600913.978317135,2929402.774075245,Pakistan,PK,Sindh,minor,,
Khārān,7281965.269478426,3322878.51578745,Pakistan,PK,Balochistān,minor,,
Umarkot,7763002.837957008,2920221.1194884805,Pakistan,PK,Sindh,minor,,
Hangu,7910307.244705132,3966130.1728318864,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Timargara,7997662.654756865,4140340.9952830467,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Gākuch,8211352.43983956,4324979.714634675,Pakistan,PK,Gilgit-Baltistan,minor,,
Jacobābād,7618440.230267119,3284558.23098532,Pakistan,PK,Sindh,minor,,
Alpūrai,8085419.148933926,4153093.106868154,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Miānwāli,7962280.867803131,3838907.691927285,Pakistan,PK,Punjab,minor,,
Mūsa Khel Bāzār,7772558.391727211,3614508.563238058,Pakistan,PK,Balochistān,minor,,
Naushahro Fīroz,7583378.82080789,3103509.020509317,Pakistan,PK,Sindh,minor,,
New Mīrpur,8210020.279493238,3914940.4080170873,Pakistan,PK,Azad Kashmir,minor,,
Daggar,8068923.71546869,4097632.942638296,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Eidgāh,8332967.0910998685,4211153.312420866,Pakistan,PK,Gilgit-Baltistan,minor,,
Sibi,7556062.019642637,3444939.570956666,Pakistan,PK,Balochistān,minor,,
Dālbandīn,7169660.489872141,3361456.6289281053,Pakistan,PK,Balochistān,minor,,
Rājanpur,7828547.420177615,3388827.528867042,Pakistan,PK,Punjab,minor,,
Leiah,7896898.144122138,3627721.504779569,Pakistan,PK,Punjab,minor,,
Upper Dir,8001288.887169457,4192101.544280485,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Tando Muhammad Khān,7629367.351483388,2890860.8420602744,Pakistan,PK,Sindh,minor,,
Attock City,8055052.305040429,3997519.7294735373,Pakistan,PK,Punjab,minor,,
Rāwala Kot,8210973.063014936,4009726.1298371623,Pakistan,PK,Azad Kashmir,minor,,
Swābi,8067303.460280192,4044950.8365062866,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Kandhkot,7701344.4191599935,3279766.9064204185,Pakistan,PK,Sindh,minor,,
Dasu,8158672.494572478,4203591.23304573,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Athmuqam,8226202.682550365,4105832.6052326667,Pakistan,PK,Azad Kashmir,minor,,
