city,x,y,country,iso2,admin,capital,population,population_proper
Panama City,-8853610.130651861,1002264.3697785648,Panama,PA,Panamá,primary,1281000,408168
Colón,-8894439.448207054,1045996.3651625712,Panama,PA,Colón,admin,204000,136976
David,-9175540.866009941,941533.6877752136,Panama,PA,Chiriquí,admin,110037,82859
Balboa,-8857320.854557963,1000386.0963412059,Panama,PA,Panamá,,62882,62882
Santiago,-9013780.5101874,904747.6382723781,Panama,PA,Veraguas,admin,45955,45355
Puerto Chitré,-8950087.059779197,891590.1936266125,Panama,PA,Herrera,,44082,43966
Penonomé,-8945224.401782364,951243.4717117057,Panama,PA,Coclé,admin,28766,12394
Puerto Armuelles,-9224053.90009765,924098.6858990169,Panama,PA,Chiriquí,minor,27147,18795
Las Tablas,-8936153.421755582,867022.5472484303,Panama,PA,Los Santos,admin,11358,8570
Bocas del Toro,-9155004.980306871,1043911.8486511443,Panama,PA,Bocas del Toro,admin,9883,3085
Almirante,-9172238.90727403,1038883.6058377007,Panama,PA,Bocas del Toro,minor,8114,6771
La Palma,-8698465.158208692,939136.3167261429,Panama,PA,Darién,admin,1845,1845
Jaqué,-8701609.043267677,839575.6850801185,Panama,PA,Darién,minor,1357,553
El Porvenir,-8788162.730346717,1068717.4547240043,Panama,PA,Kuna Yala,admin,10,10
Agua Fría Número Uno,-8704905.547348537,990063.3788728248,Panama,PA,Darién,minor,,
Paredón Arriba,-9038688.134932905,945177.4856453316,Panama,PA,Ngöbe-Buglé,minor,,
Unión Chocó,-8639342.263453478,904587.0723159913,Panama,PA,Emberá-Wounaan,admin,,
La Punta,-9038150.350472882,843693.5865823292,Panama,PA,Veraguas,minor,,
San Lorenzo,-9139457.543625228,927831.2592085886,Panama,PA,Chiriquí,minor,,
Corozal,-8638434.007728096,915706.7165337869,Panama,PA,Emberá-Wounaan,minor,,
Bajos de Güera,-8975139.622501712,842186.7256389732,Panama,PA,Los Santos,minor,,
Breñón,-9218674.942302518,963766.7931421581,Panama,PA,Chiriquí,minor,,
Cabecera de Cerro Puerco,-9101426.575429596,929288.9383135019,Panama,PA,Ngöbe-Buglé,minor,,
El Porvenir,-9109583.845075944,919234.7751104377,Panama,PA,Chiriquí,minor,,
Santa Lucia,-9108842.902545223,919464.7924425872,Panama,PA,Chiriquí,minor,,
La Chorrera,-8881440.00335018,992529.7655997119,Panama,PA,Panamá Oeste,admin,,
Norteño,-9163236.61137307,1006368.2021080238,Panama,PA,,minor,,
Los Llanitos,-8916137.398074517,960722.8438319038,Panama,PA,Panamá Oeste,minor,,
La Trinidad,-8983852.710365592,883861.3813659608,Panama,PA,Herrera,minor,,
Quebrada de Loro,-9120099.195495768,933864.7913934968,Panama,PA,Ngöbe-Buglé,minor,,
Atalaya,-9008560.850583594,898199.8641235791,Panama,PA,Veraguas,minor,,
Cabuya,-8897448.97064065,958117.1498871282,Panama,PA,Panamá Oeste,minor,,
Chacarero,-9194804.592572227,948467.0476730143,Panama,PA,Chiriquí,minor,,
Las Cabras,-8966687.133565778,879483.0958091415,Panama,PA,Herrera,minor,,
Ocú,-8992317.444445513,886777.32108896,Panama,PA,Herrera,minor,,
El Toro,-9002343.323064318,865492.8198744284,Panama,PA,Herrera,minor,,
El Guásimo,-8964549.020106113,871705.2865001807,Panama,PA,Los Santos,minor,,
Leones Arriba,-9030375.017999446,865705.8282981555,Panama,PA,Veraguas,minor,,
El Barrero,-8962730.950182475,885982.4552718076,Panama,PA,Herrera,minor,,
Palenque,-8834694.054859323,1070282.1975612706,Panama,PA,Colón,minor,,
La Mesa,-9037042.832858982,909999.516553734,Panama,PA,Veraguas,minor,,
El Potrero,-8993984.342500651,935854.2115356458,Panama,PA,Veraguas,minor,,
La Mesa,-8974348.140922172,854888.7699157114,Panama,PA,Los Santos,minor,,
Las Uvas,-8905642.641760489,945132.5805981463,Panama,PA,Panamá Oeste,minor,,
Potuga,-8974878.689615292,900565.5753374473,Panama,PA,Herrera,minor,,
Potrero de Caña,-9094694.529223872,926464.0748709536,Panama,PA,,minor,,
El Bebedero,-8956366.592254845,827154.9108520887,Panama,PA,Los Santos,minor,,
Brujas,-8741928.183596566,959314.7699083833,Panama,PA,Panamá,minor,,
Cauchero,-9157847.746143257,1022834.8124382066,Panama,PA,Bocas del Toro,minor,,
Nuario,-8941952.165350495,840711.4643308393,Panama,PA,Los Santos,minor,,
Río Luís,-9040932.558506278,970377.6295784332,Panama,PA,Veraguas,minor,,
