city,x,y,country,iso2,admin,capital,population,population_proper
Asunción,-6413239.540554763,-2911885.786974024,Paraguay,PY,Asunción,primary,1870000,11693
San Lorenzo,-6404581.333199842,-2916742.940838229,Paraguay,PY,Central,,500000,271064
Encarnación,-6219048.922757381,-3164831.402963102,Paraguay,PY,Itapúa,admin,357119,146508
Ciudad del Este,-6079281.068174941,-2938483.5395042296,Paraguay,PY,Alto Paraná,admin,320872,320872
Pedro Juan Caballero,-6204206.249771951,-2577353.8617186598,Paraguay,PY,Amambay,admin,102787,29271
Coronel Oviedo,-6282903.0071908,-2930434.074346346,Paraguay,PY,Caaguazú,admin,88101,51286
Concepción,-6394222.497984074,-2681138.0138242813,Paraguay,PY,Concepción,admin,59118,48123
Villarrica,-6283830.632507581,-2971927.1522735055,Paraguay,PY,Guairá,admin,41157,41157
Itá,-6384172.79699424,-2935228.9715214297,Paraguay,PY,Central,,41090,18459
Ypacarai,-6374896.209867964,-2922902.397878802,Paraguay,PY,Central,,30150,17461
Pilar,-6489926.313247849,-3106476.745824829,Paraguay,PY,Ñeembucú,admin,28435,28435
Caacupé,-6360826.650746092,-2923244.6920508696,Paraguay,PY,Cordillera,admin,21696,21696
Paraguarí,-6361599.653290161,-2952194.7711822432,Paraguay,PY,Paraguarí,admin,18881,10079
Bella Vista,-6291406.591773008,-2527540.997997114,Paraguay,PY,Amambay,,16852,5653
Horqueta,-6351859.19784575,-2673524.810088634,Paraguay,PY,Concepción,,16171,10531
Villa Hayes,-6403499.0851103505,-2887178.7926079067,Paraguay,PY,Presidente Hayes,admin,15643,15643
Coronel Bogado,-6267287.331661302,-3146395.515987937,Paraguay,PY,Itapúa,,14297,14297
Belén,-6374370.447912947,-2688485.052121075,Paraguay,PY,Concepción,,11359,1621
Filadelfia,-6682880.060183027,-2553599.116829467,Paraguay,PY,Boquerón,admin,10470,8048
San Juan Bautista,-6361445.03051745,-3082233.498845755,Paraguay,PY,Misiones,admin,7882,7882
Caazapá,-6274863.290926729,-3023355.9855707483,Paraguay,PY,Caazapá,admin,5504,5504
Hohenau,-6206061.611725002,-3133886.9695945433,Paraguay,PY,Itapúa,,5306,5306
Puerto Rosario,-6354487.56234287,-2808339.2316463757,Paraguay,PY,San Pedro,,5123,2155
Puerto La Victoria,-6447253.878883591,-2551593.175960719,Paraguay,PY,Alto Paraguay,,5000,5000
Arroyos y Esteros,-6356342.924295921,-2883935.3872739053,Paraguay,PY,Cordillera,,3055,2455
Abaí,-6226470.147930604,-3003209.9642971903,Paraguay,PY,Caazapá,,3024,2553
Ygatimí,-6178231.739026683,-2763565.8909786935,Paraguay,PY,Canindeyú,,2809,2809
Mariscal Estigarribia,-6749671.7546589915,-2515527.730075625,Paraguay,PY,Boquerón,,2500,2000
Fuerte Olimpo,-6442460.906887995,-2396681.957604108,Paraguay,PY,Alto Paraguay,admin,2475,2475
Pozo Colorado,-6564139.344216528,-2688552.5262877326,Paraguay,PY,Presidente Hayes,,2135,2135
Ñacunday,-6096597.48288478,-3001145.369261283,Paraguay,PY,Alto Paraná,,1250,1120
Capitán Pablo Lagerenza,-6766369.6782779815,-2263161.597722939,Paraguay,PY,Alto Paraguay,,1200,1200
Ypé Jhú,-6159678.453454641,-2741227.3998925807,Paraguay,PY,Canindeyú,,600,596
Puerto Pinasco,-6437977.180437825,-2597790.0761376983,Paraguay,PY,Presidente Hayes,,500,447
Salto del Guairá,-6045421.352618824,-2761025.8579488844,Paraguay,PY,Canindeyú,admin,,
San Pedro de Ycuamandiyú,-6353714.559798801,-2764582.117313374,Paraguay,PY,San Pedro,admin,,
Areguá,-6388038.032353563,-2914177.2927103285,Paraguay,PY,Central,admin,,
