city,x,y,country,iso2,admin,capital,population,population_proper
Lima,-8577166.76562173,-1351399.2586692427,Peru,PE,Lima,primary,8012000,6758234
Callao,-8584752.521002345,-1352148.8225573215,Peru,PE,Callao,admin,876877,695586
Arequipa,-7963239.7738968255,-1850962.8912989642,Peru,PE,Arequipa,admin,815000,736570
Trujillo,-8797084.653575324,-906049.5028990594,Peru,PE,La Libertad,admin,765171,276921
Chilape,-8887225.165967215,-750858.2142207396,Peru,PE,Lambayeque,,596792,577375
Iquitos,-8154578.8316180445,-417648.8323857438,Peru,PE,Loreto,admin,458729,437620
Huancayo,-8371766.831698919,-1353121.860196753,Peru,PE,Junín,admin,412733,376657
Piura,-8976004.574945176,-579041.8678695428,Peru,PE,Piura,admin,396932,325466
Cusco,-8011368.087824351,-1519506.7991578379,Peru,PE,Cusco,admin,361182,312140
Chimbote,-8748768.209708357,-1013657.9112972764,Peru,PE,Ancash,,349846,316966
Pucallpa,-8297651.650562647,-936821.3312281895,Peru,PE,Ucayali,admin,310750,299084
Tacna,-7820008.658636317,-2038198.8750149093,Peru,PE,Tacna,,280098,241987
Ica,-8430070.415001895,-1581992.5419845004,Peru,PE,Ica,admin,279420,246844
Juliaca,-7806882.420879428,-1745704.0314027756,Peru,PE,Puno,,245675,223181
Ayacucho,-8259546.543586146,-1471783.3966198666,Peru,PE,Ayacucho,,166314,140033
Sullana,-8981971.188332204,-546212.1891544568,Peru,PE,Piura,,160789,68204
Huánuco,-8487245.997904664,-1111047.9796966438,Peru,PE,Huánuco,admin,158145,147959
Chincha Alta,-8474741.479503855,-1506936.9249214646,Peru,PE,Ica,,153076,124140
Cajamarca,-8739688.546761295,-799542.1710540003,Peru,PE,Cajamarca,admin,142665,135000
Cerro de Pasco,-8488854.67586612,-1194418.8441439862,Peru,PE,Pasco,admin,137232,78910
Puno,-7794579.502076444,-1786456.0624304055,Peru,PE,Puno,admin,116552,106148
Tumbes,-8955823.353139773,-397326.6783636484,Peru,PE,Tumbes,admin,109223,102343
Talara,-9046832.04624036,-510072.8450099952,Peru,PE,Piura,,99074,50447
Chosica,-8537475.133262442,-1337924.5788126204,Peru,PE,Lima,,88606,539
Huaraz,-8630352.546654977,-1065550.6850852338,Peru,PE,Ancash,admin,86934,63039
Pisco,-8482595.06957932,-1540627.3878724063,Peru,PE,Ica,,81207,61869
Huacho,-8638949.083011996,-1244205.3584402704,Peru,PE,Lima,,80474,54545
Chulucanas,-8923911.506033555,-568171.9016642259,Peru,PE,Piura,,68835,52035
Puerto Maldonado,-7702098.497390626,-1413306.5341710506,Peru,PE,Madre de Dios,admin,67155,37543
Paita,-9029736.266761273,-567193.6601931775,Peru,PE,Piura,,56151,39632
Abancay,-8113119.11178649,-1532246.7288178848,Peru,PE,Apurímac,admin,55111,52851
Moquegua,-7896522.440840712,-1943923.03961808,Peru,PE,Moquegua,admin,54517,22703
Ilo,-7941474.141778961,-1995469.0415064828,Peru,PE,Moquegua,,53476,52908
Tingo María,-8460324.158292746,-1039816.2426330844,Peru,PE,Huánuco,,53177,19100
Jaén,-8772808.54430109,-636586.0390276761,Peru,PE,Cajamarca,,52493,45849
Tarma,-8425403.345350387,-1279430.5575925475,Peru,PE,Junín,,51350,462
Ferreñafe,-8881973.668989044,-740290.4392801272,Peru,PE,Lambayeque,,50184,34357
Mollendo,-8016520.065177756,-1923102.9894895037,Peru,PE,Arequipa,,49033,28953
Moyobamba,-8568448.000463817,-672964.685132923,Peru,PE,San Martín,admin,47734,44276
Huancavelica,-8345918.445936721,-1434907.0152438707,Peru,PE,Huancavelica,admin,44388,41576
Hualmay,-8639938.824604638,-1242976.6663098147,Peru,PE,Lima,,40400,20723
Pacasmayo,-8857429.72501996,-826402.6829884582,Peru,PE,La Libertad,,39282,29165
Juanjuí,-8541292.501240725,-801034.5024010388,Peru,PE,San Martín,,37715,16990
Sicuani,-7928952.2575375885,-1605332.1054000866,Peru,PE,Cusco,,33575,8274
Forbe Oroya,-8449136.660787513,-1291154.7103568895,Peru,PE,Junín,,33345,33345
Pativilca,-8657841.781711467,-1197502.83922665,Peru,PE,Lima,,31905,13583
Huamachuco,-8688166.21287897,-872454.626481391,Peru,PE,La Libertad,,30835,21768
Casma,-8716115.531390911,-1059465.0856961233,Peru,PE,Ancash,,30000,24842
Tocache Viejo,-8521879.383921795,-914887.0519037034,Peru,PE,San Martín,,29029,2616
Chancay,-8601330.553529752,-1295692.7722934473,Peru,PE,Lima,,26958,10244
Chachapoyas,-8668540.586652117,-694953.1101854189,Peru,PE,Amazonas,,25978,20279
Nazca,-8341795.728595192,-1668979.3178940993,Peru,PE,Ica,,23556,23218
Sechura,-8996931.971297367,-619122.7870096226,Peru,PE,Piura,,23020,8602
Jauja,-8404289.488851117,-1320351.4865756799,Peru,PE,Junín,,21057,21057
Camaná,-8094101.512618348,-1877071.155667265,Peru,PE,Arequipa,,20956,16434
Ayaviri,-7857944.559986811,-1675262.0210960193,Peru,PE,Puno,,19310,5739
Contamana,-8350048.8443231145,-820301.3140388285,Peru,PE,Loreto,minor,18921,13885
Huantachaca,-8264001.994885656,-1453383.2116191129,Peru,PE,Ayacucho,,18627,12442
Requena,-8221074.861526463,-563850.4389509229,Peru,PE,Loreto,,18000,16195
Huarmey,-8699640.80335096,-1126442.061514869,Peru,PE,Ancash,,16172,2196
Ilave,-7752156.979969018,-1814641.67678491,Peru,PE,Puno,,16033,16033
Puerto Pimentel,-8898111.655569345,-762383.2584749733,Peru,PE,Lambayeque,,15552,13293
Satipo,-8308700.1100238785,-1260909.3808391092,Peru,PE,Junín,,15532,15532
Junín,-8459506.40531338,-1250136.64364867,Peru,PE,Junín,,15320,7670
San Jacinto,-8391567.34084581,-1247361.528666362,Peru,PE,Junín,,14708,6490
Chota,-8755200.472525375,-732031.5965752774,Peru,PE,Cajamarca,,14240,12664
Lamas,-8517802.752849454,-716231.8111454316,Peru,PE,San Martín,,13693,12503
Motupe,-8873848.348036552,-686233.5749119365,Peru,PE,Lambayeque,,13681,4415
Cajabamba,-8686648.482941495,-851031.1505980593,Peru,PE,Cajamarca,,13486,10587
Chilca,-8542069.39996697,-1404042.6112390007,Peru,PE,Lima,,12884,228
Puquio,-8251355.655453577,-1653664.9357428048,Peru,PE,Ayacucho,,10491,7564
Santiago,-8428136.127529873,-1595414.4493054294,Peru,PE,Ica,,10449,10449
Otuzco,-8745594.49102584,-882806.3878364727,Peru,PE,La Libertad,,10134,7375
Salaverry,-8791459.234427577,-917764.7168176601,Peru,PE,La Libertad,,10066,4390
Olmos,-8877356.35914992,-667927.8308918466,Peru,PE,Lambayeque,,9800,5359
Putina,-7729237.521329083,-1744164.841096884,Peru,PE,Puno,,8118,8118
Urubamba,-8027928.531872213,-1494679.0152315784,Peru,PE,Cusco,,7540,4430
Coracora,-8213126.983842296,-1690739.5340966883,Peru,PE,Ayacucho,,7420,5447
Desaguadero,-7685652.044501338,-1870182.4521280874,Peru,PE,Puno,,5329,4911
Santo Tomás,-8024124.076954863,-1625956.4046843431,Peru,PE,Cusco,,4134,3257
Caballococha,-7849779.9432540685,-435615.9602652045,Peru,PE,Loreto,,3195,3195
Tarapoto,-8500683.930235775,-724199.269754673,Peru,PE,San Martín,,936,936
Tournavista,-8315953.688043969,-998481.4276528454,Peru,PE,Huánuco,,511,511
Güeppí,-8376691.494652122,-13049.102453146403,Peru,PE,Loreto,,10,10
Soldado Bartra,-8430709.945476504,-281207.506596907,Peru,PE,Loreto,,10,10
Andoas,-8504823.345500922,-323548.7359448581,Peru,PE,Loreto,,10,10
Puca Urco,-8006113.028622474,-259208.4032982837,Peru,PE,Loreto,,10,10
Ayacucho,-8262489.942242211,-1477878.5711816305,Peru,PE,Ayacucho,admin,,
Chiclayo,-8887845.660808897,-755546.5424834007,Peru,PE,Lambayeque,admin,,
