city,x,y,country,iso2,admin,capital,population,population_proper
Barilan,13469658.385986103,1646975.1858720183,Philippines,PH,Quezon,,11100000,3077575
Quezon City,13475324.548067478,1648758.5466982601,Philippines,PH,Quezon,admin,2761720,2761720
Davao,13983150.484088518,789376.48866854,Philippines,PH,Davao,admin,1402000,1212504
Cagayan de Oro,13875201.524837483,947579.6921589503,Philippines,PH,Cagayan de Oro,admin,1121561,602088
General Santos,13934046.232185205,681765.9137875567,Philippines,PH,General Santos,admin,950530,538086
Bacolod,13687098.747352604,1194443.9916790174,Philippines,PH,Bacolod,admin,949354,511820
Cebu City,13791557.283969816,1154073.9773667871,Philippines,PH,Cebu,admin,815000,798634
Zamboanga City,13588961.154061615,771117.7842341193,Philippines,PH,Zamboanga,admin,773000,457623
Dinaga,13710850.653144691,1534092.2622222137,Philippines,PH,Camarines Sur,,741635,174931
Iligan,13829900.614656612,919419.9136620439,Philippines,PH,Iligan,admin,464599,464599
Baguio City,13424128.491612673,1853082.5785917433,Philippines,PH,Baguio,admin,447824,272714
Bulagang,13469144.86917507,1552666.896193157,Philippines,PH,Batangas,,424508,237370
Pasay City,13469192.847875604,1636886.0334874974,Philippines,PH,Pasay,admin,403064,403064
Bulilao,13644058.958668726,1198103.0405602609,Philippines,PH,Iloilo,,387681,387681
Legazpi City,13774150.589152943,1475582.866209142,Philippines,PH,Albay,admin,320081,320081
Angeles City,13423890.267902372,1706141.7870911714,Philippines,PH,Angeles,admin,314493,314493
Olongapo,13390078.085768826,1670641.8290037827,Philippines,PH,Olongapo,admin,304388,227270
Cadiz,13724357.38092111,1226040.2897728123,Philippines,PH,Negros Occidental,,283157,129053
Tacloban,13915461.999794722,1259712.979252444,Philippines,PH,Tacloban,admin,280006,189090
Cotabato,13831044.756382987,806267.487957289,Philippines,PH,Cotabato,admin,279519,179433
San Ignacio,13508019.082513465,1579540.4368825783,Philippines,PH,Laguna,,240830,207577
Cabanatuan City,13465926.511376748,1745258.4934745769,Philippines,PH,Nueva Ecija,,220250,220250
Lagui,13428781.868966812,2060889.4985667693,Philippines,PH,Ilocos Norte,,207048,102105
Butuan,13975450.848868819,1000292.2243714217,Philippines,PH,Butuan,admin,190557,190557
Tarlac City,13424901.27151776,1744600.7713113718,Philippines,PH,Tarlac,admin,183930,183930
Dagupan City,13396154.126215303,1809760.8589145197,Philippines,PH,Dagupan,admin,163676,163676
Pagadian,13740943.98504931,873874.2366486641,Philippines,PH,Zamboanga del Sur,admin,159590,159590
Puerto Princesa,13217550.686157778,1089417.9795221137,Philippines,PH,Puerto Princesa,admin,157144,138620
Tuguegarao,13550125.56858653,1992623.9232409855,Philippines,PH,Cagayan,admin,115105,115105
Roxas City,13664591.170828601,1298546.2358012397,Philippines,PH,Capiz,admin,102688,81073
Misamis,13786640.636019947,912390.5862040421,Philippines,PH,Misamis Occidental,,97806,93082
Surigao,13970039.497101868,1095046.9021997603,Philippines,PH,Surigao del Norte,admin,87832,42134
Cagbanayacao,13868553.190888837,1353296.482073642,Philippines,PH,Samar,,67921,42109
Vigan,13401305.435651762,1987448.609964258,Philippines,PH,Ilocos Sur,admin,48545,48545
Tagum,14005033.780908149,831395.5979002899,Philippines,PH,Davao del Norte,admin,6726,6726
San Carlos,13739084.949553061,1173641.2107842364,Philippines,PH,Negros Occidental,,6353,6353
Gingoog,13926037.351420082,986615.0100077505,Philippines,PH,Misamis Oriental,,218,218
Mamburao,13424685.311705621,1485255.3210285122,Philippines,PH,Occidental Mindoro,admin,,
Roseller Lim,13632979.329750072,854815.6490487567,Philippines,PH,Zamboanga Sibugay,minor,,
Agdangan,13571299.092332864,1560120.4255492038,Philippines,PH,Quezon,minor,,
Bongao,13333075.60467424,560564.5880451284,Philippines,PH,Tawi-Tawi,admin,,
San Jose,13978202.88932021,1139242.2651191696,Philippines,PH,Dinagat Islands,admin,,
Alabel,13947272.212205844,680535.9772626869,Philippines,PH,Sarangani,admin,,
Siquijor,13749626.905331185,1030170.1305903277,Philippines,PH,Siquijor,admin,,
Marikina City,13482103.459778827,1647904.8188862395,Philippines,PH,Marikina,admin,,
Antipolo,13489217.220518481,1641832.908266425,Philippines,PH,Rizal,admin,,
Naga City,13712791.28582769,1531022.3611563507,Philippines,PH,Naga,admin,,
Bontoc,13467209.357188648,1931292.4435771138,Philippines,PH,Mountain,admin,,
Argao,13759166.317775225,1105490.8827550956,Philippines,PH,Cebu,minor,,
Sikatuna,13800609.339683162,1083909.8294166145,Philippines,PH,Bohol,minor,,
Candelaria,13516783.59998209,1566314.2758726468,Philippines,PH,Quezon,minor,,
Lapu-Lapu City,13797988.990189377,1153979.726230295,Philippines,PH,Lapu-Lapu,admin,,
Hinatuan,14063567.795557069,934954.2861875948,Philippines,PH,Surigao del Sur,minor,,
Iloilo,13643811.495440694,1197756.8302819359,Philippines,PH,Iloilo,admin,,
Virac,13830044.105480246,1526624.3032689458,Philippines,PH,Catanduanes,admin,,
Dauis,13788681.45624466,1076556.7120724209,Philippines,PH,Bohol,minor,,
Baler,13532075.22447389,1776818.7843217328,Philippines,PH,Aurora,admin,,
Ipil,13646223.454847712,869238.6951549329,Philippines,PH,Zamboanga Sibugay,admin,,
Kalibo,13621587.227020761,1312562.9830862007,Philippines,PH,Aklan,admin,,
Tiaong,13505415.54226279,1570067.4143504295,Philippines,PH,Quezon,minor,,
Mandaue City,13797333.763666568,1155494.2239643026,Philippines,PH,Mandaue,admin,,
Bayombong,13486322.913757855,1860516.2879894583,Philippines,PH,Nueva Vizcaya,admin,,
Navotas,13465102.413186407,1648629.2200352992,Philippines,PH,Navotas,admin,,
Monkayo,14032092.877452215,872894.8650870732,Philippines,PH,Compostela Valley,minor,,
Catarman,13874605.297644792,1402539.7657334763,Philippines,PH,Northern Samar,admin,,
Batangas,13476159.44424843,1546318.0577703454,Philippines,PH,Batangas,admin,,
Ilagan,13568648.575257078,1938122.7278788076,Philippines,PH,Isabela,admin,,
Cabarroguis,13527675.432919776,1863982.2842213225,Philippines,PH,Quirino,admin,,
Madridejos,13730836.17528528,1095290.566740979,Philippines,PH,Cebu,minor,,
Kabugao,13490141.506250536,2040254.4092841116,Philippines,PH,Apayao,admin,,
Tagbilaran City,13787162.390473297,1079976.3140284524,Philippines,PH,Bohol,minor,,
Naval,13847610.321127424,1295810.2601224144,Philippines,PH,Biliran,admin,,
Santa Cruz,13501198.871271033,1587604.8559987918,Philippines,PH,Laguna,admin,,
Digos,13954702.12029935,753119.6004892782,Philippines,PH,Davao del Sur,admin,,
San Juan,13473365.325029518,1643144.2622949244,Philippines,PH,San Juan,admin,,
Mandaluyong City,13474211.353159547,1641211.7642737874,Philippines,PH,Mandaluyong,admin,,
Maasin,13897650.881267799,1133996.0507942513,Philippines,PH,Southern Leyte,admin,,
