city,x,y,country,iso2,admin,capital,population,population_proper
Katowice,2118136.6204460985,6491149.626662521,Poland,PL,Śląskie,admin,2746000,308724
Warsaw,2337709.3066587453,6845455.502518217,Poland,PL,Mazowieckie,primary,1707000,1702139
Łódź,2167019.4578822227,6755047.8630344495,Poland,PL,Łódzkie,admin,758000,758000
Kraków,2224187.471059617,6456245.164506317,Poland,PL,Małopolskie,admin,756000,755050
Gdańsk,2077031.4531927188,7238795.349136107,Poland,PL,Pomorskie,admin,740000,455830
Bytom,2107592.1043196875,6506765.8288686685,Poland,PL,Śląskie,minor,662247,189186
Wrocław,1896141.9560722627,6639001.663761313,Poland,PL,Dolnośląskie,admin,634893,610049
Poznań,1888720.7308990387,6875817.681506911,Poland,PL,Wielkopolskie,admin,623997,570352
Gliwice,2079067.70931831,6497977.420312495,Poland,PL,Śląskie,minor,507670,198835
Szczecin,1624584.514812538,7064716.725349579,Poland,PL,Zachodniopomorskie,admin,407811,372672
Bydgoszcz,2005975.7769414096,7006535.622501875,Poland,PL,Kujawsko-Pomorskie,admin,366452,365992
Lublin,2512109.8793413704,6665635.539174074,Poland,PL,Lubelskie,admin,360044,355958
Gdynia,2064976.5542152247,7265424.818544564,Poland,PL,Pomorskie,minor,314664,253730
Białystok,2577046.211864283,7007699.099291904,Poland,PL,Podlaskie,admin,291855,285590
Rzeszów,2449579.7176119545,6452728.692446388,Poland,PL,Podkarpackie,admin,245686,158382
Kielce,2296550.706049785,6598980.579990155,Poland,PL,Świętokrzyskie,admin,215733,208598
Olsztyn,2281399.678074857,7128590.930522858,Poland,PL,Warmińsko-Mazurskie,admin,186670,171803
Opole,1995438.0513039366,6563498.325466563,Poland,PL,Opolskie,admin,131412,127676
Elbląg,2160582.2970076106,7199034.009813618,Poland,PL,Warmińsko-Mazurskie,minor,127558,121106
Zielona Góra,1726094.6433965992,6789165.673918661,Poland,PL,Lubuskie,admin,118433,109298
Koszalin,1801696.607651906,7206905.319813292,Poland,PL,Zachodniopomorskie,minor,107450,107450
Twierdza Grudziadz,2087240.4523738795,7076025.276180581,Poland,PL,Kujawsko-Pomorskie,,102443,99486
Inowrocław,2033125.264911999,6945878.415797064,Poland,PL,Kujawsko-Pomorskie,minor,79007,77597
Ełk,2489706.7204997335,7137361.557873027,Poland,PL,Warmińsko-Mazurskie,minor,55769,46856
Nakło nad Notecią,1959554.3247662159,7009284.008924791,Poland,PL,Kujawsko-Pomorskie,minor,,
Ustrzyki Dolne,2514124.094207784,6348287.72795091,Poland,PL,Podkarpackie,minor,,
Sępólno Krajeńskie,1952524.4989226207,7067055.884114357,Poland,PL,Kujawsko-Pomorskie,minor,,
Gorlice,2355486.250101995,6387271.231814892,Poland,PL,Małopolskie,minor,,
Nowy Targ,2229640.901594089,6356288.52018205,Poland,PL,Małopolskie,minor,,
Nowy Tomyśl,1795987.3649275915,6857552.086088204,Poland,PL,Wielkopolskie,minor,,
Łask,2128994.612258584,6725977.291964771,Poland,PL,Łódzkie,minor,,
Bolesławiec,1733211.409762504,6668158.3521929225,Poland,PL,Dolnośląskie,minor,,
Olecko,2505622.1794179385,7177058.910661084,Poland,PL,Warmińsko-Mazurskie,minor,,
Biała Podlaska,2573864.47817843,6805785.066229159,Poland,PL,Lubelskie,minor,,
Polkowice,1789196.2080722572,6711324.279888541,Poland,PL,Dolnośląskie,minor,,
Nisko,2465132.163670683,6536561.446598953,Poland,PL,Podkarpackie,minor,,
Brzozów,2451276.226651644,6393695.980734108,Poland,PL,Podkarpackie,minor,,
Ruda Śląska,2098946.364747737,6499777.583242225,Poland,PL,Śląskie,minor,,
Bełchatów,2156757.804581917,6686381.717625418,Poland,PL,Łódzkie,minor,,
Brodnica,2159598.1213895073,7029375.702543041,Poland,PL,Kujawsko-Pomorskie,minor,,
Tychy,2111331.103376452,6470064.72376934,Poland,PL,Śląskie,minor,,
Oborniki,1871732.70868704,6918039.835404402,Poland,PL,Wielkopolskie,minor,,
Choszczno,1716606.3265988345,7014329.203428848,Poland,PL,Zachodniopomorskie,minor,,
Lesko,2485742.188154622,6355183.699806544,Poland,PL,Podkarpackie,minor,,
Będzin,2131239.36979043,6501828.317741059,Poland,PL,Śląskie,minor,,
Hrubieszów,2659701.824334215,6586876.04339514,Poland,PL,Lubelskie,minor,,
Sztum,2118532.4725553594,7155070.445512954,Poland,PL,Pomorskie,minor,,
Świętochłowice,2105572.991395679,6497078.792252245,Poland,PL,Śląskie,minor,,
Strzelin,1899822.8463548333,6583167.001172965,Poland,PL,Dolnośląskie,minor,,
Zwoleń,2402572.7249151883,6684491.594506812,Poland,PL,Mazowieckie,minor,,
Głogów,1789537.4023115383,6739424.070297182,Poland,PL,Dolnośląskie,minor,,
Grodzisk Mazowiecki,2295757.5546778827,6819383.950378809,Poland,PL,Mazowieckie,minor,,
Pruszków,2316886.7732668817,6829580.6367672775,Poland,PL,Mazowieckie,minor,,
Radomsko,2165656.5733564403,6633109.351955273,Poland,PL,Łódzkie,minor,,
Police,1620278.7882281449,7083900.974902031,Poland,PL,Zachodniopomorskie,minor,,
Rypin,2161342.0525322747,6995491.32862473,Poland,PL,Kujawsko-Pomorskie,minor,,
Ożarów Mazowiecki,2321011.383039754,6842425.510386318,Poland,PL,Mazowieckie,minor,,
Wodzisław Śląski,2054409.4402321824,6448178.12044768,Poland,PL,Śląskie,minor,,
Zabrze,2090951.0649604916,6499501.145946188,Poland,PL,Śląskie,minor,,
Pajęczno,2114637.9601699566,6646892.415523036,Poland,PL,Łódzkie,minor,,
Sokółka,2616261.6194419563,7058668.386777816,Poland,PL,Podlaskie,minor,,
Ostrzeszów,1995967.820760622,6696936.439453231,Poland,PL,Wielkopolskie,minor,,
Pszczyna,2109206.348255681,6442204.106544892,Poland,PL,Śląskie,minor,,
Jarocin,1947954.4998670842,6794840.213122496,Poland,PL,Wielkopolskie,minor,,
Lubań,1701816.530371531,6642573.20693627,Poland,PL,Dolnośląskie,minor,,
Lubaczów,2573976.576905659,6473980.357426236,Poland,PL,Podkarpackie,minor,,
Bielsko-Biała,2120287.0903692427,6415583.725609937,Poland,PL,Śląskie,minor,,
Kamień Pomorski,1644504.3584535588,7164277.230432356,Poland,PL,Zachodniopomorskie,minor,,
Szydłowiec,2321964.945797889,6661166.007386727,Poland,PL,Mazowieckie,minor,,
Żagań,1704832.2866966117,6730953.787499592,Poland,PL,Lubuskie,minor,,
Cieszyn,2074560.3831360897,6402461.737666109,Poland,PL,Śląskie,minor,,
Jaworzno,2145133.489394811,6482032.488127458,Poland,PL,Śląskie,minor,,
Lidzbark Warmiński,2290740.273908339,7194565.840852146,Poland,PL,Warmińsko-Mazurskie,minor,,
Węgrów,2450884.1594050704,6873133.49390467,Poland,PL,Mazowieckie,minor,,
Czarnków,1843910.0717556234,6964917.681586493,Poland,PL,Wielkopolskie,minor,,
Wieruszów,2021271.0749764054,6674206.453892101,Poland,PL,Łódzkie,minor,,
Kętrzyn,2378962.4175153887,7185187.764416785,Poland,PL,Warmińsko-Mazurskie,minor,,
Stargard Szczeciński,1675596.0035516107,7046466.361582902,Poland,PL,Zachodniopomorskie,minor,,
Wadowice,2169782.6302826935,6426225.725317556,Poland,PL,Małopolskie,minor,,
Gniezno,1960476.718066929,6898257.0488669025,Poland,PL,Wielkopolskie,minor,,
Słupca,1989624.5022167484,6852796.047713552,Poland,PL,Wielkopolskie,minor,,
Opatów,2384845.763923304,6586159.675823289,Poland,PL,Świętokrzyskie,minor,,
Wejherowo,2029968.132833611,7285619.554764037,Poland,PL,Pomorskie,minor,,
Łęczna,2547350.0679028155,6675349.696272616,Poland,PL,Lubelskie,minor,,
Białobrzegi,2332173.2770621045,6736484.068223077,Poland,PL,Mazowieckie,minor,,
Olkusz,2177761.232146319,6494762.533974505,Poland,PL,Małopolskie,minor,,
Zamość,2589361.3758112527,6572736.366559046,Poland,PL,Lubelskie,minor,,
Lipno,2135392.9226309084,6954410.492363703,Poland,PL,Kujawsko-Pomorskie,minor,,
Łańcut,2474515.9514665925,6458093.533404096,Poland,PL,Podkarpackie,minor,,
Parczew,2550156.8775436776,6735810.089952353,Poland,PL,Lubelskie,minor,,
Limanowa,2273416.73475109,6395192.821364953,Poland,PL,Małopolskie,minor,,
Tarnowskie Góry,2098535.2618682375,6524321.548743545,Poland,PL,Śląskie,minor,,
Kłobuck,2108061.20465389,6604149.918109211,Poland,PL,Śląskie,minor,,
Pyrzyce,1657869.7104766716,7009984.24557272,Poland,PL,Zachodniopomorskie,minor,,
Tuchola,1988231.7840674338,7092260.254565495,Poland,PL,Kujawsko-Pomorskie,minor,,
Starachowice,2347535.81206954,6630481.850801843,Poland,PL,Świętokrzyskie,minor,,
Kartuzy,2026014.732437579,7233540.04374152,Poland,PL,Pomorskie,minor,,
Lubartów,2516683.663259594,6703585.330633995,Poland,PL,Lubelskie,minor,,
Sanok,2471621.199428004,6370242.608386201,Poland,PL,Podkarpackie,minor,,
Wysokie Mazowieckie,2505962.2604623116,6967672.638235443,Poland,PL,Podlaskie,minor,,
Nowy Dwór Gdański,2128174.1876114374,7210609.113776852,Poland,PL,Pomorskie,minor,,
Nowy Dwór Mazowiecki,2306078.4299472906,6878316.537792758,Poland,PL,Mazowieckie,minor,,
Piła,1864164.4304664778,7011719.7910516765,Poland,PL,Wielkopolskie,minor,,
Nowe Miasto Lubawskie,2181028.4592011017,7061570.835132913,Poland,PL,Warmińsko-Mazurskie,minor,,
Żyrardów,2275531.916395653,6810147.241802178,Poland,PL,Mazowieckie,minor,,
Sucha Beskidzka,2180431.341452487,6400954.638458231,Poland,PL,Małopolskie,minor,,
Gostyń,1893795.5638453222,6778901.996202383,Poland,PL,Wielkopolskie,minor,,
Chełm,2614061.167067445,6645355.915589424,Poland,PL,Lubelskie,minor,,
Sochaczew,2254219.6885637897,6842425.510386318,Poland,PL,Mazowieckie,minor,,
Leżajsk,2495921.2423927584,6491448.596183039,Poland,PL,Podkarpackie,minor,,
Mogilno,1998926.4701869257,6920443.390075451,Poland,PL,Kujawsko-Pomorskie,minor,,
Sierpc,2189534.93809007,6955826.691900023,Poland,PL,Mazowieckie,minor,,
Ryki,2441627.943745609,6732417.187671731,Poland,PL,Lubelskie,minor,,
Racibórz,2026844.6192414428,6461975.595454425,Poland,PL,Śląskie,minor,,
Staszów,2356485.1198928836,6544428.1070086835,Poland,PL,Świętokrzyskie,minor,,
Chełmno,2051989.2431828459,7048002.689099367,Poland,PL,Kujawsko-Pomorskie,minor,,
Dąbrowa Górnicza,2140048.3037358834,6502961.808593916,Poland,PL,Śląskie,minor,,
Garwolin,2406103.111246206,6781592.3897236595,Poland,PL,Mazowieckie,minor,,
Krasnystaw,2579574.834097652,6618645.77647086,Poland,PL,Lubelskie,minor,,
Kozienice,2398928.0134671256,6725182.718022208,Poland,PL,Mazowieckie,minor,,
Mysłowice,2130780.065571417,6487284.017533114,Poland,PL,Śląskie,minor,,
Zgorzelec,1670776.3148782253,6648519.361486843,Poland,PL,Dolnośląskie,minor,,
Słupsk,1895487.8427443614,7259247.108496632,Poland,PL,Pomorskie,minor,,
Turek,2060032.8556290956,6803330.453802558,Poland,PL,Wielkopolskie,minor,,
Żnin,1972211.4621889016,6955966.795546905,Poland,PL,Kujawsko-Pomorskie,minor,,
Skierniewice,2243087.7394844624,6794100.6630003685,Poland,PL,Łódzkie,minor,,
Sejny,2599078.5654820874,7190542.801803891,Poland,PL,Podlaskie,minor,,
Pisz,2428159.509874022,7099912.0187211875,Poland,PL,Warmińsko-Mazurskie,minor,,
Wieluń,2066818.669148872,6660481.160477177,Poland,PL,Łódzkie,minor,,
Świecie,2053301.366020826,7059111.529883325,Poland,PL,Kujawsko-Pomorskie,minor,,
Stalowa Wola,2454715.9989171564,6542363.108277328,Poland,PL,Podkarpackie,minor,,
Tczew,2092213.094027615,7187654.51661727,Poland,PL,Pomorskie,minor,,
Radzyń Podlaski,2517675.853881034,6761043.6939406255,Poland,PL,Lubelskie,minor,,
Świdnik,2526989.955675707,6660403.134581259,Poland,PL,Lubelskie,minor,,
Białogard,1779615.9413750973,7171931.059594107,Poland,PL,Zachodniopomorskie,minor,,
Końskie,2271832.324438629,6655225.9396505775,Poland,PL,Świętokrzyskie,minor,,
Zgierz,2160572.38957293,6772091.983195095,Poland,PL,Łódzkie,minor,,
Krapkowice,1999904.4119135444,6528893.098307598,Poland,PL,Opolskie,minor,,
Legnica,1799134.2556128267,6658535.711699616,Poland,PL,Dolnośląskie,minor,,
Legionowo,2329542.463536187,6873047.7402071245,Poland,PL,Mazowieckie,minor,,
Bartoszyce,2317105.2934273086,7217778.239408579,Poland,PL,Warmińsko-Mazurskie,minor,,
Chrzanów,2160294.9814018733,6470464.367376537,Poland,PL,Małopolskie,minor,,
Słubice,1621349.0138126314,6864616.773671816,Poland,PL,Lubuskie,minor,,
Strzelce Krajeńskie,1729081.1226956013,6960150.572746959,Poland,PL,Lubuskie,minor,,
Nidzica,2273864.907021024,7050042.385296685,Poland,PL,Warmińsko-Mazurskie,minor,,
Głubczyce,1984757.3914402851,6481338.367113165,Poland,PL,Opolskie,minor,,
Włoszczowa,2222698.795509239,6595258.672036453,Poland,PL,Świętokrzyskie,minor,,
Skarżysko-Kamienna,2326100.57620035,6642058.027064547,Poland,PL,Świętokrzyskie,minor,,
Kalisz,2013882.9116919464,6757042.204509972,Poland,PL,Wielkopolskie,minor,,
Opole Lubelskie,2445678.4147376134,6647515.259140811,Poland,PL,Lubelskie,minor,,
Międzychód,1768940.6248470037,6909168.62569275,Poland,PL,Wielkopolskie,minor,,
Olesno,2050609.3267749723,6599560.984729626,Poland,PL,Opolskie,minor,,
Działdowo,2245318.6933994507,7027437.462697515,Poland,PL,Warmińsko-Mazurskie,minor,,
Mielec,2385872.46358689,6495986.873302311,Poland,PL,Podkarpackie,minor,,
Ostrów Mazowiecka,2437400.8087217165,6946704.035965403,Poland,PL,Mazowieckie,minor,,
Pułtusk,2346949.6036310224,6928458.423736649,Poland,PL,Mazowieckie,minor,,
Kraśnik,2474240.4357268787,6607641.863774768,Poland,PL,Lubelskie,minor,,
Miechów,2229743.4268451096,6508250.866626106,Poland,PL,Małopolskie,minor,,
Konin,2032037.4508479673,6837927.0704310825,Poland,PL,Wielkopolskie,minor,,
Góra,1841006.0801992994,6740387.136374798,Poland,PL,Dolnośląskie,minor,,
