city,x,y,country,iso2,admin,capital,population,population_proper
Lisbon,-1016717.9788054016,4681167.431057863,Portugal,PT,Lisboa,primary,2812000,517802
Picotos,-959553.5278517123,5040762.470276034,Portugal,PT,Porto,,1337000,249633
Braga,-937315.9010928847,5093856.213257024,Portugal,PT,Braga,admin,826833,181819
Funchal,-1881299.394406323,3846735.573891236,Portugal,PT,Madeira,admin,204767,100847
Setúbal,-990743.4680601348,4655044.275969035,Portugal,PT,Setúbal,admin,117974,117110
Copeira,-937757.3941933708,4891684.488633648,Portugal,PT,Coimbra,,106582,89131
Ponta Delgada,-2857200.3008005186,4541822.899614138,Portugal,PT,Azores,admin,61526,20056
Portimão,-950645.7421984345,4458169.2347434005,Portugal,PT,Faro,minor,61226,38487
Évora,-879423.9772668612,4659789.055320958,Portugal,PT,Évora,admin,55620,55620
Aveiro,-962416.5538354244,4960012.174412679,Portugal,PT,Aveiro,admin,54162,54162
Leiria,-980167.5598373199,4829349.656490086,Portugal,PT,Leiria,admin,45112,45112
Faro,-883011.6931356376,4441806.641203591,Portugal,PT,Faro,admin,41355,21163
Beja,-875330.4256319201,4581554.069463855,Portugal,PT,Beja,admin,35854,21658
Bragança,-752206.8386739095,5131936.008637386,Portugal,PT,Bragança,admin,34375,34375
Castelo Branco,-833879.7226791183,4840137.102867455,Portugal,PT,Castelo Branco,admin,33479,33479
Guarda,-808819.4789117366,4944335.322740679,Portugal,PT,Guarda,admin,32111,32111
Santarém,-966624.2079484285,4755149.847884684,Portugal,PT,Santarém,admin,29385,29385
Viseu,-880505.3348004272,4962469.154826061,Portugal,PT,Viseu,admin,26364,26364
Covilhã,-835337.117452584,4907592.080876258,Portugal,PT,Castelo Branco,minor,24828,17610
Vila Marim,-866037.0292625345,5057427.939026205,Portugal,PT,Vila Real,,17001,17001
Portalegre,-827120.6258371326,4764329.610254853,Portugal,PT,Portalegre,admin,15581,15581
Viana do Castelo,-983270.4793236915,5115137.575643107,Portugal,PT,Viana do Castelo,admin,15555,15555
Angra do Heroísmo,-3029745.5115300925,4671660.358288893,Portugal,PT,Azores,,12045,10228
Portela,-3191158.773180339,4655044.275969035,Portugal,PT,Azores,,6611,6572
Lagos,-965612.2024576269,4453303.397099415,Portugal,PT,Faro,minor,,
Paredes de Coura,-952999.258872786,5147526.097836202,Portugal,PT,Viana do Castelo,minor,,
São João da Pesqueira,-824308.361541222,5034203.739580596,Portugal,PT,Viseu,minor,,
São João da Madeira,-946187.1739531823,4997743.654566391,Portugal,PT,Aveiro,minor,,
Fornos de Algodres,-839419.9824164088,4957636.188021705,Portugal,PT,Guarda,minor,,
Castelo de Paiva,-920021.750281205,5021639.6286805505,Portugal,PT,Aveiro,minor,,
Portel,-857431.1420682882,4622881.599849313,Portugal,PT,Évora,minor,,
Porto,-958571.3559844432,5034433.621577226,Portugal,PT,Porto,admin,,
Sertã,-901557.5203017971,4838147.267957045,Portugal,PT,Castelo Branco,minor,,
Vila do Bispo,-992016.7403958282,4450706.240879851,Portugal,PT,Faro,minor,,
Fronteira,-851447.051521205,4729737.985808069,Portugal,PT,Portalegre,minor,,
Alfândega da Fé,-774908.7790288357,5063088.581711375,Portugal,PT,Bragança,minor,,
Celorico da Beira,-822692.2251738851,4958979.825011476,Portugal,PT,Guarda,minor,,
Alcoutim,-831810.6273037437,4505428.298646701,Portugal,PT,Faro,minor,,
Arronches,-811095.1832620235,4739221.957748304,Portugal,PT,Portalegre,minor,,
Amarante,-899734.7749595479,5052650.073064963,Portugal,PT,Porto,minor,,
Tabuaço,-842458.559237102,5029488.443814617,Portugal,PT,Viseu,minor,,
Gouveia,-845153.715428698,4938057.450081678,Portugal,PT,Guarda,minor,,
Aguiar da Beira,-839828.4136281293,4985425.39482113,Portugal,PT,Guarda,minor,,
Idanha-a-Nova,-806044.2840062603,4854781.939393603,Portugal,PT,Castelo Branco,minor,,
Ribeira de Pena,-868556.0780196956,5089565.327677952,Portugal,PT,Vila Real,minor,,
Seia,-858115.8682561576,4926447.963391345,Portugal,PT,Guarda,minor,,
Rio Maior,-995091.9413289925,4770106.314051935,Portugal,PT,Santarém,minor,,
Condeixa-a-Nova,-946030.4361101454,4882774.563794766,Portugal,PT,Coimbra,minor,,
Mação,-889911.9430919493,4801591.2286343435,Portugal,PT,Santarém,minor,,
Lousada,-921717.1461259865,5053466.513430217,Portugal,PT,Porto,minor,,
Trancoso,-818215.7344906152,4980429.492957515,Portugal,PT,Guarda,minor,,
Estarreja,-954238.9127222599,4976488.897324008,Portugal,PT,Aveiro,minor,,
Moita,-1000804.8575965031,4671771.396763767,Portugal,PT,Setúbal,minor,,
Ponte de Lima,-955558.2713271416,5126168.88079655,Portugal,PT,Viana do Castelo,minor,,
Guimarães,-923527.5350047575,5078118.399670866,Portugal,PT,Braga,minor,,
Sobral de Monte Agraço,-1018663.398226505,4724476.484492418,Portugal,PT,Lisboa,minor,,
Seixal,-1013164.5493397895,4670246.469408335,Portugal,PT,Setúbal,minor,,
Almeirim,-959176.1547779231,4751657.421688219,Portugal,PT,Santarém,minor,,
Cantanhede,-956701.4111780976,4916453.595672872,Portugal,PT,Coimbra,minor,,
Elvas,-797361.1410854034,4704711.936612414,Portugal,PT,Portalegre,minor,,
Ponte da Barca,-936813.7388699162,5131740.673540266,Portugal,PT,Viana do Castelo,minor,,
Golegã,-944685.0287444178,4779814.045713977,Portugal,PT,Santarém,minor,,
Anadia,-938815.1519948886,4929856.707563865,Portugal,PT,Aveiro,minor,,
Moura,-829169.9063431458,4599235.485142354,Portugal,PT,Beja,minor,,
Avis,-878483.9954866028,4729396.662021654,Portugal,PT,Portalegre,minor,,
Águeda,-940028.3118055537,4950178.099646261,Portugal,PT,Aveiro,minor,,
Valongo,-947358.9229132723,5041147.84193819,Portugal,PT,Porto,minor,,
Caminha,-983766.0736967031,5142254.565073233,Portugal,PT,Viana do Castelo,minor,,
Ourique,-915679.2882648502,4530647.7831675,Portugal,PT,Beja,minor,,
Sardoal,-908524.3393136032,4798741.528796738,Portugal,PT,Santarém,minor,,
Vila do Conde,-973310.5018434358,5064817.912356282,Portugal,PT,Porto,minor,,
Alijó,-832100.169299297,5053252.916965936,Portugal,PT,Vila Real,minor,,
Monchique,-952370.9716667486,4483489.791965459,Portugal,PT,Faro,minor,,
Cabeceiras de Basto,-889377.6095361417,5088501.11903908,Portugal,PT,Braga,minor,,
Aljezur,-979979.4298978793,4483686.317589798,Portugal,PT,Faro,minor,,
Castanheira de Pêra,-913986.8980463198,4866984.113740647,Portugal,PT,Leiria,minor,,
Melgaço,-919516.9163904574,5177977.027302498,Portugal,PT,Viana do Castelo,minor,,
Gavião,-883263.8317822844,4788417.3601938225,Portugal,PT,Portalegre,minor,,
Monforte,-827947.8409732172,4729308.788419957,Portugal,PT,Portalegre,minor,,
Vila Viçosa,-825759.8563816753,4689878.272064259,Portugal,PT,Évora,minor,,
Almodôvar,-897243.6673945761,4510826.458221159,Portugal,PT,Beja,minor,,
Redondo,-840137.3252150806,4671477.339869021,Portugal,PT,Évora,minor,,
Vila Nova de Cerveira,-973188.8296399988,5152173.160118636,Portugal,PT,Viana do Castelo,minor,,
Mafra,-1038339.7861411608,4712784.902850987,Portugal,PT,Lisboa,minor,,
Lousã,-918055.1801568511,4882218.232708918,Portugal,PT,Coimbra,minor,,
Amadora,-1028559.5896385362,4687310.448391145,Portugal,PT,Lisboa,minor,,
Pinhel,-786667.0115633659,4979067.912291572,Portugal,PT,Guarda,minor,,
Estremoz,-844453.4045121176,4699395.64637873,Portugal,PT,Évora,minor,,
Penamacor,-798145.943495496,4890523.509718155,Portugal,PT,Castelo Branco,minor,,
