city,x,y,country,iso2,admin,capital,population,population_proper
San Juan,-7358855.278165855,2092205.001374181,Puerto Rico,PR,,primary,2478905,395326
Mayagüez,-7473948.755731849,2061096.4419467128,Puerto Rico,PR,,,291339,78647
Bayamón,-7364421.3306291625,2084252.4092925137,Puerto Rico,PR,,,185996,185996
Ponce,-7415443.416983759,2038845.105419324,Puerto Rico,PR,,,160334,152634
Carolina,-7342342.7571587805,2082166.9158018376,Puerto Rico,PR,,,157832,157832
Caguas,-7352485.265208089,2064970.3616739048,Puerto Rico,PR,,,82243,82243
Guaynabo,-7359442.83357021,2079430.1960446648,Puerto Rico,PR,,,75443,75443
Arecibo,-7426761.158293219,2092922.2398172922,Puerto Rico,PR,,,69307,49318
Trujillo Alto,-7347908.77622624,2079104.336660111,Puerto Rico,PR,,,48437,48437
Fajardo,-7308389.933980562,2075716.8025828232,Puerto Rico,PR,,,28930,28930
Cataño,-7360246.78293272,2089271.3052409948,Puerto Rico,PR,,,28140,28140
Levittown,-7367297.091562621,2090281.756658514,Puerto Rico,PR,,,26960,26960
Vega Baja,-7390241.619351884,2089629.8925240943,Puerto Rico,PR,,,25905,25905
Guayama,-7359751.956664194,2035691.400455958,Puerto Rico,PR,,,22691,22691
Humacao,-7327870.945056927,2055076.1129935905,Puerto Rico,PR,,,18629,18629
Yauco,-7441696.638338125,2041641.4254241863,Puerto Rico,PR,,,17186,17186
Candelaria,-7370327.519796588,2084904.1349435959,Puerto Rico,PR,,,16760,16760
Cayey,-7365565.427827739,2050651.0058975553,Puerto Rico,PR,,,16680,16680
Manatí,-7401868.483755331,2087641.6898063784,Puerto Rico,PR,,,14011,14011
Aguadilla,-7475556.854831951,2087641.4786017118,Puerto Rico,PR,,,13310,13310
Dorado,-7376883.091213556,2091324.9075324766,Puerto Rico,PR,,,13258,13258
Río Grande,-7328304.00014001,2082101.8238433828,Puerto Rico,PR,,,12677,12677
Hormigueros,-7472588.197783424,2053904.325999804,Puerto Rico,PR,,,12443,12443
Coamo,-7386932.9035228845,2046910.0466698857,Puerto Rico,PR,,,11522,11522
Isabela,-7461116.08973608,2096247.6298569897,Puerto Rico,PR,,,11255,11255
San Germán,-7463404.217341539,2047105.0917768888,Puerto Rico,PR,,,10989,10989
Vega Alta,-7383964.368925798,2085849.2401886315,Puerto Rico,PR,,,10266,10266
Corozal,-7382356.381145186,2077508.1670273351,Puerto Rico,PR,,,10160,10160
Pájaros,-7371224.276218573,2080733.392785997,Puerto Rico,PR,,,10122,10122
Cabo Rojo,-7474628.9957442405,2047690.5192602987,Puerto Rico,PR,,,9803,9803
Sabana Seca,-7367637.250530639,2087576.47460385,Puerto Rico,PR,,,9705,9705
San Sebastián,-7457312.525374657,2076986.8064527228,Puerto Rico,PR,,,9622,9622
Utuado,-7425060.341189237,2068649.4955825263,Puerto Rico,PR,,,8397,8397
Aibonito,-7376697.555018252,2053937.0670407386,Puerto Rico,PR,,,8249,8249
Sabana Grande,-7454003.74275396,2046649.7903366194,Puerto Rico,PR,,,8179,8179
San Lorenzo,-7342744.6093885945,2059729.6701180374,Puerto Rico,PR,,,8037,8037
Juana Díaz,-7403476.516063736,2043690.149335581,Puerto Rico,PR,,,7916,7916
Luquillo,-7315533.005142143,2081189.6552172902,Puerto Rico,PR,,,7761,7761
Gurabo,-7344074.32070612,2067347.0625844852,Puerto Rico,PR,,,7609,7609
San Antonio,-7380779.351314964,2090151.4150032124,Puerto Rico,PR,,,7574,7574
Juncos,-7338291.818624916,2064189.1009775721,Puerto Rico,PR,,,7564,7564
Canóvanas,-7336579.958627445,2081871.3584685614,Puerto Rico,PR,,,7297,7297
Guánica,-7448159.335903923,2034228.504243407,Puerto Rico,PR,,,7254,7254
Campanilla,-7373450.688298335,2086924.674432056,Puerto Rico,PR,,,6868,6868
San Isidro,-7334333.865261709,2083502.9132371289,Puerto Rico,PR,,,6828,6828
Arroyo,-7353907.560946108,2033545.9413749622,Puerto Rico,PR,,,6396,6396
Yabucoa,-7333653.335818642,2043462.681502692,Puerto Rico,PR,,,6047,6047
Puerto Real,-7479236.464940376,2046324.3603833322,Puerto Rico,PR,,,5983,5983
Santa Isabel,-7392158.763622327,2033578.3574815984,Puerto Rico,PR,,,5976,5976
Las Piedras,-7332200.104394133,2058981.1716206134,Puerto Rico,PR,,,5883,5883
Peñuelas,-7427410.45148717,2044145.4789263532,Puerto Rico,PR,,,5859,5859
Coco,-7375955.365709235,2038389.7758873438,Puerto Rico,PR,,,5758,5758
Ceiba,-7307957.045876715,2068486.9154889642,Puerto Rico,PR,,,5633,5633
Ingenio,-7372244.708594827,2089369.1128748388,Puerto Rico,PR,,,5354,5354
Quebradillas,-7451561.070299433,2093085.1454203383,Puerto Rico,PR,,,5282,5282
Cidra,-7365039.766060264,2058134.913895008,Puerto Rico,PR,,,5109,5109
Añasco,-7473948.811391595,2070668.180608429,Puerto Rico,PR,,,5075,5075
Punta Santiago,-7319058.059269551,2057028.654572032,Puerto Rico,PR,,,4964,4964
Lares,-7444727.066572092,2072068.691046753,Puerto Rico,PR,,,4917,4917
Candelaria Arenas,-7371286.114195707,2086435.8058509359,Puerto Rico,PR,,,4818,4818
Salinas,-7380253.5893599475,2034911.1364637138,Puerto Rico,PR,,,4771,4771
Aguilita,-7406599.6400376875,2040275.6680438626,Puerto Rico,PR,,,4747,4747
Florida,-7409568.19689867,2080016.552063185,Puerto Rico,PR,,,4711,4711
Santa Bárbara,-7337908.1893957425,2083851.0861739183,Puerto Rico,PR,,,4622,4622
Lajas,-7465012.138330455,2043397.338238029,Puerto Rico,PR,,,4586,4586
Naguabo,-7317573.825366856,2062333.7751023853,Puerto Rico,PR,,,4443,4443
Hatillo,-7438975.566969072,2094552.3059392616,Puerto Rico,PR,,,4439,4439
Adjuntas,-7427472.278332356,2056605.362560557,Puerto Rico,PR,,,4406,4406
Patillas,-7348836.267959631,2038292.3294858378,Puerto Rico,PR,,,4333,4333
Aguas Buenas,-7358546.088280176,2067640.1343933719,Puerto Rico,PR,,,4204,4204
Celada,-7343301.273634256,2069365.8411258254,Puerto Rico,PR,,,4081,4081
Comerío,-7372244.730858725,2063082.3027455849,Puerto Rico,PR,,,4020,4020
Guayanilla,-7435233.840584783,2039787.9629616535,Puerto Rico,PR,,,3949,3949
Imbéry,-7409033.996926253,2088772.288338605,Puerto Rico,PR,,,3899,3899
Loíza,-7333746.365517099,2088097.9205138104,Puerto Rico,PR,,,3875,3875
Moca,-7471011.212480999,2083795.9721769851,Puerto Rico,PR,,,3861,3861
Barceloneta,-7407032.550405433,2090346.9923456972,Puerto Rico,PR,,,3785,3785
Toa Alta,-7374718.528242878,2083046.762856647,Puerto Rico,PR,,,3713,3713
Bajadero,-7423143.230314641,2087543.8553480916,Puerto Rico,PR,,,3710,3710
Camuy,-7441140.163335598,2094258.867624202,Puerto Rico,PR,,,3704,3704
Hacienda San Jose,-7355110.8578498885,2065764.4398560328,Puerto Rico,PR,,,3531,3531
Villalba,-7401868.5394150745,2052440.4039393938,Puerto Rico,PR,,,3384,3384
Breñas,-7384334.862455056,2093022.4242597376,Puerto Rico,PR,,,3373,3373
Cabán,-7473512.349932092,2089681.6663049264,Puerto Rico,PR,,,3334,3334
Coquí,-7372368.3622852,2034521.0564766806,Puerto Rico,PR,,,3293,3293
Tierras Nuevas Poniente,-7401466.486810176,2091683.496152249,Puerto Rico,PR,,,3228,3228
Aguada,-7479360.274478038,2082003.793332763,Puerto Rico,PR,,,3212,3212
Santo Domingo,-7430842.865534341,2044958.5615976409,Puerto Rico,PR,,,3156,3156
Potala Pastillo,-7402363.287759957,2036536.5353649715,Puerto Rico,PR,,,3092,3092
La Dolores,-7331025.160564657,2081547.9113649558,Puerto Rico,PR,,,3081,3081
Coto Laurel,-7408454.990858789,2043364.9886569795,Puerto Rico,PR,,,3047,3047
Aguas Claras,-7308513.65446263,2067151.9298785063,Puerto Rico,PR,,,3006,3006
Campo Rico,-7335725.336632727,2077052.0813383355,Puerto Rico,PR,,,3006,3006
Luis Lloréns Torres,-7405722.26433905,2044167.9711040508,Puerto Rico,PR,,,2912,2912
Piedra Aguza,-7402182.660754195,2041511.3711343503,Puerto Rico,PR,,,2901,2901
San José,-7375553.4355557775,2084219.842332314,Puerto Rico,PR,,,2900,2900
Luyando,-7475927.91609061,2080244.439328261,Puerto Rico,PR,,,2886,2886
Emajagua,-7334024.397077303,2037609.6908414315,Puerto Rico,PR,,,2857,2857
Monte Grande,-7470361.741175866,2047788.1272612407,Puerto Rico,PR,,,2800,2800
Jayuya,-7412938.739572859,2063147.4041040032,Puerto Rico,PR,,,2759,2759
La Fermina,-7330777.675072725,2058102.470768071,Puerto Rico,PR,,,2743,2743
Carrizales,-7435017.468890528,2094030.6929484855,Puerto Rico,PR,,,2738,2738
Barranquitas,-7381181.348260118,2059404.1964493461,Puerto Rico,PR,,,2695,2695
Monserrate,-7387118.4508501375,2088717.2665140182,Puerto Rico,PR,,,2592,2592
Ciales,-7399270.999284955,2076921.7897795278,Puerto Rico,PR,,,2591,2591
La Luisa,-7403847.521662652,2090151.4267382657,Puerto Rico,PR,,,2590,2590
Galateo,-7375893.594523795,2080016.6341673525,Puerto Rico,PR,,,2585,2585
Las Carolinas,-7354309.702606599,2067314.4993105547,Puerto Rico,PR,,,2570,2570
Alianza,-7442098.690943022,2090477.3235306637,Puerto Rico,PR,,,2569,2569
El Tumbao,-7447262.624009737,2038129.6974414415,Puerto Rico,PR,,,2511,2511
Jobos,-7365503.556454756,2032310.703219828,Puerto Rico,PR,,,2479,2479
Barahona,-7396673.492550682,2078713.4718249312,Puerto Rico,PR,,,2469,2469
H. Rivera Colón,-7377509.1186339315,2078345.2733988895,Puerto Rico,PR,,,2456,2456
