city,x,y,country,iso2,admin,capital,population,population_proper
Bucharest,2905438.7097044406,5532748.193905313,Romania,RO,Bucureşti,primary,1942000,1742194
Iaşi,3072417.9458943508,5969320.926398011,Romania,RO,Iaşi,admin,325914,325914
Cluj-Napoca,2627139.9827212566,5904071.005232352,Romania,RO,Cluj,admin,316748,282141
Timişoara,2363003.5439957744,5740287.956538423,Romania,RO,Timiş,admin,315053,304097
Galaţi,3122511.7167513235,5692645.178123244,Romania,RO,Galaţi,admin,311156,294087
Braşov,2847923.602354752,5721784.017356724,Romania,RO,Braşov,admin,311044,276088
Craiova,2649403.880879911,5514578.625007659,Romania,RO,Dolj,admin,304142,298145
Constanţa,3189303.4112272877,5493857.359586742,Romania,RO,Constanţa,admin,303399,266826
Ploieşti,2896162.1225781646,5613653.441095038,Romania,RO,Prahova,admin,232542,228851
Oradea,2441607.4609593037,5952962.620699987,Romania,RO,Bihor,admin,213830,206614
Brăila,3115090.380258608,5663600.89923472,Romania,RO,Brăila,admin,213569,213569
Bacău,2994494.302339059,5871627.717374936,Romania,RO,Bacău,admin,199668,171396
Piteşti,2768144.7081659,5597937.886631572,Romania,RO,Argeş,admin,171021,167669
Arad,2372960.5158497784,5809777.29351295,Romania,RO,Arad,admin,169065,149611
Sibiu,2688365.7026575566,5748356.801602935,Romania,RO,Sibiu,admin,155565,151894
Târgu-Mureş,2734748.8609279175,5868929.46316788,Romania,RO,Mureş,admin,149433,146863
Baia Mare,2625284.620768205,6051578.176672379,Romania,RO,Maramureş,admin,136553,132707
Buzău,2987072.965846344,5645166.908574268,Romania,RO,Buzău,admin,130954,130698
Botoşani,2968519.791593792,6065364.061597264,Romania,RO,Botoşani,admin,114783,111935
Satu Mare,2547360.9772129133,6073646.223350629,Romania,RO,Satu Mare,admin,112490,112490
Râmnicu Vâlcea,2712484.962769263,5637278.201890527,Romania,RO,Vâlcea,admin,107558,107558
Drobeta-Turnu Severin,2522066.7398758843,5563763.519677467,Romania,RO,Mehedinţi,admin,106578,102346
Scheia,2920281.2713703797,6048823.575823632,Romania,RO,Suceava,,105796,87935
Focşani,3026034.78762399,5732403.655048729,Romania,RO,Vrancea,admin,105112,80161
Piatra Neamţ,2931413.220449707,5928482.597520341,Romania,RO,Neamţ,admin,102688,102688
Târgu Jiu,2591888.773530223,5629396.400453145,Romania,RO,Gorj,admin,97179,97179
Tulcea,3206001.334846279,5647798.067729447,Romania,RO,Tulcea,admin,92475,86288
Târgovişte,2833081.0406888123,5611032.230356433,Romania,RO,Dâmboviţa,admin,88435,88435
Reşiţa,2436690.924328928,5669006.473515528,Romania,RO,Caraş-Severin,admin,83324,81228
Bistriţa,2725472.162482151,5963864.631935203,Romania,RO,Bistriţa-Năsăud,admin,81318,81318
Salcia,2706918.9882295993,5532748.193905313,Romania,RO,Olt,,78988,78988
Călăraşi,3042732.711242981,5496444.989877837,Romania,RO,Călăraşi,admin,73224,69167
Vaslui,3087260.50756029,5882428.709113846,Romania,RO,Vaslui,admin,69225,69225
Giurgiu,2890596.148038501,5447405.411491384,Romania,RO,Giurgiu,admin,69067,69067
Deva,2549216.3391659646,5761672.922065695,Romania,RO,Hunedoara,,67802,67802
Alba Iulia,2625284.620768205,5791039.097562064,Romania,RO,Alba,admin,66085,66085
Zalău,2565914.262784956,5974780.482145991,Romania,RO,Sălaj,admin,63232,63232
Sfântu-Gheorghe,2870187.5005134065,5759008.197591133,Romania,RO,Covasna,admin,60677,60677
Slobozia,3046443.435149084,5553558.111124102,Romania,RO,Ialomiţa,admin,52693,52693
Alexandria,2820093.7296564337,5462863.288856753,Romania,RO,Teleorman,admin,49346,49346
Hunedoara,2549216.3391659646,5740376.655556497,Romania,RO,Hunedoara,admin,,
Miercurea-Ciuc,2872042.862466458,5836615.465848792,Romania,RO,Harghita,admin,,
Slatina,2712484.962769263,5532748.193905313,Romania,RO,Olt,admin,,
Suceava,2922136.6333234315,6046069.853906178,Romania,RO,Suceava,admin,,
