city,x,y,country,iso2,admin,capital,population,population_proper
Moscow,4187344.539825866,7509247.3622959275,Russia,RU,Moskva,primary,10452000,10452000
Saint Petersburg,3368991.659722594,8376274.411810226,Russia,RU,Sankt-Peterburg,admin,4553000,3493212
Novosibirsk,9232237.441143826,7369924.586209672,Russia,RU,Novosibirskaya Oblast’,admin,1389000,1037201
Yekaterinburg,6747319.239860057,7729908.368067966,Russia,RU,Sverdlovskaya Oblast’,admin,1313000,1227976
Nizhniy Novgorod,4898892.491084986,7623778.185114388,Russia,RU,Nizhegorodskaya Oblast’,admin,1278000,1214926
Samara,5582672.685921651,7020090.611919784,Russia,RU,Samarskaya Oblast’,admin,1137000,856190
Omsk,8170850.6242262805,7361866.113051185,Russia,RU,Omskaya Oblast’,admin,1135000,1043403
Kazan’,5468252.056753859,7516474.202236856,Russia,RU,Tatarstan,admin,1115000,912270
Chelyabinsk,6838261.697863622,7391814.843054634,Russia,RU,Chelyabinskaya Oblast’,admin,1091000,946604
Rostov-na-Donu,4421975.747516591,5979918.376531848,Russia,RU,Rostovskaya Oblast’,admin,1052000,1013134
Ufa,6238969.9909128,7320282.549856379,Russia,RU,Bashkortostan,admin,1018000,920756
Perm’,6265513.232936529,7969267.646196317,Russia,RU,Permskiy Kray,,997000,851308
Volgograd,4953921.61156628,6227381.185233603,Russia,RU,Volgogradskaya Oblast’,admin,984000,619655
Krasnoyarsk,10337926.521090336,7562078.0538050495,Russia,RU,Krasnoyarskiy Kray,admin,925000,302210
Voronezh,4361976.43441036,6741041.031006455,Russia,RU,Voronezhskaya Oblast’,admin,844000,295469
Saratov,5121655.148625806,6717474.629214617,Russia,RU,Saratovskaya Oblast’,admin,843000,786173
Krasnodar,4338791.701423863,5628583.863563783,Russia,RU,Krasnodarskiy Kray,admin,649851,552532
Ul’yanovsk,5386368.333633087,7232567.939103596,Russia,RU,Ul’yanovskaya Oblast’,admin,640680,502427
Izhevsk,5922695.510201417,7729471.9014385315,Russia,RU,Udmurtiya,admin,631038,591422
Yaroslavl’,4436678.380582604,7887863.669846798,Russia,RU,Yaroslavskaya Oblast’,admin,606730,535578
Barnaul,9324522.523525849,7049971.501925394,Russia,RU,Altayskiy Kray,admin,599579,539843
Vladivostok,14685556.656124711,5330422.7044239715,Russia,RU,Primorskiy Kray,admin,587022,586212
