city,x,y,country,iso2,admin,capital,population,population_proper
Riyadh,5200366.043619987,2833285.822589537,Saudi Arabia,SA,Ar Riyāḑ,primary,4465000,4205961
Jeddah,4363497.949210523,2456670.4869137807,Saudi Arabia,SA,Makkah al Mukarramah,,3012000,2867446
Ad Dammām,5577469.724241464,3052985.596842062,Saudi Arabia,SA,Ash Sharqīyah,admin,2054710,768602
Medina,4409828.898639702,2810615.2595060896,Saudi Arabia,SA,Al Madīnah al Munawwarah,admin,1010000,1010000
Aţ Ţā’if,4499069.949545981,2424135.6853426476,Saudi Arabia,SA,Makkah al Mukarramah,,657282,530848
Al Hufūf,5517586.51736413,2920590.454985927,Saudi Arabia,SA,Ash Sharqīyah,,637389,400000
Al Ḩillah,5215654.773805025,2691318.1195620573,Saudi Arabia,SA,Ar Riyāḑ,,594605,594605
Tabūk,4071121.314143659,3299474.078727305,Saudi Arabia,SA,Tabūk,admin,547957,455450
Buraydah,4895270.8227715185,3039512.047057441,Saudi Arabia,SA,Al Qaşīm,admin,398581,391336
Ḩā’il,4640991.057038835,3188825.935209352,Saudi Arabia,SA,Ḩā’il,admin,385257,385257
Najrān,4912268.529779215,1978319.6931456453,Saudi Arabia,SA,Najrān,admin,369609,258573
Al Qaţīf,5568703.870938948,3063728.4282984734,Saudi Arabia,SA,Ash Sharqīyah,,368892,98259
Al Mubarraz,5519313.082666335,2926188.525323152,Saudi Arabia,SA,Ash Sharqīyah,,298562,290802
Al Kharj,5269259.895360091,2772356.473670434,Saudi Arabia,SA,Ar Riyāḑ,,298428,298428
Yanbu‘ al Baḩr,4237236.37712654,2764271.4137914074,Saudi Arabia,SA,Al Madīnah al Munawwarah,,267590,200161
Ḩafar al Bāţin,5117442.262496733,3303649.2246164056,Saudi Arabia,SA,Ash Sharqīyah,,249194,249194
Al Jubayl,5527931.660282531,3124873.859681662,Saudi Arabia,SA,Ash Sharqīyah,,237274,233200
‘Ar‘ar,4568338.057414134,3629543.091837101,Saudi Arabia,SA,Al Ḩudūd ash Shamālīyah,admin,222016,148540
Abhā,4731665.902986533,2062892.1095258894,Saudi Arabia,SA,‘Asīr,admin,210886,204719
Jāzān,4736768.009208062,1907927.233659687,Saudi Arabia,SA,Jāzān,admin,105198,95596
Dhahran,5581034.285656156,3036687.125572565,Saudi Arabia,SA,Ash Sharqīyah,,97446,11300
Qal‘at Bīshah,4742789.503104052,2273094.6605821247,Saudi Arabia,SA,,,88291,81828
Rafḩā,4844558.338184715,3456621.9405380986,Saudi Arabia,SA,Al Ḩudūd ash Shamālīyah,,64755,64755
Al Wajh,4057872.068349443,3029520.692580717,Saudi Arabia,SA,Tabūk,,43237,26636
As Sulayyil,5073710.400538596,2327684.090558459,Saudi Arabia,SA,Ar Riyāḑ,,24097,17620
Dawmat al Jandal,4438265.3512433525,3478912.8185523353,Saudi Arabia,SA,Al Jawf,,22583,22583
Al Quway‘īyah,5038484.015594009,2759856.506060453,Saudi Arabia,SA,Ar Riyāḑ,,8712,8712
Al Qunfudhah,4572881.005833407,2169821.8379081776,Saudi Arabia,SA,,,157,157
Sakākā,4475757.533103546,3499661.0523661557,Saudi Arabia,SA,Al Jawf,admin,,
Mecca,4433369.074760302,2442824.1655838112,Saudi Arabia,SA,Makkah al Mukarramah,admin,,
Al Bāḩah,4616160.020102998,2274557.157658533,Saudi Arabia,SA,Al Bāḩah,admin,,
