city,x,y,country,iso2,admin,capital,population,population_proper
Belgrade,2278493.571448208,5593010.559601274,Serbia,RS,,primary,1099000,1099000
Niš,2438094.8857468124,5361320.158159787,Serbia,RS,Niš,admin,250000,210888
Novi Sad,2207360.416831306,5662431.327567355,Serbia,RS,Novi Sad,admin,225457,215400
Kragujevac,2327582.4612617902,5467125.423662319,Serbia,RS,Kragujevac,admin,171197,147473
Subotica,2189457.6823634594,5796544.844687313,Serbia,RS,Subotica,admin,100000,93408
Zrenjanin,2270405.097247169,5681832.859799447,Serbia,RS,Zrenjanin,admin,64053,64053
Ćuprija,2379397.4540854087,5454366.74109166,Serbia,RS,Ćuprija,admin,,
Krupanj,2155509.3564926707,5522509.440330908,Serbia,RS,Krupanj,admin,,
Arilje,2237188.2517503817,5427603.816309822,Serbia,RS,Arilje,admin,,
Pančevo,2298113.409061541,5601284.580699287,Serbia,RS,Pančevo,admin,,
Čoka,2242645.0218695775,5770982.066330272,Serbia,RS,Čoka,admin,,
Bogatić,2168581.492977034,5595991.060607437,Serbia,RS,Bogatić,admin,,
Sombor,2127879.6362387985,5744244.37722498,Serbia,RS,Sombor,admin,,
Šabac,2191610.156037438,5582851.679689204,Serbia,RS,Šabac,admin,,
Koceljeva,2206507.041614885,5538265.909824688,Serbia,RS,Koceljeva,admin,,
Požega,2230483.4788199035,5441618.331335018,Serbia,RS,Požega,admin,,
Kovačica,2295808.7616436477,5639002.240522293,Serbia,RS,Kovačica,admin,,
Lebane,2418911.1978984075,5299366.530225852,Serbia,RS,Lebane,admin,,
Ljig,2253034.358625823,5500577.990873486,Serbia,RS,Ljig,admin,,
Surčin,2257351.7737567495,5589206.820345359,Serbia,RS,Beograd,minor,,
Babušnica,2494837.658469377,5322322.084082845,Serbia,RS,Babušnica,admin,,
Aleksinac,2416498.7932134266,5394785.901986991,Serbia,RS,Aleksinac,admin,,
Bojnik,2417633.0275051193,5314131.654615463,Serbia,RS,Bojnik,admin,,
Aranđelovac,2288858.1952774976,5513177.844489577,Serbia,RS,Aranđelovac,admin,,
Bela Crkva,2384841.311143672,5606025.626116552,Serbia,RS,Bela Crkva,admin,,
Doljevac,2430482.7476468775,5341979.987623238,Serbia,RS,Doljevac,admin,,
Stara Pazova,2244170.989449372,5619338.360181516,Serbia,RS,Stara Pazova,admin,,
Užice,2209033.6600974197,5443522.149452952,Serbia,RS,Užice,admin,,
Lazarevac,2255765.8049714174,5524394.318447904,Serbia,RS,Beograd,minor,,
Petrovac na Mlavi,2384436.7761141295,5524014.4459312335,Serbia,RS,Petrovac na Mlavi,admin,,
Srbobran,2203611.2877008794,5708224.996536993,Serbia,RS,Srbobran,admin,,
