city,x,y,country,iso2,admin,capital,population,population_proper
Bratislava,1905418.6545180294,6131845.868039043,Slovakia,SK,Bratislavský,primary,423737,373687
Košice,2366439.086120636,6226462.666224705,Slovakia,SK,Košický,admin,236563,184070
Prešov,2363750.7204179787,6274588.893801486,Slovakia,SK,Prešovský,admin,94718,76019
Žilina,2085385.0904208277,6311705.536118293,Slovakia,SK,Žilinský,admin,87625,85985
Banská Bystrica,2132156.6423945664,6230768.9569118805,Slovakia,SK,Banskobystrický,admin,82336,79232
Trnava,1957801.0427862217,6169872.823958162,Slovakia,SK,Trnavský,admin,69785,52053
Zvolen,2132128.478563396,6202955.483091123,Slovakia,SK,Banskobystrický,minor,44502,32051
Vranov nad Topľou,2413940.226037034,6255938.931087053,Slovakia,SK,Prešovský,minor,,
Bánovce nad Bebravou,2032419.9446183334,6227703.466561573,Slovakia,SK,Nitriansky,minor,,
Bytča,2065953.828024899,6312963.000973854,Slovakia,SK,Žilinský,minor,,
Trebišov,2417807.5764666833,6212072.410216477,Slovakia,SK,Košický,minor,,
Komárno,2039002.0434699578,6126286.05981555,Slovakia,SK,Nitriansky,minor,,
Trenčín,2009093.1679615844,6255661.11450359,Slovakia,SK,Trenčiansky,admin,,
Ružomberok,2149302.0703665465,6287562.422864228,Slovakia,SK,Žilinský,minor,,
Zlaté Moravce,2048348.7618754336,6171234.298965961,Slovakia,SK,Nitriansky,minor,,
Gelnica,2330710.093675118,6250436.271805473,Slovakia,SK,Košický,minor,,
Čadca,2091576.0125818052,6349002.0281558465,Slovakia,SK,Žilinský,minor,,
Michalovce,2440067.0218457063,6233279.68999852,Slovakia,SK,Košický,minor,,
Snina,2465836.5934084225,6272921.506082277,Slovakia,SK,Prešovský,minor,,
Tvrdošín,2176963.8506337674,6332238.587686355,Slovakia,SK,Žilinský,minor,,
Banská Štiavnica,2105054.6878465456,6181809.678944321,Slovakia,SK,Banskobystrický,minor,,
Brezno,2185904.364217338,6241721.553084266,Slovakia,SK,Banskobystrický,minor,,
Sobrance,2469218.14558025,6231627.506211246,Slovakia,SK,Košický,minor,,
Kežmarok,2274649.5981116253,6297919.141174057,Slovakia,SK,Prešovský,minor,,
Rožňava,2286232.613767647,6217380.5167908855,Slovakia,SK,Košický,minor,,
Topoľčany,2022354.4362608052,6201137.777942368,Slovakia,SK,Nitriansky,minor,,
Veľký Krtíš,2154080.0142308846,6141960.453033,Slovakia,SK,Banskobystrický,minor,,
Senec,1937007.0071840014,6143451.982015289,Slovakia,SK,Bratislavský,minor,,
Stará Ľubovňa,2302777.3617673065,6325679.089522092,Slovakia,SK,Prešovský,minor,,
Senica,1933282.7023000212,6220605.817801108,Slovakia,SK,Trnavský,minor,,
Spišská Nová Ves,2288899.6061280724,6265473.175366116,Slovakia,SK,Košický,minor,,
Nitra,2013470.5842980482,6158421.099730738,Slovakia,SK,Nitriansky,admin,,
Medzilaborce,2438266.6517211064,6321228.968751512,Slovakia,SK,Prešovský,minor,,
Považská Bystrica,2050693.4843100123,6295508.387379537,Slovakia,SK,Nitriansky,minor,,
Svidník,2401194.255660695,6327316.819850898,Slovakia,SK,Prešovský,minor,,
Pezinok,1922113.4611912786,6155212.89672079,Slovakia,SK,Bratislavský,minor,,
Kysucké Nové Mesto,2090951.0649604916,6325919.274572152,Slovakia,SK,Žilinský,minor,,
Humenné,2439705.790098082,6264190.058093601,Slovakia,SK,Prešovský,minor,,
Malacky,1894867.0139442077,6179704.86217689,Slovakia,SK,Bratislavský,minor,,
Ilava,2029944.1991430908,6274468.935413091,Slovakia,SK,Nitriansky,minor,,
Lučenec,2189328.997032102,6162347.985694638,Slovakia,SK,Banskobystrický,minor,,
Myjava,1955734.2851201538,6234027.043335049,Slovakia,SK,Nitriansky,minor,,
Nové Mesto nad Váhom,1984911.7915740155,6233425.575762373,Slovakia,SK,Nitriansky,minor,,
Nové Zámky,2022292.9879018874,6105170.061923343,Slovakia,SK,Nitriansky,minor,,
Martin,2106608.930577001,6286153.953945694,Slovakia,SK,Žilinský,minor,,
Poprad,2259561.2430100143,6285293.253656658,Slovakia,SK,Prešovský,minor,,
Skalica,1917628.8441851805,6248585.19798611,Slovakia,SK,Trnavský,minor,,
Sabinov,2348707.227071157,6292370.897223105,Slovakia,SK,Prešovský,minor,,
Krupina,2122277.0375866634,6166186.383899102,Slovakia,SK,Banskobystrický,minor,,
Bardejov,2368067.6902709417,6324511.720541227,Slovakia,SK,Prešovský,minor,,
Revúca,2239452.156234645,6221320.694400166,Slovakia,SK,Banskobystrický,minor,,
Poltár,2203467.240279793,6178849.525103288,Slovakia,SK,Banskobystrický,minor,,
Galanta,1973566.3317113465,6138739.550812808,Slovakia,SK,Trnavský,minor,,
Šaľa,1990461.8474264955,6132057.603394716,Slovakia,SK,Nitriansky,minor,,
Púchov,2040037.0920953539,6296088.0893941615,Slovakia,SK,Nitriansky,minor,,
Rimavská Sobota,2228882.8158617867,6170783.410966009,Slovakia,SK,Banskobystrický,minor,,
Dunajská Streda,1960591.711100918,6106276.738173812,Slovakia,SK,Trnavský,minor,,
Detva,2161839.5393366297,6200645.440997605,Slovakia,SK,Banskobystrický,minor,,
Hlohovec,1981831.6925832564,6178984.581450277,Slovakia,SK,Trnavský,minor,,
Levice,2071326.885887018,6142802.914422955,Slovakia,SK,Nitriansky,minor,,
Prievidza,2073603.5921127219,6236678.264148927,Slovakia,SK,Nitriansky,minor,,
Stropkov,2410307.203135505,6309224.902878844,Slovakia,SK,Prešovský,minor,,
Námestovo,2168539.748167986,6344358.708337435,Slovakia,SK,Žilinský,minor,,
Turčianske Teplice,2099538.9183972296,6251521.187055982,Slovakia,SK,Žilinský,minor,,
Žiar nad Hronom,2098325.3133086013,6205885.99411695,Slovakia,SK,Banskobystrický,minor,,
Levoča,2292304.535392966,6278548.985501702,Slovakia,SK,Prešovský,minor,,
Dolný Kubín,2148845.5491348035,6310539.932618118,Slovakia,SK,Žilinský,minor,,
Liptovský Mikuláš,2183198.2987156445,6289197.520289217,Slovakia,SK,Žilinský,minor,,
Žarnovica,2083416.5165456396,6187291.891618577,Slovakia,SK,Banskobystrický,minor,,
Partizánske,2046559.3010609315,6212077.126163136,Slovakia,SK,Nitriansky,minor,,
Piešťany,1984371.0014877415,6206383.515602039,Slovakia,SK,Trnavský,minor,,
