city,x,y,country,iso2,admin,capital,population,population_proper
Ljubljana,1615740.5152274847,5789211.987844611,Slovenia,SI,Ljubljana,primary,314807,255115
Maribor,1741779.0030519175,5869693.833122657,Slovenia,SI,Maribor,admin,114228,89056
Šentjernej,1707208.0672691215,5754746.075931717,Slovenia,SI,Šentjernej,admin,,
Šentjur,1714041.8594894297,5815227.792186948,Slovenia,SI,Šentjur,admin,,
Poljčane,1734264.9374233712,5830480.16253691,Slovenia,SI,Poljčane,admin,,
Podvelka,1706589.687497765,5874911.519845699,Slovenia,SI,Podvelka,admin,,
Šentrupert,1680429.6071613457,5776788.844014851,Slovenia,SI,Šentrupert,admin,,
Medvode,1606711.2800097517,5801741.732301877,Slovenia,SI,Medvode,admin,,
Radovljica,1577891.8883577718,5835719.473748098,Slovenia,SI,Radovljica,admin,,
Sveta Trojica v Slovenskih Goricah,1767413.3214333202,5873247.035466876,Slovenia,SI,Sveta Trojica v Slovenskih Goricah,admin,,
Zgornje Gorje,1567749.458232106,5841992.848030264,Slovenia,SI,Gorje,admin,,
Zgornje Jezersko,1610422.0039158543,5841992.848030264,Slovenia,SI,Jezersko,admin,,
Sveta Ana v Slovenskih Goricah,1763764.6024835892,5884996.033104116,Slovenia,SI,Sveta Ana,admin,,
Miklavž na Dravskem Polju,1747406.7599089714,5861783.183048462,Slovenia,SI,Miklavž na Dravskem Polju,admin,,
Križevci pri Ljutomeru,1796541.9586307236,5871897.475042824,Slovenia,SI,Križevci,admin,,
Gornji Petrovci,1805880.4393938803,5910348.202114237,Slovenia,SI,Gornji Petrovci,admin,,
Podčetrtek,1736429.433602356,5805535.375134992,Slovenia,SI,Podčetrtek,admin,,
Radeče,1690262.7917415877,5791261.957260711,Slovenia,SI,Radeče,admin,,
Ankaran,1529096.8819998838,5713076.580486619,Slovenia,SI,Ankaran,admin,,
Laško,1696107.065008235,5804731.875881196,Slovenia,SI,Laško,admin,,
Dobrna,1694993.870100302,5834599.772904184,Slovenia,SI,Dobrna,admin,,
Kostanjevica na Krki,1716793.899940821,5755722.601696094,Slovenia,SI,Kostanjevica na Krki,admin,,
Trbovlje,1675729.3643015812,5805222.965951053,Slovenia,SI,Trbovlje,admin,,
Gorenja Vas,1574954.389634719,5797548.301115992,Slovenia,SI,Gorenja Vas-Poljane,admin,,
Polzela,1677213.698391819,5825870.369833114,Slovenia,SI,Polzela,admin,,
Zavrč,1786646.8804136,5843337.827557536,Slovenia,SI,Zavrč,admin,,
Brezovica,1603000.6674231396,5785692.466830187,Slovenia,SI,Brezovica,admin,,
Šoštanj,1675203.7136660554,5841455.010526411,Slovenia,SI,Šoštanj,admin,,
Cankova,1783616.541235226,5896625.364420093,Slovenia,SI,Cankova,admin,,
Ajdovščina,1548577.7928887068,5762339.308041862,Slovenia,SI,Ajdovščina,admin,,
Volčja Draga,1522572.3353249992,5765449.450482178,Slovenia,SI,Renče-Vogrsko,admin,,
Borovnica,1598888.0801552727,5766871.64301043,Slovenia,SI,Borovnica,admin,,
Velenje,1682068.4527048043,5838093.98743834,Slovenia,SI,Velenje,admin,,
Spodnja Hajdina,1764073.7367095219,5846117.844567118,Slovenia,SI,Hajdina,admin,,
Mirna,1676687.9364368021,5773185.382481431,Slovenia,SI,Mirna,admin,,
Mirna Peč,1679068.9490253793,5757986.8730956605,Slovenia,SI,Mirna Peč,admin,,
Vitanje,1702724.3408189502,5841724.005857837,Slovenia,SI,Vitanje,admin,,
Markovci,1775545.8781527134,5841992.848030264,Slovenia,SI,Markovci,admin,,
Straža,1677893.9718000563,5745163.88451102,Slovenia,SI,Straža,admin,,
Metlika,1704765.272363154,5723995.405886094,Slovenia,SI,Metlika,admin,,
Domžale,1625017.2136732514,5802500.459238857,Slovenia,SI,Domžale,admin,,
Naklo,1593785.8626142538,5824170.360443975,Slovenia,SI,Naklo,admin,,
Sodražica,1629222.6413964396,5742149.385434932,Slovenia,SI,Sodražica,admin,,
Pivka,1580365.7414016705,5729127.863389461,Slovenia,SI,Pivka,admin,,
Solčava,1635685.294434443,5847822.092116177,Slovenia,SI,Solčava,admin,,
Selnica ob Dravi,1724895.509841774,5868929.46316788,Slovenia,SI,Selnica ob Dravi,admin,,
Braslovče,1674121.465576563,5826899.554071594,Slovenia,SI,Braslovče,admin,,
Dobrova,1604917.8116935813,5789167.393688801,Slovenia,SI,Dobrova-Polhov Gradec,admin,,
Lukovica pri Domžalah,1636396.5146611212,5807098.068838284,Slovenia,SI,Lukovica,admin,,
Vipava,1554360.2838379634,5755811.454724998,Slovenia,SI,Vipava,admin,,
Benedikt v Slovenskih Goricah,1768681.1391139645,5878421.786710971,Slovenia,SI,Benedikt,admin,,
Celje,1699570.3256863044,5818267.243000765,Slovenia,SI,Celje,admin,,
Radenci,1786028.5006422438,5884680.6304160375,Slovenia,SI,Radenci,admin,,
Mokronog,1685469.8197459928,5769805.704777584,Slovenia,SI,Mokronog-Trebelno,admin,,
Železniki,1577026.1566778726,5817820.166205501,Slovenia,SI,Železniki,admin,,
Mežica,1653589.142097198,5864299.502009608,Slovenia,SI,Mežica,admin,,
Ormož,1798304.4801284538,5846521.473580342,Slovenia,SI,Ormož,admin,,
Šalovci,1814291.294840257,5913556.251639853,Slovenia,SI,Šalovci,admin,,
Brežice,1735594.5374214065,5764871.774816754,Slovenia,SI,Brežice,admin,,
Zgornja Kungota,1738315.7423738479,5883374.546175985,Slovenia,SI,Kungota,admin,,
Gornji Grad,1648456.0890572292,5827794.650514199,Slovenia,SI,Gornji Grad,admin,,
Videm,1635747.1880713243,5756344.112095583,Slovenia,SI,Dobrepolje,admin,,
Bovec,1508688.3457942805,5834599.772904184,Slovenia,SI,Bovec,admin,,
Vodice,1614132.6165024668,5812457.491341966,Slovenia,SI,Vodice,admin,,
Odranci,1812312.2569329343,5874866.652209506,Slovenia,SI,Odranci,admin,,
Dol pri Ljubljani,1625357.294717625,5794560.583598643,Slovenia,SI,Dol pri Ljubljani,admin,,
Lovrenc na Pohorju,1713547.1556723446,5867400.922730306,Slovenia,SI,Lovrenc na Pohorju,admin,,
Kobilje,1825392.2971011437,5890763.659004464,Slovenia,SI,Kobilje,admin,,
Makole,1744067.175185173,5831330.814994896,Slovenia,SI,Makole,admin,,
Tolmin,1529096.8819998838,5810268.663912516,Slovenia,SI,Tolmin,admin,,
Miren,1514779.97096947,5763627.764037107,Slovenia,SI,Miren-Kostanjevica,admin,,
Nova Vas,1614781.9430922638,5743833.8936200095,Slovenia,SI,Bloke,admin,,
Postojna,1582592.131217536,5744676.107662877,Slovenia,SI,Postojna,admin,,
Starše,1755199.1242645006,5855316.137853227,Slovenia,SI,Starše,admin,,
Zreče,1710609.5456298008,5841992.848030264,Slovenia,SI,Zreče,admin,,
Slovenj Gradec,1678759.8147994466,5862502.1271510245,Slovenia,SI,Slovenj Gradec,admin,,
Kozje,1732162.2235617773,5792376.1794146,Slovenia,SI,Kozje,admin,,
Jesenice,1565925.0430974949,5849616.631372949,Slovenia,SI,Jesenice,admin,,
Vojnik,1703559.2369998996,5827481.29198729,Slovenia,SI,Vojnik,admin,,
Vitomarci,1774370.7896078997,5865288.2067720005,Slovenia,SI,Sveti Andraž v Slovenskih Goricah,admin,,
Spodnji Duplek,1752756.329358533,5861334.054780148,Slovenia,SI,Duplek,admin,,
Puconci,1798520.9965380463,5894325.406052416,Slovenia,SI,Puconci,admin,,
Zagorje ob Savi,1669946.9846718155,5801875.705607441,Slovenia,SI,Zagorje ob Savi,admin,,
Tržič,1593724.0802968636,5839303.827435805,Slovenia,SI,Tržič,admin,,
Log pri Brezovici,1599290.0548365274,5783020.521084539,Slovenia,SI,Log-Dragomer,admin,,
Litija,1650033.1522832976,5789746.653963599,Slovenia,SI,Litija,admin,,
Cerknica,1598826.1865183916,5747248.0909434,Slovenia,SI,Cerknica,admin,,
Apače,1771154.9921578635,5892792.273470699,Slovenia,SI,Apače,admin,,
Komenda,1618657.976442195,5813067.8738089865,Slovenia,SI,Komenda,admin,,
Semič,1690077.2221504352,5723818.493737004,Slovenia,SI,Semič,admin,,
Šmarješke Toplice,1694625.4025857763,5758255.900545462,Slovenia,SI,Šmarješke Toplice,admin,,
Tišina,1791316.1764549243,5886437.6245263005,Slovenia,SI,Tišina,admin,,
Tomaž pri Ormožu,1790419.3866370937,5858279.717747601,Slovenia,SI,Sveti Tomaž,admin,,
Mengeš,1622481.5783119623,5807142.592699023,Slovenia,SI,Mengeš,admin,,
Izola,1520840.6493262192,5706452.161708614,Slovenia,SI,Izola,admin,,
Beltinci,1807890.424119644,5877881.716602536,Slovenia,SI,Beltinci,admin,,
Murska Sobota,1799634.191445979,5887158.4280054765,Slovenia,SI,Murska Sobota,admin,,
Hrastnik,1678852.5439352773,5803794.605897241,Slovenia,SI,Hrastnik,admin,,
Stari Trg pri Ložu,1610731.1381417874,5734440.556385882,Slovenia,SI,Loška Dolina,admin,,
Žužemberk,1661907.2684077437,5753769.6574144345,Slovenia,SI,Žužemberk,admin,,
Cerkno,1556432.050881117,5800492.53691438,Slovenia,SI,Cerkno,admin,,
Trzin,1621553.952995182,5801741.732301877,Slovenia,SI,Trzin,admin,,
Lendava,1831267.517186231,5870773.161643746,Slovenia,SI,Lendava,admin,,
Lenart v Slovenskih Goricah,1762342.1620302326,5873156.993541567,Slovenia,SI,Lenart,admin,,
Dornava,1775947.852833968,5850603.686997187,Slovenia,SI,Dornava,admin,,
Šempeter pri Gorici,1518521.530374523,5768738.64647721,Slovenia,SI,Šempeter-Vrtojba,admin,,
Kobarid,1511409.4394272314,5820189.866779091,Slovenia,SI,Kobarid,admin,,
Kozina,1551298.9978411484,5718070.20077516,Slovenia,SI,Hrpelje-Kozina,admin,,
Trebnje,1672204.3213061215,5765005.1920017125,Slovenia,SI,Trebnje,admin,,
Ruše,1727214.6287934703,5867220.959608273,Slovenia,SI,Ruše,admin,,
Dobrovnik,1820351.9731970062,5885356.368203996,Slovenia,SI,Dobrovnik,admin,,
Slovenska Bistrica,1733739.175468355,5843517.141397706,Slovenia,SI,Slovenska Bistrica,admin,,
Tabor,1671833.1821238166,5818267.243000765,Slovenia,SI,Tabor,admin,,
Komen,1530457.4288163593,5750796.643199452,Slovenia,SI,Komen,admin,,
Škofljica,1622667.1479031148,5777678.723981855,Slovenia,SI,Škofljica,admin,,
Štore,1704734.3255447135,5815808.761518203,Slovenia,SI,Štore,admin,,
Cirkulane,1780574.1795518459,5835856.059893153,Slovenia,SI,Cirkulane,admin,,
Grosuplje,1631820.0590751192,5773229.896321993,Slovenia,SI,Grosuplje,admin,,
Krško,1724277.0187509265,5772829.600025478,Slovenia,SI,Krško,admin,,
Ilirska Bistrica,1585282.2780320465,5711662.952514108,Slovenia,SI,Ilirska Bistrica,admin,,
Vrhnika,1591374.0145267267,5774920.146391848,Slovenia,SI,Vrhnika,admin,,
Kanal,1518366.907601811,5794560.583598643,Slovenia,SI,Kanal,admin,,
Kidričevo,1757858.435580061,5845265.7637466965,Slovenia,SI,Kidričevo,admin,,
Šmartno pri Litiji,1652445.1116903154,5787474.265120914,Slovenia,SI,Šmartno pri Litiji,admin,,
Ljutomer,1803097.4521240487,5864209.551736628,Slovenia,SI,Ljutomer,admin,,
Slovenske Konjice,1717195.8746220756,5834465.46350426,Slovenia,SI,Slovenske Konjice,admin,,
Dolenjske Toplice,1677213.698391819,5743035.962550486,Slovenia,SI,Dolenjske Toplice,admin,,
Sežana,1544248.689211247,5733510.518783139,Slovenia,SI,Sežana,admin,,
Luče,1641591.4613379713,5837601.065586736,Slovenia,SI,Luče,admin,,
Destrnik,1767196.9163432182,5860929.745749238,Slovenia,SI,Destrnik,admin,,
Škocjan,1702229.637001865,5765405.135620772,Slovenia,SI,Škocjan,admin,,
Prevalje,1660979.5317714724,5868434.811068624,Slovenia,SI,Prevalje,admin,,
Majšperk,1751457.564859448,5836884.313494786,Slovenia,SI,Majšperk,admin,,
Moravče,1641405.8917468186,5802321.816000085,Slovenia,SI,Moravče,admin,,
Moravske-Toplice,1806220.631757745,5891214.457709478,Slovenia,SI,Moravske Toplice,admin,,
Hodoš,1818311.1529722929,5913285.046060102,Slovenia,SI,Hodoš,admin,,
Ljubno,1651424.6459182133,5835898.793891469,Slovenia,SI,Ljubno,admin,,
Dobje pri Planini,1715309.6771700745,5802277.316402034,Slovenia,SI,Dobje,admin,,
Šmartno ob Paki,1673502.9744857159,5833927.923913791,Slovenia,SI,Šmartno ob Paki,admin,,
Črnomelj,1690819.3891955542,5711883.83204458,Slovenia,SI,Črnomelj,admin,,
Vuzenica,1688407.4297885366,5876441.530070576,Slovenia,SI,Vuzenica,admin,,
Škofja Loka,1592858.2372974737,5807187.277521141,Slovenia,SI,Škofja Loka,admin,,
Idrija,1561874.3494665094,5780794.407879864,Slovenia,SI,Idrija,admin,,
Ribnica na Pohorju,1700157.869958711,5866501.79126385,Slovenia,SI,Ribnica na Pohorju,admin,,
Logatec,1583612.4856701472,5766649.395412245,Slovenia,SI,Logatec,admin,,
Mozirje,1665710.6101301867,5834913.223208586,Slovenia,SI,Mozirje,admin,,
Gornja Radgona,1780246.009692987,5888915.756425035,Slovenia,SI,Gornja Radgona,admin,,
Cerkvenjak,1774834.6579260353,5872257.434702887,Slovenia,SI,Cerkvenjak,admin,,
Jurovski Dol,1757147.215353383,5878061.736279775,Slovenia,SI,Sveti Jurij v Slovenskih Goricah,admin,,
Hrib-Loški Potok,1624275.0466281327,5732580.737632132,Slovenia,SI,Loški Potok,admin,,
Kostel,1659779.2850217393,5701920.268646549,Slovenia,SI,Kostel,admin,,
Gorišnica,1782657.9691000048,5847059.620557296,Slovenia,SI,Gorišnica,admin,,
Šmarje pri Jelšah,1727585.767975775,5816836.77345629,Slovenia,SI,Šmarje pri Jelšah,admin,,
Bistrica ob Sotli,1743727.0941407997,5789791.251035652,Slovenia,SI,Bistrica ob Sotli,admin,,
Ig,1617348.5252719936,5773986.025237454,Slovenia,SI,Ig,admin,,
Ribnica,1639457.8006579364,5738559.937743347,Slovenia,SI,Ribnica,admin,,
Novo Mesto,1688129.131061553,5747159.3234252725,Slovenia,SI,Novo Mesto,admin,,
Nova Gorica,1518799.829101506,5774163.937868377,Slovenia,SI,Nova Gorica,admin,,
Črna na Koroškem,1653094.4382801123,5855450.927221662,Slovenia,SI,Črna na Koroškem,admin,,
Cerklje na Gorenjskem,1612864.798821822,5821173.633014009,Slovenia,SI,Cerklje na Gorenjskem,admin,,
Koper,1528354.714954765,5708041.561594036,Slovenia,SI,Koper,admin,,
Sevnica,1704919.895135866,5781595.737828906,Slovenia,SI,Sevnica,admin,,
Razkrižje,1812404.986068765,5864344.477491291,Slovenia,SI,Razkrižje,admin,,
Radlje ob Dravi,1694993.870100302,5879322.13947219,Slovenia,SI,Radlje ob Dravi,admin,,
Horjul,1591775.9892079814,5784133.707200907,Slovenia,SI,Horjul,admin,,
Žalec,1688438.376606977,5821084.122012982,Slovenia,SI,Žalec,admin,,
Rogatec,1747746.9522728357,5817194.328893551,Slovenia,SI,Rogatec,admin,,
Kranj,1598733.457382561,5819071.973888976,Slovenia,SI,Kranj,admin,,
Kranjska Gora,1535033.8844023615,5858234.773277711,Slovenia,SI,Kranjska Gora,admin,,
Velika Polana,1819733.4821061587,5872482.194325046,Slovenia,SI,Velika Polana,admin,,
Pesnica pri Mariboru,1745118.5877757156,5878151.666484326,Slovenia,SI,Pesnica,admin,,
Šentilj,1741933.6258246293,5890267.937012059,Slovenia,SI,Šentilj,admin,,
