city,x,y,country,iso2,admin,capital,population,population_proper
Mogadishu,5046565.587986619,227829.5971199418,Somalia,SO,Banaadir,primary,1100000,875388
Kismaayo,4736128.367413963,-39871.89566724323,Somalia,SO,Jubbada Hoose,admin,234852,134951
Jamaame,4758348.517012736,7757.077989244316,Somalia,SO,Jubbada Hoose,,185270,128577
Jawhar,5065090.709727491,309686.42039401585,Somalia,SO,Shabeellaha Dhexe,admin,111308,62000
Beledweyne,5032042.95853722,527791.8391492548,Somalia,SO,Hiiraan,admin,62945,55410
Gaalkacyo,5279976.177460796,755361.5754080897,Somalia,SO,Mudug,admin,61200,53501
Boosaaso,5474868.108050175,1264352.642372546,Somalia,SO,Bari,admin,46969,46969
Luuq,4736032.187373918,422628.361768653,Somalia,SO,Gedo,,33820,33820
Buurhakaba,4906746.637757906,312105.2580257021,Somalia,SO,Bay,minor,31267,27792
Eyl,5545536.281154034,891249.2586971956,Somalia,SO,Nugaal,,18904,369
Bandarbeyla,5656388.230085975,1061759.6858952323,Somalia,SO,Bari,,13753,13753
Garbahaarrey,4700010.202028632,370782.23368537845,Somalia,SO,Gedo,admin,12652,12652
Buur Gaabo,4657300.809593431,-135728.07172131672,Somalia,SO,Jubbada Hoose,,3096,3096
Garoowe,5397265.955184295,939055.1838219346,Somalia,SO,Nugaal,admin,2568,2568
Marka,4983958.615808556,191045.90562035414,Somalia,SO,Shabeellaha Hoose,admin,1958,1958
Xuddur,4885751.447835823,459176.1446541744,Somalia,SO,Bakool,admin,1639,1639
Bu’aale,4740354.9458404025,120603.26412172373,Somalia,SO,Jubbada Dhexe,admin,1490,1490
Qardho,5464110.971696349,1062985.6502669216,Somalia,SO,Bari,,1341,1341
Mereeg,5265411.9145218395,419605.8065902305,Somalia,SO,Galguduud,,548,548
Caluula,5650236.269746777,1341852.091932669,Somalia,SO,Bari,,513,513
Hurdiyo,5692255.370019568,1182551.9287438197,Somalia,SO,Bari,,176,176
Qoryooley,4957055.811829563,199054.30003781905,Somalia,SO,Shabeellaha Hoose,minor,,
Laascaanood,5272058.801317106,947159.656553433,Somalia,SO,Sool,admin,,
Ceerigaabo,5272975.739962771,1188605.9507199181,Somalia,SO,Sanaag,admin,,
Baidoa,4859073.731867215,346800.28175275895,Somalia,SO,Bay,admin,,
Dhuusamarreeb,5163738.925522748,617223.0261223929,Somalia,SO,Galguduud,admin,,
Afgooye,5022869.007981456,238067.46314865744,Somalia,SO,Shabeellaha Hoose,minor,,
Burco,5068780.060291362,1064911.5832264484,Somalia,SO,Togdheer,admin,,
Hobyo,5401978.665827028,596482.5084160916,Somalia,SO,Mudug,minor,,
Laasqoray,5365232.101916169,1250199.5031216918,Somalia,SO,Sanaag,minor,,
Baki,4829630.171830356,1106690.6913969195,Somalia,SO,Awdal,admin,,
Hargeysa,4905293.3618056,1069186.949900795,Somalia,SO,Woqooyi Galbeed,admin,,
Lughaye,4891820.697793363,1196486.7804872484,Somalia,SO,Awdal,minor,,
