city,x,y,country,iso2,admin,capital,population,population_proper
Johannesburg,3122491.1226455267,-3024514.5213096673,South Africa,ZA,Gauteng,admin,3435000,2026469
Cape Town,2050863.2465334716,-4018848.3573770616,South Africa,ZA,Western Cape,primary,3215000,2432858
Benoni,3151603.7298362562,-3022737.9227960585,South Africa,ZA,Gauteng,,2986000,605344
Durban,3454154.5210836628,-3485296.746082297,South Africa,ZA,KwaZulu-Natal,,2729000,2729000
Pretoria,3142487.331457232,-2962829.7434621244,South Africa,ZA,Gauteng,primary,1338000,1338000
Vereeniging,3108724.4638581043,-3082693.054844185,South Africa,ZA,Gauteng,,1074000,474681
Port Elizabeth,2846446.7266703974,-4017795.1271119555,South Africa,ZA,Eastern Cape,,1021000,640054
Pietermaritzburg,3383308.793391989,-3454385.6257058796,South Africa,ZA,KwaZulu-Natal,admin,750845,490951
Bloemfontein,2918129.465613346,-3391063.938986535,South Africa,ZA,Free State,primary,463064,456669
Welkom,2972966.4486535294,-3247264.5435498706,South Africa,ZA,Free State,,431944,126079
Nelspruit,3447601.6992581165,-2934137.5334921665,South Africa,ZA,Mpumalanga,admin,348138,21540
East London,3106932.442695314,-3896770.8906927537,South Africa,ZA,Eastern Cape,,338627,338627
Thohoyandou,3393571.559887202,-2625446.279308306,South Africa,ZA,Limpopo,,269707,44046
Springs,3169458.4856035714,-3031117.0215349137,South Africa,ZA,Gauteng,,236083,186394
Uitenhage,2827192.1283063577,-3996295.8672617557,South Africa,ZA,Eastern Cape,,228912,206766
Polokwane,3280457.487582851,-2741773.5026175105,South Africa,ZA,Limpopo,admin,220045,123749
Paarl,2112312.718646267,-3993111.08958053,South Africa,ZA,Western Cape,,187865,131718
Klerksdorp,2968525.5802073134,-3105009.212857888,South Africa,ZA,North West,,178921,147804
George,2500428.011977524,-4023834.9114860203,South Africa,ZA,Western Cape,,174582,113248
Rustenburg,3032574.362430131,-2957964.9927582005,South Africa,ZA,North West,,165976,124064
Kimberley,2756528.2966626403,-3341612.9209413,South Africa,ZA,Northern Cape,admin,165264,142089
Bhisho,3054849.3925378653,-3875041.427544651,South Africa,ZA,Eastern Cape,admin,160997,137287
Middelburg,3280008.870034954,-2971249.088907335,South Africa,ZA,Mpumalanga,,154706,93790
Vryheid,3427711.132643175,-3219946.488283515,South Africa,ZA,KwaZulu-Natal,,150012,66717
Umtata,3204268.2016941183,-3709470.912119459,South Africa,ZA,Eastern Cape,,137772,78663
Worcester,2164999.6770412694,-3981435.1441056617,South Africa,ZA,Western Cape,,127597,90803
