city,x,y,country,iso2,admin,capital,population,population_proper
Madrid,-412741.61372352706,4926104.814656963,Spain,ES,Madrid,primary,5567000,50437
Barcelona,242019.7049336561,5071280.0643228,Spain,ES,Catalonia,admin,4920000,1581595
Sevilla,-664929.9088631856,4492602.981245259,Spain,ES,Andalusia,admin,1212045,703021
Bilbao,-327141.7120416038,5351771.082151784,Spain,ES,Basque Country,minor,875552,353187
Valencia,-40817.183730697245,4788739.780083011,Spain,ES,Valencia,admin,808000,805304
Zaragoza,-98502.27594282685,5107995.791811302,Spain,ES,Aragon,admin,649404,448507
Málaga,-493679.90040899126,4401075.726305407,Spain,ES,Andalusia,minor,550058,528705
Murcia,-125795.70001501245,4577595.302508867,Spain,ES,Murcia,admin,406807,329838
Granada,-400661.22258264106,4463996.278204876,Spain,ES,Andalusia,minor,388290,238248
Vigo,-970999.5092145675,5195919.2547977,Spain,ES,Galicia,,378952,292745
Palma,295577.96098309744,4804277.531538941,Spain,ES,Balearic Islands,admin,375773,264129
A Coruña,-935842.0310347818,5367941.000385541,Spain,ES,Galicia,minor,370610,242619
Santa María de Gracia,-1810797.087343747,3307938.245537531,Spain,ES,Canary Islands,,336061,222190
Gijón,-630237.4121964434,5393874.349987136,Spain,ES,Asturias,,335972,271452
Valladolid,-525842.1050500022,5109466.364342644,Spain,ES,Castille-Leon,admin,322304,276443
Córdoba,-531299.8770446149,4564116.772888388,Spain,ES,Andalusia,minor,321376,279648
Alicante,-54292.96468867698,4628446.94484041,Spain,ES,Valencia,minor,315863,276827
Cádiz,-699052.1157785937,4371827.2217078945,Spain,ES,Andalusia,minor,283157,24708
Pamplona,-182692.31627385333,5283714.848083679,Spain,ES,Navarre,admin,274545,193166
Oviedo,-651567.2285078517,5367422.5268592965,Spain,ES,Asturias,admin,235651,211398
Zuazo de Vitoria,-303019.3349841554,5287619.01981509,Spain,ES,Basque Country,,224578,173641
Santander,-423508.76883152494,5382976.919489668,Spain,ES,Cantabria,admin,208763,183288
Cartagena,-109786.84404403178,4523791.862444717,Spain,ES,Murcia,,201274,131279
Marbella,-543878.6455457824,4371092.589940028,Spain,ES,Andalusia,,186131,120008
Mataró,272120.8292026296,5092635.064922897,Spain,ES,Catalonia,,183293,116359
Almería,-272732.7524435203,4415900.948468361,Spain,ES,Andalusia,minor,179405,124660
Burgos,-409129.5188862669,5213586.078881768,Spain,ES,Castille-Leon,minor,170183,130319
Salamanca,-630293.1832613308,5007637.559151002,Spain,ES,Castille-Leon,minor,162353,158560
Albacete,-206806.3443694922,4721076.421955667,Spain,ES,Castille-La Mancha,minor,158094,97100
Huelva,-772562.1641629136,4476302.751093599,Spain,ES,Andalusia,minor,144174,95290
Logroño,-272732.7524435203,5231142.266053386,Spain,ES,La Rioja,admin,143698,104139
Badajoz,-775965.0896769731,4704195.997670795,Spain,ES,Extremadura,minor,140133,91144
León,-620084.7406776245,5251289.293088685,Spain,ES,Castille-Leon,minor,136227,133801
Tarragona,139149.36349159197,5029565.279555321,Spain,ES,Catalonia,minor,126291,89624
Ourense,-875272.9847746708,5210742.81925057,Spain,ES,Galicia,minor,118107,108083
Jaén,-421915.34164030995,4547323.8354637185,Spain,ES,Andalusia,minor,116400,69418
Algeciras,-606748.1090831363,4318972.855586013,Spain,ES,Andalusia,,111027,102348
Santiago de Compostela,-951205.6792371246,5293729.74030786,Spain,ES,Galicia,admin,92430,83012
Lorca,-189432.26616342284,4533079.8376773,Spain,ES,Murcia,,86119,26964
Toledo,-448596.39719364187,4846672.0072443895,Spain,ES,Castille-La Mancha,admin,74632,33125
Guadalajara,-351975.42064522125,4957716.713037577,Spain,ES,Castille-La Mancha,minor,72850,30963
Linares,-404759.89491415856,4592882.132727886,Spain,ES,Andalusia,,59761,39338
Arrecife,-1508532.49850717,3371281.900818672,Spain,ES,Canary Islands,,52944,41421
Mérida,-706172.6670071854,4709662.020600404,Spain,ES,Extremadura,admin,52423,52423
Las Palmas de Gran Canaria,-1715815.1789777665,3261552.9108094885,Spain,ES,Canary Islands,admin,,
Vitoria-Gasteiz,-296852.01255522645,5289168.115681344,Spain,ES,Basque Country,admin,,
Castellón de la Plana,-4368.844735672815,4864125.543926351,Spain,ES,Valencia,minor,,
Palencia,-503616.38947668957,5162410.394734206,Spain,ES,Castille-Leon,minor,,
Lleida,69261.09474023133,5103740.281908743,Spain,ES,Catalonia,minor,,
Cáceres,-709463.8277524887,4790933.260130633,Spain,ES,Extremadura,minor,,
Segovia,-458457.0776881099,5004686.931497648,Spain,ES,Castille-Leon,minor,,
Pontevedra,-961058.2334087649,5226113.2757900255,Spain,ES,Galicia,minor,,
Santa Cruz de Tenerife,-1812349.8829208221,3307124.167882951,Spain,ES,Canary Islands,admin,,
Soria,-274764.4444699883,5125743.079072418,Spain,ES,Castille-Leon,minor,,
Huesca,-45575.42404516493,5181775.725318114,Spain,ES,Aragon,minor,,
Donostia,-220619.0894261032,5359820.703405865,Spain,ES,Basque Country,minor,,
Cuenca,-237481.54325248668,4875634.880860434,Spain,ES,Castille-La Mancha,minor,,
Girona,314193.5854699842,5158365.577468234,Spain,ES,Catalonia,minor,,
Ávila,-523147.1714973879,4961914.90478784,Spain,ES,Castille-Leon,minor,,
Ciudad Real,-437382.0716911274,4719703.340102429,Spain,ES,Castille-La Mancha,minor,,
Zamora,-639563.4251766314,5087107.924018143,Spain,ES,Castille-Leon,minor,,
Lugo,-841413.1578990625,5314074.562780785,Spain,ES,Galicia,minor,,
Teruel,-122908.5177017981,4916214.787883474,Spain,ES,Aragon,minor,,
