city,x,y,country,iso2,admin,capital,population,population_proper
Khartoum,3621686.903823324,1757066.0409115825,Sudan,SD,Khartoum,primary,4754000,1974647
Omdurman,3610895.0357883708,1762620.4235546768,Sudan,SD,Khartoum,,2395159,2183698
Port Sudan,4141430.9271676717,2227534.929291797,Sudan,SD,Red Sea,admin,489725,489725
Kassala,4050881.093008135,1742124.2527968392,Sudan,SD,Kassala,admin,401477,339521
El Obeid,3364283.4018594925,1480525.4614447013,Sudan,SD,North Kordofan,admin,393311,269424
Nyala,2769706.1866632565,1351271.9996867247,Sudan,SD,South Darfur,admin,392373,392373
Kūstī,3636436.736353433,1478780.008600596,Sudan,SD,White Nile,,345068,203858
Wad Medani,3732324.3400965077,1619259.4663631376,Sudan,SD,Al Gazira,admin,332714,284367
El Fasher,2822660.311836163,1530242.2264877132,Sudan,SD,North Darfur,admin,252609,189203
Gedaref,3938978.2880831044,1578327.8953464758,Sudan,SD,Al Gedaref,admin,201282,201282
Shendi,3721866.9871313884,1884943.1804990396,Sudan,SD,River Nile,,186611,53568
Ed Damazin,3824552.426899244,1323122.3468954242,Sudan,SD,Blue Nile,admin,186051,42009
Kadugli,3308229.696784938,1233366.8466502775,Sudan,SD,South Kordofan,admin,176931,87666
Madent Atbara,3783215.158507561,2001587.3841431874,Sudan,SD,River Nile,,168612,107930
El Geneina,2499003.6790928245,1510360.1825667,Sudan,SD,West Darfur,admin,162981,159310
Al Manāqil,3672329.813728381,1602443.20342818,Sudan,SD,Al Gazira,,151827,128297
Sannār,3744045.503240604,1522639.17855836,Sudan,SD,Sennar,,130122,76494
An Nuhūd,3165184.151115582,1425478.5194031529,Sudan,SD,Western Kordofan,,108008,61239
Ed Damer,3781751.4185231198,1990662.8864866754,Sudan,SD,River Nile,admin,103941,84856
Ad Diwem,3596910.858715938,1574354.221382243,Sudan,SD,White Nile,,87068,22583
Tokār,4199973.068139419,2087401.48112754,Sudan,SD,Red Sea,,73202,22250
Umm Ruwaba,3474926.960704669,1449006.4416740916,Sudan,SD,North Kordofan,,55742,16257
Berber,3782969.2537523983,2040074.3662617342,Sudan,SD,River Nile,,49556,22395
Dongola,3392671.6531236293,2176331.619422614,Sudan,SD,Northern,admin,26404,26404
Haya,4050426.464207734,2076832.4039216419,Sudan,SD,Red Sea,,20000,14818
Babanūsah,3094681.8440530053,1269929.3754375293,Sudan,SD,Western Kordofan,,19700,19700
Wādī Ḩalfā’,3489866.0363691268,2487529.7151387963,Sudan,SD,Northern,,17121,17121
Rabak,3645006.4447131725,1481216.1498412606,Sudan,SD,White Nile,admin,,
Ed Daein,2908963.8640193907,1285133.8146898258,Sudan,SD,East Darfur,admin,,
El Fula,3155484.2159658186,1312944.3986003213,Sudan,SD,Western Kordofan,admin,,
Zalingei,2612732.791583809,1449358.0797824548,Sudan,SD,Central Darfur,admin,,
Singa,3777200.343781019,1476680.281646259,Sudan,SD,Sennar,admin,,
