city,x,y,country,iso2,admin,capital,population,population_proper
Stockholm,2009316.8088185878,8252784.405482431,Sweden,SE,Stockholm,primary,1264000,1253309
Glöstorp,1328412.5530265674,7914982.684813881,Sweden,SE,Västra Götaland,,537797,504084
Malmö,1447153.3803125564,7479195.597125309,Sweden,SE,Skåne,admin,269349,261548
Uppsala,1962933.650548227,8366417.493239059,Sweden,SE,Uppsala,admin,133117,127734
Västerås,1842337.5726286776,8314883.100878068,Sweden,SE,Västmanland,admin,107194,93179
Örebro,1693911.6220108096,8241879.662159365,Sweden,SE,Örebro,admin,98573,93291
Linköping,1738439.4183281192,8055360.35912802,Sweden,SE,Östergötland,admin,96732,91491
Helsingborg,1413757.533074574,7568375.687567164,Sweden,SE,Skåne,minor,91304,91025
Jönköping,1578881.407311433,7921939.625496719,Sweden,SE,Jönköping,admin,89780,83202
Norrköping,1801520.3888979803,8094429.24465879,Sweden,SE,Östergötland,minor,88639,82903
Umeå,2254219.6885637897,9307566.589245778,Sweden,SE,Västerbotten,admin,78197,74005
Bärstad,1508379.100248857,8252784.405482431,Sweden,SE,Värmland,,74141,59266
Tunadal,1934670.8563502135,8958023.198521452,Sweden,SE,Västernorrland,,73389,48463
Gävle,1910984.6290576935,8549683.430963984,Sweden,SE,Gävleborg,admin,68635,67836
Borås,1437876.7931862806,7908032.155827836,Sweden,SE,Västra Götaland,minor,65008,63223
Växjö,1649383.8256935005,7736310.240738811,Sweden,SE,Kronoberg,admin,59600,46535
Halmstad,1431073.947784413,7693247.928274989,Sweden,SE,Halland,admin,55657,55209
Luleå,2465726.7210710095,9763728.891404578,Sweden,SE,Norrbotten,admin,48638,45551
Östersund,1630830.540121458,9145346.39378782,Sweden,SE,Jämtland,admin,46178,42940
Trollhättan,1369229.7367572652,8023545.8120580595,Sweden,SE,Västra Götaland,minor,44543,44522
Borlänge,1716175.5201694644,8508141.843250986,Sweden,SE,Dalarna,minor,39422,38527
Falun,1740294.6689616798,8534550.095453274,Sweden,SE,Dalarna,admin,36477,36477
Kalmar,1821929.0364230745,7692291.2858945215,Sweden,SE,Kalmar,admin,35024,34744
Kristianstad,1573315.4327717696,7565054.1772697065,Sweden,SE,Skåne,minor,32188,21339
Skellefteå,2332143.332119081,9547177.241003528,Sweden,SE,Västerbotten,minor,31311,30839
Örnsköldsvik,2083529.8397872674,9174192.493475853,Sweden,SE,Västernorrland,minor,27749,25063
Nyköping,1892431.3434856508,8126547.372376669,Sweden,SE,Södermanland,admin,27582,27582
