city,x,y,country,iso2,admin,capital,population,population_proper
Geneva,684404.8084995056,5811750.175939048,Switzerland,CH,Genève,admin,1240000,192385
Zürich,951781.6462824891,6002130.179221024,Switzerland,CH,Zürich,admin,1108000,341730
Basel,843052.6713594657,6033699.4355743965,Switzerland,CH,Basel-Stadt,admin,830000,170635
Bern,831185.5683629395,5928482.597520341,Switzerland,CH,Bern,primary,275329,121631
Lausanne,742129.9757283208,5866232.037398939,Switzerland,CH,Vaud,admin,265702,116751
Lucerne,920241.1609975585,5955686.762404906,Switzerland,CH,Luzern,admin,250000,77491
Lugano,996930.1600804619,5781836.3112155,Switzerland,CH,Ticino,,105388,26365
Sankt Fiden,1046230.6682460421,6012812.222860872,Switzerland,CH,Sankt Gallen,,70572,70572
Chur,1060531.6605892724,5918723.7795910975,Switzerland,CH,Graubünden,admin,38293,32429
Schaffhausen,961235.899316071,6056645.917919085,Switzerland,CH,Schaffhausen,admin,33863,33863
Fribourg,796462.9041141925,5908793.887508596,Switzerland,CH,Fribourg,admin,32827,32827
Neuchâtel,771449.6371719254,5940946.094277221,Switzerland,CH,Neuchâtel,admin,31270,31270
Tripon,814612.0999346555,5823858.096829447,Switzerland,CH,Valais,,28045,28045
Zug,948157.640259714,5970263.119584616,Switzerland,CH,Zug,admin,23435,23435
Frauenfeld,990721.2041619762,6033952.648658708,Switzerland,CH,Thurgau,,21979,21979
Bellinzona,1004628.236827289,5811637.6025385745,Switzerland,CH,Ticino,,16572,16572
Aarau,896383.9469671797,6005902.822816605,Switzerland,CH,Aargau,admin,15501,15501
Herisau,1032138.7339065215,6004767.355446395,Switzerland,CH,Appenzell Ausserrhoden,,15438,15438
Solothurn,836744.6410941742,5975869.920885656,Switzerland,CH,Solothurn,admin,14853,14853
Schwyz,963593.9800895449,5946622.393112069,Switzerland,CH,Schwyz,admin,14177,14177
Liestal,861944.0342250474,6021235.016901455,Switzerland,CH,Basel-Landschaft,admin,12832,12832
Delémont,815861.104621356,6002091.062405928,Switzerland,CH,Jura,admin,11315,11315
Sarnen,918461.6076177373,5925523.863341986,Switzerland,CH,Obwalden,admin,9410,9410
Altdorf,962291.2080887911,5922577.694106388,Switzerland,CH,Uri,admin,8678,8678
Stansstad,928410.1191904412,5938371.2730077775,Switzerland,CH,Nidwalden,,7475,7475
Glarus,1009449.1500150732,5948698.644998146,Switzerland,CH,Glarus,admin,5681,5681
Appenzell,1047477.1125844544,5995845.319139684,Switzerland,CH,Appenzell Innerrhoden,admin,5649,5649
Saignelégier,778636.2008585577,5983867.6880104225,Switzerland,CH,Jura,minor,,
Affoltern am Albis,941034.8626413065,5988098.402933265,Switzerland,CH,Zürich,minor,,
