city,x,y,country,iso2,admin,capital,population,population_proper
Aleppo,4136762.855640746,4328347.271552918,Syria,SY,Ḩalab,admin,2738000,1602264
Damascus,4038450.268110231,3963532.895907662,Syria,SY,Dimashq,primary,2466000,2466000
Homs,4088029.1863222853,4126818.4943074454,Syria,SY,Ḩimş,admin,1005000,775404
Al Kuraydīyah,3979350.6391285914,4241411.937190294,Syria,SY,Al Lādhiqīyah,,539147,340181
Dūmā,4052330.1388197904,3971442.0487577636,Syria,SY,Rīf Dimashq,minor,496145,317679
Ḩamāh,4091863.363543678,4181805.3326441254,Syria,SY,Ḩamāh,admin,460602,418990
Dayr az Zawr,4468566.182678809,4209348.545816655,Syria,SY,Dayr az Zawr,admin,309141,242565
Ar Raqqah,4342337.227205629,4294132.654891337,Syria,SY,Ar Raqqah,admin,177636,173565
Ţarţūs,3994876.4798290203,4148809.8856537,Syria,SY,Ţarţūs,admin,162980,115769
Dar‘ā,4018871.173430529,3844826.4242949476,Syria,SY,Dar‘ā,admin,146481,97969
Idlib,4078070.433356428,4291078.435769108,Syria,SY,Idlib,admin,128840,102731
Al Ḩasakah,4536014.996108926,4369968.440407062,Syria,SY,Al Ḩasakah,admin,128100,81539
Manbij,4225126.152362122,4373539.895953756,Syria,SY,Ḩalab,minor,120169,68888
Al Qāmishlī,4589860.901722577,4446378.598659974,Syria,SY,Al Ḩasakah,minor,104107,104107
Ath Thawrah,4290986.54797811,4277876.365303515,Syria,SY,Ar Raqqah,minor,87880,83300
Ālbū Kamāl,4555031.482082159,4089692.5024742726,Syria,SY,Dayr az Zawr,minor,80808,57572
As Suwaydā’,4070899.5657179984,3856736.417541108,Syria,SY,As Suwaydā’,admin,72248,59052
Tadmur,4261757.945877973,4104570.7918998753,Syria,SY,Ḩimş,minor,55111,51015
An Nabk,4088596.0251694047,4032028.7216623477,Syria,SY,Rīf Dimashq,minor,50178,49372
I‘zāz,4123972.5801070714,4381643.071878093,Syria,SY,Ḩalab,minor,31534,31534
Al Qunayţirah,3987977.677026089,3912033.0123292017,Syria,SY,Al Qunayţirah,admin,4318,153
Al Ḩāḑir,4124483.20261134,4299278.769349198,Syria,SY,Ḩalab,minor,,
Mas‘adah,3980308.8773053405,3926142.1862946367,Syria,SY,Al Qunayţirah,minor,,
Kafr Nubl,4070340.185276761,4247605.078701018,Syria,SY,Idlib,minor,,
Jubb Ramlah,4055484.265271927,4192350.3253648933,Syria,SY,Ḩamāh,minor,,
Al Mayādīn,4503044.611964757,4166574.7932758,Syria,SY,Dayr az Zawr,minor,,
Jubb al Jarrāḩ,4154884.444227493,4141405.036132609,Syria,SY,Ḩimş,minor,,
Ash Shaddādah,4534575.412453987,4308545.120950764,Syria,SY,Al Ḩasakah,minor,,
Khirbat Tīn Nūr,4069460.4273410225,4123351.9006490246,Syria,SY,Ḩimş,minor,,
Şlinfah,4028396.0030212738,4245476.557311146,Syria,SY,Al Lādhiqīyah,minor,,
Ḩarastā,4048150.3145794845,3969697.9578802474,Syria,SY,Rīf Dimashq,minor,,
Al Atārib,4099339.0239479006,4319757.008749756,Syria,SY,Ḩalab,minor,,
Ḩimmīn,4011965.8027776405,4150348.0181064988,Syria,SY,Ţarţūs,minor,,
Bāniyās,4001791.9805555707,4188625.5976600344,Syria,SY,Ţarţūs,minor,,
Brummānat al Mashāyikh,4026518.7111285357,4166440.904079682,Syria,SY,Ţarţūs,minor,,
‘Āmūdā,4556306.758168687,4453636.286718835,Syria,SY,Al Ḩasakah,minor,,
Al Buşayrah,4500331.19937667,4185125.8255048804,Syria,SY,Dayr az Zawr,minor,,
Ad Dīmās,4017812.525073085,3973532.633398634,Syria,SY,Rīf Dimashq,minor,,
Tall Abyaḑ,4336319.629491818,4396883.75696567,Syria,SY,Ar Raqqah,minor,,
Nawá,4011942.759643046,3880770.586129379,Syria,SY,Dar‘ā,minor,,
Babīlā,4044321.703332632,3957990.981933636,Syria,SY,Rīf Dimashq,minor,,
Al Qaḩţānīyah,4624875.556995675,4443150.063380798,Syria,SY,Al Ḩasakah,minor,,
Banān,4152477.939475524,4296986.904586511,Syria,SY,Ḩalab,minor,,
Shaqqā,4085038.810841106,3881737.8486052807,Syria,SY,As Suwaydā’,minor,,
Khān Arnabah,3995432.632005024,3919722.636107829,Syria,SY,Al Qunayţirah,minor,,
Khanāşir,4174390.4020017437,4270610.234732854,Syria,SY,Ḩalab,minor,,
Sulūk,4355920.6541112065,4382937.187778966,Syria,SY,Ar Raqqah,minor,,
Hīsh,4079142.7740112403,4238594.48417844,Syria,SY,Idlib,minor,,
Arwād,3991754.0794317597,4144334.4524384574,Syria,SY,Ţarţūs,minor,,
Sirghāyā,4025075.5652498915,4003371.1664615716,Syria,SY,Rīf Dimashq,minor,,
Al Jawādīyah,4655397.357620357,4437239.5826964285,Syria,SY,Al Ḩasakah,minor,,
Al Bāriqīyah,4032953.200335368,4140699.2806635285,Syria,SY,Ţarţūs,minor,,
Ḩarbinafsah,4076790.3705317965,4155383.687089429,Syria,SY,Ḩamāh,minor,,
Darkūsh,4051378.9137709625,4299477.163593052,Syria,SY,Idlib,minor,,
Ar Rā‘ī,4168670.138647841,4385136.462426844,Syria,SY,Ḩalab,minor,,
Jawbat Burghāl,4026952.1892256844,4230664.89113123,Syria,SY,Al Lādhiqīyah,minor,,
Tādif,4177920.6770132715,4348630.969059581,Syria,SY,Ḩalab,minor,,
Al Khafsah,4232558.620803916,4332467.698561898,Syria,SY,Ḩalab,minor,,
Latakia,3984136.375357285,4236371.546927282,Syria,SY,Al Lādhiqīyah,admin,,
As Sūsah,4559444.743294658,4100686.7448488097,Syria,SY,Dayr az Zawr,minor,,
Aş Şuwar,4526447.308514226,4232906.774934388,Syria,SY,Dayr az Zawr,minor,,
Şirrīn ash Shamālīyah,4263300.277422914,4381886.937118791,Syria,SY,Ḩalab,minor,,
‘Irbīn,4048283.564009964,3966826.2263941746,Syria,SY,Rīf Dimashq,minor,,
Ad Darbāsīyah,4525359.049172231,4449257.915966587,Syria,SY,Al Ḩasakah,minor,,
Dārayyā,4033390.0180172417,3956300.8250657585,Syria,SY,Rīf Dimashq,minor,,
Al Qaryatayn,4145611.0853664503,4059668.403589252,Syria,SY,Ḩimş,minor,,
Taftanāz,4094975.8565062587,4300390.484288384,Syria,SY,Idlib,minor,,
Jaramānā,4046033.46314256,3960018.802228984,Syria,SY,Rīf Dimashq,minor,,
Al Kiswah,4034429.63074176,3942932.516634521,Syria,SY,Rīf Dimashq,minor,,
Al Qurayyā,4074043.673415963,3834848.977346633,Syria,SY,As Suwaydā’,minor,,
Ash Shaykh Badr,4016796.9573585773,4162759.243234908,Syria,SY,Ţarţūs,minor,,
Al Mushannaf,4093744.6629380845,3860753.2886207583,Syria,SY,As Suwaydā’,minor,,
Ar Rastan,4089033.510768223,4153920.757147902,Syria,SY,Ḩimş,minor,,
Mahīn,4125325.111920209,4061299.8254134865,Syria,SY,Ḩimş,minor,,
Sa‘sa‘,4009668.947724103,3932791.9163000532,Syria,SY,Rīf Dimashq,minor,,
Tall aḑ Ḑamān,4147071.485766167,4274200.897478945,Syria,SY,Ḩalab,minor,,
Bulbul,4098748.9193272055,4407022.822858782,Syria,SY,Ḩalab,minor,,
Tall Ḩamīs,4608563.132773302,4405259.478835049,Syria,SY,Al Ḩasakah,minor,,
Khān Shaykhūn,4079964.8684507483,4224121.933746959,Syria,SY,Idlib,minor,,
Nubl,4118035.2437461214,4352851.244890105,Syria,SY,Ḩalab,minor,,
Hajīn,4545328.763945127,4122520.9605453704,Syria,SY,Dayr az Zawr,minor,,
Al Furqlus,4128556.3827794655,4110517.9922345867,Syria,SY,Ḩimş,minor,,
Ash Shajarah,3994368.751631512,3865358.6869613333,Syria,SY,Dar‘ā,minor,,
Dayr ‘Aţīyah,4092984.5734549486,4041620.7330486015,Syria,SY,Rīf Dimashq,minor,,
Bi’r al Ḩulw al Wardīyah,4568026.251520421,4396948.454195706,Syria,SY,Al Ḩasakah,minor,,
As Safīrah,4160289.005505506,4311216.123074336,Syria,SY,Ḩalab,minor,,
Aş Şanamayn,4027891.0578110353,3904845.9326341,Syria,SY,Dar‘ā,minor,,
Armanāz,4063504.9459030735,4312055.224984465,Syria,SY,Idlib,minor,,
Arīḩā,4075366.5942445514,4275022.868958602,Syria,SY,Idlib,minor,,
Şadad,4110541.2156259185,4070838.164023937,Syria,SY,Ḩimş,minor,,
As Sabkhah,4370701.210820774,4274758.480588536,Syria,SY,Ar Raqqah,minor,,
As Si‘in,4160457.320575585,4199782.141212444,Syria,SY,Ḩamāh,minor,,
Sarāqib,4097215.048063565,4281988.5048088925,Syria,SY,Idlib,minor,,
‘Ayn al Bayḑā,3995113.145066446,4253388.514256962,Syria,SY,Al Lādhiqīyah,minor,,
Abū az̧ Z̧uhūr,4123808.16121917,4264984.316774375,Syria,SY,Idlib,minor,,
Al Fākhūrah,4008564.6583754336,4231827.616390703,Syria,SY,Al Lādhiqīyah,minor,,
Shaţḩah,4034638.0208285246,4232733.927407321,Syria,SY,Ḩamāh,minor,,
‘Assāl al Ward,4053577.139755657,4010625.5173451845,Syria,SY,Rīf Dimashq,minor,,
Rājū,4081434.174409729,4394037.744554183,Syria,SY,Ḩalab,minor,,
Al Muzayri‘ah,4015297.03853963,4236387.551451059,Syria,SY,Al Lādhiqīyah,minor,,
Kuwayris Sharqī,4178727.854641013,4323603.477047479,Syria,SY,Ḩalab,minor,,
Mashtá al Ḩulw,4035441.190954598,4146855.80118052,Syria,SY,Ţarţūs,minor,,
As Suqaylibīyah,4051315.6843001917,4213832.144397552,Syria,SY,Ḩamāh,minor,,
Ma‘arratmişrīn,4082289.108099021,4302206.622078798,Syria,SY,Idlib,minor,,
Khirbat Ghazālah,4030272.181719104,3860017.878094825,Syria,SY,Dar‘ā,minor,,
As Sīsnīyah,4023418.5746294335,4134171.122331798,Syria,SY,Ţarţūs,minor,,
Al Quţaylibīyah,4009273.429573314,4203638.012835125,Syria,SY,Al Lādhiqīyah,minor,,
Al Ḩarāk,4042003.8088953346,3862077.857881474,Syria,SY,Dar‘ā,minor,,
Al Ḩajar al Aswad,4041363.944462254,3956200.485605631,Syria,SY,Rīf Dimashq,minor,,
Tasīl,4004131.916252045,3873284.0220573107,Syria,SY,Dar‘ā,minor,,
Tall Rif‘at,4129364.005685171,4365804.283452204,Syria,SY,Ḩalab,minor,,
Tall Salḩab,4050316.3692313405,4199111.929320909,Syria,SY,Ḩamāh,minor,,
Qūrqīnā,4075681.2944450234,4319693.463899806,Syria,SY,Idlib,minor,,
‘Awaj,4052523.8347337707,4151254.873297095,Syria,SY,Ḩamāh,minor,,
Rankūs,4050727.4721108396,3996116.9854237037,Syria,SY,Rīf Dimashq,minor,,
