city,x,y,country,iso2,admin,capital,population,population_proper
Tanmei,13534381.87564262,2882592.3361284314,Taiwan,TW,Taipei,,6900273,2618772
Kaohsiung,13393218.519923594,2585676.788831532,Taiwan,TW,Kaohsiung,admin,2769072,1519711
Taiping,13438410.559642468,2769084.2318443,Taiwan,TW,Taichung,,2629323,1040725
Tainan,13382087.01612223,2630910.0816429527,Taiwan,TW,Tainan,admin,1876312,762000
Zhongcuo,13495632.896731371,2871650.971373796,Taiwan,TW,Taoyuan,,1632616,369770
Shangzhuwei,13412885.445681531,2760246.9711224167,Taiwan,TW,Changhua,,750000,236588
Hsinchu,13466164.17848959,2851641.8705218867,Taiwan,TW,Hsinchu,admin,750000,415557
Pingtung,13412678.614067638,2592322.551509611,Taiwan,TW,Pingtung,admin,503530,215975
Chiayi,13408308.99009553,2690069.556521107,Taiwan,TW,Chiayi,admin,500000,274212
Keelung,13552246.31620563,2891505.6100922977,Taiwan,TW,Keelung,admin,500000,387207
Taoyuan,13505135.907701919,2874467.2727347803,Taiwan,TW,Taoyuan,admin,500000,402014
Hualien,13536944.784279153,2750598.8869680753,Taiwan,TW,Hualien,admin,350468,108658
Pingzhen,13492386.152462892,2866262.6180512644,Taiwan,TW,Taoyuan,,201632,201632
Zhubei,13470524.228985492,2855900.5017738496,Taiwan,TW,Hsinchu,admin,200000,148006
Taitung,13485751.733450593,2603009.761678587,Taiwan,TW,Taitung,admin,175000,109584
Xiaoyangmei,13485954.334923837,2862205.523292481,Taiwan,TW,Taoyuan,,175000,150022
Bade,13501241.84059448,2867126.1919883993,Taiwan,TW,Taoyuan,,172065,172065
Zhuangtou,13436262.538748119,2745286.546877573,Taiwan,TW,Nantou,,165000,103698
Xiaoji,13450233.134842677,2827804.637433607,Taiwan,TW,Miaoli,,150000,90988
Yilan,13553481.962553438,2845926.9354855795,Taiwan,TW,Yilan,admin,150000,95831
Douliu,13418822.44808401,2718042.354284334,Taiwan,TW,Yunlin,admin,106653,104723
Magong,13310476.300889825,2701092.492579867,Taiwan,TW,Penghu,admin,56435,56435
Pozi,13385517.88282848,2688344.5223051542,Taiwan,TW,Chiayi,,50000,44084
Taibao,13395321.67906315,2687675.9910396687,Taiwan,TW,Chiayi,admin,35000,34330
Nantou,13434766.182152877,2741942.9992223275,Taiwan,TW,Nantou,admin,,
Nangan,13350862.232913187,3017719.467277491,Taiwan,TW,Lienchiang,admin,,
Taipei,13528863.21188654,2881612.3739322284,Taiwan,TW,Taipei,primary,,
Miaoli,13450029.420174524,2822319.2932422,Taiwan,TW,Miaoli,admin,,
Banqiao,13521665.850209303,2877496.9827611805,Taiwan,TW,New Taipei,admin,,
Changhua,13418273.309035925,2762427.9275963204,Taiwan,TW,Changhua,admin,,
Taichung,13434470.294946348,2771318.7580666933,Taiwan,TW,Taichung,admin,,
Jincheng,13171001.327887662,2806400.757853629,Taiwan,TW,Kinmen,admin,,
