city,x,y,country,iso2,admin,capital,population,population_proper
Dushanbe,7655874.303353118,4658839.8949732,Tajikistan,TJ,Dushanbe,primary,1086244,679400
Khŭjand,7750302.842530366,4907088.488124876,Tajikistan,TJ,Sughd,admin,437684,144865
Qŭrghonteppa,7656761.40837525,4556001.202578313,Tajikistan,TJ,Khatlon,admin,311574,65000
Konibodom,7840367.991626988,4908779.003749668,Tajikistan,TJ,Sughd,minor,259876,50359
Kŭlob,7768379.903320794,4567366.555058724,Tajikistan,TJ,Khatlon,minor,115164,78786
Khorugh,7965248.534108189,4507592.419739268,Tajikistan,TJ,Kŭhistoni Badakhshon,admin,30000,12035
Ishqoshim,7971957.314540337,4400821.561742137,Tajikistan,TJ,Kŭhistoni Badakhshon,minor,,
Ismoili Somoní,7658921.11781613,4546459.594511514,Tajikistan,TJ,Khatlon,minor,,
Vahdat,7682552.68723867,4658315.880013895,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
Shahrinav,7607014.954329553,4660384.336400661,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
Shahriston,7659815.013327201,4833222.360461833,Tajikistan,TJ,Sughd,minor,,
Proletar,7736886.172221997,4890258.378678967,Tajikistan,TJ,Sughd,minor,,
Istaravshan,7681409.436068225,4853482.460107045,Tajikistan,TJ,Sughd,minor,,
Roghun,7763078.201252274,4677835.589103469,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
Ghonchí,7695478.995190096,4860477.239125057,Tajikistan,TJ,Sughd,minor,,
Khovaling,7789615.432023501,4627844.147184738,Tajikistan,TJ,Khatlon,minor,,
Panj,7692077.739468397,4472101.074018314,Tajikistan,TJ,Khatlon,minor,,
Tajikobod,7885882.7465496715,4739456.423141966,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
Mehron,7712967.732471681,4781567.664172133,Tajikistan,TJ,Sughd,minor,,
Dŭstí,7643639.623397993,4487742.228054336,Tajikistan,TJ,Khatlon,minor,,
Shŭrobod,7797780.048756243,4557041.168893867,Tajikistan,TJ,Khatlon,minor,,
Qubodiyon,7590479.66848661,4496372.929785837,Tajikistan,TJ,Khatlon,minor,,
Fayzobod,7716644.615252584,4657034.071161754,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
Zafarobod,7663989.494231949,4891555.840383664,Tajikistan,TJ,Sughd,minor,,
Baljuvon,7756376.767906518,4623081.911378471,Tajikistan,TJ,Khatlon,minor,,
Jirghatol,7925007.428742346,4753185.290190671,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
Obikiik,7643869.6094659725,4602100.030592539,Tajikistan,TJ,Khatlon,minor,,
Farkhor,7725968.624481938,4507935.308478548,Tajikistan,TJ,Khatlon,minor,,
Moskva,7751008.274143523,4531648.52010659,Tajikistan,TJ,Khatlon,minor,,
Vakhsh,7662628.50213751,4539221.909562906,Tajikistan,TJ,Khatlon,minor,,
Sovet,7746524.770332333,4586025.34149439,Tajikistan,TJ,Khatlon,minor,,
Sarband,7672398.457246981,4561269.62300393,Tajikistan,TJ,Khatlon,minor,,
Ayní,7629577.1887235325,4778276.081349569,Tajikistan,TJ,Sughd,minor,,
Isfara,7861967.646384081,4884339.794800879,Tajikistan,TJ,Sughd,minor,,
Darband,7788626.247028312,4702747.132949831,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
Nov,7722318.124420352,4888084.135310703,Tajikistan,TJ,Sughd,minor,,
