city,x,y,country,iso2,admin,capital,population,population_proper
Dar es Salaam,4373000.626222599,-758755.8781112635,Tanzania,TZ,,primary,2930000,2698652
Moshi,4155927.619175717,-373132.95155440876,Tanzania,TZ,Kilimanjaro,admin,721018,206728
Mwanza,3662411.2470987006,-280244.21730281285,Tanzania,TZ,Mwanza,admin,493944,436801
Zanzibar,4361868.677143272,-687799.4180312082,Tanzania,TZ,Zanzibar Urban/West,admin,403658,373220
Arusha,4083569.9501600885,-374991.5052220098,Tanzania,TZ,Arusha,admin,341136,320074
Mbeya,3723636.9670350016,-994751.9043212252,Tanzania,TZ,Mbeya,admin,291649,232062
Morogoro,4193034.190319801,-760624.4164877706,Tanzania,TZ,Morogoro,admin,250902,234535
Tanga,4352592.090016997,-564755.3229562014,Tanzania,TZ,Tanga,admin,224876,209435
Dodoma,3979671.7958595306,-689665.495667074,Tanzania,TZ,,primary,218269,180541
Kigoma,3298025.484341882,-543555.6810290478,Tanzania,TZ,Kigoma,admin,164268,164268
Tabora,3651279.2980193724,-559167.7301351419,Tanzania,TZ,Tabora,admin,146495,145292
Musoma,3762598.788812646,-166998.313752922,Tanzania,TZ,Mara,admin,133156,121119
Tukuyu,3745900.8651936557,-1034207.6685288519,Tanzania,TZ,Mbeya,,127570,28398
Songea,3968539.8467802024,-1196214.900086588,Tanzania,TZ,Ruvuma,admin,126449,115397
Iringa,3974105.821319867,-867241.4047752374,Tanzania,TZ,Iringa,admin,111820,94760
Shinyanga,3721781.6050819494,-408450.3940669371,Tanzania,TZ,Shinyanga,admin,107362,80226
Bukoba,3541320.3540425748,-148253.84047118627,Tanzania,TZ,Kagera,admin,100504,70628
Mtwara,4473188.167936546,-1149045.636523258,Tanzania,TZ,Mtwara,admin,96602,86746
Kilosa,4116965.797398071,-762492.9077238812,Tanzania,TZ,Morogoro,,91889,13227
Sumbawanga,3519551.2710204963,-889716.8250773702,Tanzania,TZ,Rukwa,admin,89161,63932
Bagamoyo,4330328.191858342,-717664.9279537966,Tanzania,TZ,Coast,,82426,793
Uvinza,3383123.0011618547,-568884.161036812,Tanzania,TZ,Kigoma,,80350,24650
Mpanda,3455458.4062793246,-710062.4143974503,Tanzania,TZ,Katavi,,73338,73338
Singida,3868352.305066257,-536821.5958212216,Tanzania,TZ,Singida,admin,62432,33067
Korogwe,4283945.033587981,-574068.9032857292,Tanzania,TZ,Tanga,,50000,44000
Chake Chake,4426805.120985676,-585246.8578064685,Tanzania,TZ,Pemba South,admin,49959,21686
Ifakara,4083569.9501600885,-908454.6440996903,Tanzania,TZ,Morogoro,,49528,6331
Njombe,3870207.667019308,-1043607.5909170618,Tanzania,TZ,Njombe,,46724,37311
Lindi,4421239.146446012,-1118889.9748579601,Tanzania,TZ,Lindi,admin,41912,13995
Kasulu,3350994.971604517,-510014.88536644244,Tanzania,TZ,Kigoma,,37349,25088
Tunduma,3647568.6854327605,-1039847.3760265798,Tanzania,TZ,Mbeya,,36556,18530
Masasi,4319196.242779015,-1199991.2848184234,Tanzania,TZ,Mtwara,,36032,27067
Kahama,3629015.3998607183,-427043.3839354008,Tanzania,TZ,Shinyanga,,36014,34544
Babati,3979671.7958595306,-469821.52148894157,Tanzania,TZ,Manyara,admin,34291,3943
Biharamulo,3485289.580783124,-293089.75997681863,Tanzania,TZ,Kagera,,34038,9597
Kibiti,4334501.670887673,-862199.1755142513,Tanzania,TZ,Coast,,30163,943
Sikonge,3647568.6854327605,-628112.5575891562,Tanzania,TZ,Tabora,,27113,1986
Nzega,3693951.7323836307,-469821.52148894157,Tanzania,TZ,Tabora,,26584,10066
Wete,4421239.146446012,-564755.3229562014,Tanzania,TZ,Pemba North,admin,26450,26450
Kakonko,3446915.3032778855,-365637.2793853227,Tanzania,TZ,Kigoma,,24688,7950
Kibaha,4332183.553811393,-755019.1077346865,Tanzania,TZ,Coast,admin,23651,23651
Mpwapwa,4061306.052001434,-708330.317182696,Tanzania,TZ,Dodoma,,19806,381
Itigi,3838667.0704148873,-635570.3393177895,Tanzania,TZ,Singida,,19711,3357
Same,4200455.415493026,-453079.87264320726,Tanzania,TZ,Kilimanjaro,,17455,2081
Ngara,3412591.719403632,-279748.9252956047,Tanzania,TZ,Kagera,,16890,4598
Mikumi,4116939.0807202803,-826523.1329728195,Tanzania,TZ,Morogoro,,16780,8162
Karema,3388439.063444688,-761055.9373394653,Tanzania,TZ,Katavi,,16385,12630
Nyahanga,3734768.916114328,-265387.9609450718,Tanzania,TZ,Simiyu,,16092,16092
Mbulu,3955552.5357478242,-428902.9242656117,Tanzania,TZ,Manyara,,13430,7412
Kilindoni,4415692.652817237,-883785.9676938066,Tanzania,TZ,Coast,,12409,3580
Ngorongoro,3953697.285114263,-361982.5115784618,Tanzania,TZ,Arusha,,10836,10836
Mbamba Bay,3870207.667019308,-1264253.2043741185,Tanzania,TZ,Ruvuma,,8997,8997
Oldeani,3957407.897700875,-373132.95155440876,Tanzania,TZ,Arusha,,8000,6601
