city,x,y,country,iso2,admin,capital,population,population_proper
Bang Rak,11190267.5794421,1543324.5732197622,Thailand,TH,Krung Thep Maha Nakhon,minor,6704000,5104476
Chiang Mai,11018924.507893603,2130271.5633009356,Thailand,TH,Chiang Mai,admin,397211,200952
Samut Prakan,11198382.102403985,1528412.8752911596,Thailand,TH,Samut Prakan,admin,388920,388920
Nakhon Ratchasima,11363777.48487889,1685926.8976328562,Thailand,TH,Nakhon Ratchasima,admin,334984,208781
Hat Yai,11185013.076837676,782119.7302520995,Thailand,TH,Songkhla,minor,317954,191696
Ubon Ratchathani,11671699.330237579,1716694.9071030188,Thailand,TH,Ubon Ratchathani,admin,273893,122533
Nonthaburi,11189102.398331968,1558408.0537798782,Thailand,TH,Nonthaburi,admin,258550,258550
Khon Kaen,11447317.085425211,1856512.8415651221,Thailand,TH,Khon Kaen,admin,251056,147579
Udon Thani,11442072.824213939,1969265.2860608704,Thailand,TH,Udon Thani,admin,247231,231153
Nakhon Si Thammarat,11128238.466740746,942202.5985537326,Thailand,TH,Nakhon Si Thammarat,admin,232335,120836
Chon Buri,11241426.677825965,1501143.1585017024,Thailand,TH,Chon Buri,admin,226618,216063
Lampang,11075484.494012283,2071792.3916718732,Thailand,TH,Lampang,admin,204081,156139
Si Racha,11235599.881719373,1479586.5824693218,Thailand,TH,Chon Buri,minor,178916,9493
Phitsanulok,11160734.518534644,1900440.924379256,Thailand,TH,Phitsanulok,admin,164017,103427
Surat Thani,11057711.669390194,1021815.4167202195,Thailand,TH,Surat Thani,admin,157627,127201
Pathum Thani,11191002.7333593,1575760.938730583,Thailand,TH,Pathum Thani,admin,154412,154412
Pattani,11271638.453668788,767153.4327965863,Thailand,TH,Pattani,admin,150000,43631
Yala,11274580.961768925,729609.5010405222,Thailand,TH,Yala,admin,148140,93558
Trang,11088593.25460912,843822.1643344513,Thailand,TH,Trang,admin,147820,59637
Phuket,10951982.532105068,874731.9339537114,Thailand,TH,Phuket,admin,141618,75573
Nakhon Pathom,11136877.638462739,1553528.0426634294,Thailand,TH,Nakhon Pathom,admin,117927,117927
Ban Wiang Wai,11112378.556248447,2257794.8859169236,Thailand,TH,Chiang Rai,,117127,78756
Nakhon Sawan,11147218.439921,1770553.0092701912,Thailand,TH,Nakhon Sawan,admin,111915,111915
Ratchaburi,11111590.636892611,1521117.541676838,Thailand,TH,Ratchaburi,admin,106996,92448
Ban Nong Kham,11437091.277000941,2019420.5633902175,Thailand,TH,Nong Khai,,104505,63609
Chanthaburi,11366217.83075606,1415165.9441503892,Thailand,TH,Chanthaburi,admin,99819,90082
Phetchaburi,11125789.437943293,1472518.2178620049,Thailand,TH,Phetchaburi,admin,90497,46601
Chumphon,11040635.259502506,1174965.5597986288,Thailand,TH,Chumphon,admin,85686,55835
Nan,11218666.183418881,2129495.743091077,Thailand,TH,Nan,admin,82483,24670
Prachin Buri,11284305.275887173,1579944.0178131675,Thailand,TH,Prachin Buri,admin,79757,32600
Uttaradit,11142436.377235502,1993768.5588227378,Thailand,TH,Uttaradit,admin,76630,58313
Sakon Nakhon,11593619.282797724,1939592.757206976,Thailand,TH,Sakon Nakhon,admin,76237,59274
Sara Buri,11233293.119231153,1634544.39657349,Thailand,TH,Sara Buri,admin,70769,70769
Narathiwat,11334893.861880722,716887.0322035344,Thailand,TH,Narathiwat,admin,68112,47771
Kanchanaburi,11081861.542361869,1574583.1047030764,Thailand,TH,Kanchanaburi,admin,63699,63699
Samut Sakhon,11162408.541037194,1522356.3485047445,Thailand,TH,Samut Sakhon,admin,63498,63498
Surin,11520859.193822877,1675582.4581222457,Thailand,TH,Surin,admin,62536,46673
Kamphaeng Phet,11078686.487845462,1860776.5616281198,Thailand,TH,Kamphaeng Phet,admin,58787,58787
Chaiyaphum,11357795.39808264,1782784.4931589072,Thailand,TH,Chaiyaphum,admin,58350,52032
Lop Buri,11204748.909360414,1665940.9757415615,Thailand,TH,Lop Buri,admin,57761,26500
Nakhon Phanom,11663895.499974499,1968698.1718632816,Thailand,TH,Nakhon Phanom,admin,55377,34595
Kalasin,11522300.224631198,1854898.965263144,Thailand,TH,Kalasin,admin,55102,55102
Suphan Buri,11145549.872073498,1628674.5763488908,Thailand,TH,Suphan Buri,admin,53399,53399
Maha Sarakham,11499377.64904552,1826137.522491756,Thailand,TH,Maha Sarakham,admin,51584,51584
Phetchabun,11259691.31195838,1856117.631396357,Thailand,TH,Phetchabun,admin,50656,50656
Hua Hin,11127386.204719232,1410533.5510997681,Thailand,TH,Prachuap Khiri Khan,minor,50456,17470
Chachoengsao,11251234.147603834,1538468.046845488,Thailand,TH,Chachoengsao,admin,49741,49741
Songkhla,11198195.085659452,803485.9878190916,Thailand,TH,Songkhla,admin,48616,48616
Buriram,11477475.539231941,1688547.16205791,Thailand,TH,Buriram,admin,47292,47292
Mae Sot,10972391.179630162,1887868.1875631723,Thailand,TH,Tak,minor,45781,44563
Si Sa Ket,11613893.45637794,1702434.6817811397,Thailand,TH,Sisaket,admin,44751,40961
Phatthalung,11140622.760091497,850525.9743467147,Thailand,TH,Phatthalung,admin,43522,43522
Roi Et,11538695.025276758,1810896.7242212284,Thailand,TH,Roi Et,admin,39328,39328
Phrae,11147648.244474951,2054631.6814348937,Thailand,TH,Phrae,admin,38538,17971
Rayong,11273937.423792649,1421879.9010198624,Thailand,TH,Rayong,admin,37035,37035
Phichit,11170776.538479615,1855947.7105649076,Thailand,TH,Phichit,admin,35760,35760
Loei,11324252.163838847,1977999.7731656148,Thailand,TH,Loei,admin,35273,24543
Samut Songkhram,11132242.85146356,1507134.3363349594,Thailand,TH,Samut Songkhram,admin,35065,35065
Satun,11139380.545893732,738932.2777788499,Thailand,TH,Satun,admin,34544,34544
Prachuap Khiri Khan,11109012.032207876,1324200.349240316,Thailand,TH,Prachuap Khiri Khan,admin,33521,33521
Tak,11034987.46513711,1905660.7512105522,Thailand,TH,Tak,admin,33146,24149
Krabi,11010668.275219938,901622.7761453281,Thailand,TH,Krabi,admin,31219,31219
Thung Song,11096370.14555543,911962.6763762594,Thailand,TH,Nakhon Si Thammarat,minor,28223,23852
Ranong,10979971.369036239,1115028.1632523395,Thailand,TH,Ranong,admin,24561,24561
Aranyaprathet,11410390.62921723,1538991.53881171,Thailand,TH,Sa Kaeo,minor,22472,20236
Uthai Thani,11134676.406851793,1732962.5167016205,Thailand,TH,Uthai Thani,admin,22219,16247
Yasothon,11593379.945892518,1780888.1886921572,Thailand,TH,Yasothon,admin,21643,21643
Trat,11411970.141472096,1373151.2977612342,Thailand,TH,Trat,admin,21590,21590
Nakhon Nayok,11266973.833046077,1597703.8364356705,Thailand,TH,Nakhon Nayok,admin,21309,21309
Phayao,11118460.941905899,2177557.1979968017,Thailand,TH,Phayao,admin,21058,19118
Sing Buri,11176993.286762455,1676279.9009543878,Thailand,TH,Sing Buri,admin,20046,20046
Bua Yai,11401995.247180073,1756772.4940919508,Thailand,TH,Nakhon Ratchasima,minor,18269,16832
Chai Nat,11145700.153386068,1710686.979692581,Thailand,TH,Chai Nat,admin,15469,15469
Lamphun,11021458.47346253,2105612.6452302723,Thailand,TH,Lamphun,admin,14030,14030
Ang Thong,11182358.329621237,1641808.6373540398,Thailand,TH,Ang Thong,admin,13738,13738
Sukhothai,11112245.529456947,1921730.4640563605,Thailand,TH,Sukhothai,admin,10276,10276
Phangnga,10968292.729937626,944180.1318645094,Thailand,TH,Phangnga,admin,9676,9676
Mae Hong Son,10905447.534049265,2191295.7497009058,Thailand,TH,Mae Hong Son,admin,9109,9109
Ron Phibun,11115724.263544237,913602.7008940649,Thailand,TH,Nakhon Si Thammarat,minor,,
Prawet,11209263.137351064,1541808.9917324574,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Kantharalak,11649575.471998343,1647810.0131593796,Thailand,TH,Sisaket,minor,,
Kantang,11078027.142501494,826672.0962200466,Thailand,TH,Trang,minor,,
Kanthararom,11641060.644147566,1701099.791021893,Thailand,TH,Sisaket,minor,,
Lat Bua Luang,11166223.126028208,1593236.2852008287,Thailand,TH,Phra Nakhon Si Ayutthaya,minor,,
Pom Prap Sattru Phai,11189083.362699041,1546492.1464877853,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Na Klang,11375611.971264614,1956613.8547719077,Thailand,TH,Nong Bua Lamphu,minor,,
Chum Ta Bong,11082112.011216152,1762138.8496132484,Thailand,TH,Nakhon Sawan,minor,,
Mae Wong,11078364.217919616,1779449.0849983306,Thailand,TH,Nakhon Sawan,minor,,
Don Sak,11097644.41976654,1041738.324543654,Thailand,TH,Surat Thani,minor,,
Chatturat,11337386.082640601,1754449.7883681422,Thailand,TH,Chaiyaphum,minor,,
Chaturaphak Phiman,11527934.215379735,1786863.3815836522,Thailand,TH,Roi Et,minor,,
Chat Trakan,11198765.486730278,1952983.3957968778,Thailand,TH,Phitsanulok,minor,,
Kong Krailat,11129466.098085213,1915235.0146821663,Thailand,TH,Sukhothai,minor,,
Mueang Chan,11581251.130773136,1707590.209976366,Thailand,TH,Sisaket,minor,,
Kao Liao,11140758.792509247,1787419.5225560344,Thailand,TH,Nakhon Sawan,minor,,
Khon Sawan,11385871.954772556,1796839.7144275045,Thailand,TH,Chaiyaphum,minor,,
Khon San,11345620.719333053,1875805.9281119052,Thailand,TH,Chaiyaphum,minor,,
Phu Kam Yao,11128621.851067038,2186808.938854311,Thailand,TH,Phayao,minor,,
Sop Pong,10938299.585574722,2216113.1715114247,Thailand,TH,Mae Hong Son,minor,,
Kaeng Krachan,11092758.829954604,1449157.0779301538,Thailand,TH,Phetchaburi,minor,,
Na Bon,11086833.73873764,922888.1982546849,Thailand,TH,Nakhon Si Thammarat,minor,,
Si Somdet,11520219.106750816,1804487.913685208,Thailand,TH,Roi Et,minor,,
Na Chaluai,11715795.652208574,1633995.8761348613,Thailand,TH,Ubon Ratchathani,minor,,
Na Chueak,11469451.407696582,1780807.9019628332,Thailand,TH,Maha Sarakham,minor,,
Thawi Watthana,11169055.761790935,1549963.956914973,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Thung Khru,11188681.72197626,1531657.6188194554,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Lam Plai Mat,11447978.991117466,1692103.944260085,Thailand,TH,Buriram,minor,,
Thung Fon,11494887.800023353,1975799.6806491278,Thailand,TH,Udon Thani,minor,,
Charoen Sin,11526057.14612598,1988358.8340672702,Thailand,TH,Sakon Nakhon,minor,,
Nikhom Kham Soi,11638616.624727199,1847804.2693628322,Thailand,TH,Mukdahan,minor,,
Nikhom Nam Un,11545881.366324408,1942153.9553745897,Thailand,TH,Sakon Nakhon,minor,,
Sai Noi,11166690.445250558,1571824.2465028919,Thailand,TH,Nonthaburi,minor,,
Sai Ngam,11119529.609017516,1859055.8163741012,Thailand,TH,Kamphaeng Phet,minor,,
Sattahip,11232217.55031111,1421648.9693273176,Thailand,TH,Chon Buri,minor,,
Sawang Arom,11116463.313643614,1756590.9360451698,Thailand,TH,Uthai Thani,minor,,
Chom Thong,11185835.839194128,1537204.7876782303,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Chatuchak,11194271.407567462,1554597.2923277074,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Song Khwae,11209919.143110309,2197323.6810815134,Thailand,TH,Nan,minor,,
In Buri,11168340.088784622,1690107.030354907,Thailand,TH,Sing Buri,minor,,
Mueang Pan,11076567.966616176,2127643.797999151,Thailand,TH,Lampang,minor,,
Thung Saliam,11083070.583351374,1958230.0899654233,Thailand,TH,Sukhothai,minor,,
Bung Khla,11574352.88456766,2072964.9839660013,Thailand,TH,Bueng Kan,minor,,
Si Wilai,11549167.183734154,2058848.417939645,Thailand,TH,Bueng Kan,minor,,
Phu Sing,11591884.145894729,1637099.3698442376,Thailand,TH,Sisaket,minor,,
Ban Nang Sata,11272724.375301477,698965.636357702,Thailand,TH,Yala,minor,,
Phra Yuen,11427148.108763793,1842889.4520927558,Thailand,TH,Khon Kaen,minor,,
Wang Hin,11602938.727927955,1683188.9273917465,Thailand,TH,Sisaket,minor,,
Sam Sung,11474803.871452903,1867714.3955715676,Thailand,TH,Khon Kaen,minor,,
Chuen Chom,11485567.464337196,1869071.607190431,Thailand,TH,Maha Sarakham,minor,,
Ku Kaeo,11482942.550744291,1940872.2697137343,Thailand,TH,Udon Thani,minor,,
Pa Mok,11181872.754002398,1630480.911166738,Thailand,TH,Ang Thong,minor,,
Huai Phueng,11567213.409025632,1880164.4172838482,Thailand,TH,Kalasin,minor,,
Khun Han,11624544.059979077,1645144.6682356466,Thailand,TH,Sisaket,minor,,
Pang Sila Thong,11075071.05342348,1815878.2345195971,Thailand,TH,Kamphaeng Phet,minor,,
Kosamphi Nakhon,11059563.580439031,1877948.759950159,Thailand,TH,Kamphaeng Phet,minor,,
Mae Poen,11072928.153225709,1765138.038091382,Thailand,TH,Nakhon Sawan,minor,,
Khura Buri,10955523.159829238,1027888.9899144506,Thailand,TH,Phangnga,minor,,
Bang Sao Thong,11224390.676913435,1527792.4678391244,Thailand,TH,Samut Prakan,minor,,
Phanom Phrai,11589500.01636041,1767443.9865986041,Thailand,TH,Roi Et,minor,,
Phanom Thuan,11098395.60369041,1589170.467736764,Thailand,TH,Kanchanaburi,minor,,
Phanom Sarakham,11282820.38519948,1545306.440160898,Thailand,TH,Chachoengsao,minor,,
Bang Sue,11191743.119292565,1552430.521386984,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Tha Phae,11128615.28321708,757650.8397564612,Thailand,TH,Satun,minor,,
Khiri Ratthanikhom,11015382.09905758,1009424.3959033574,Thailand,TH,Surat Thani,minor,,
Khiri Mat,11109685.181168701,1901432.617171688,Thailand,TH,Sukhothai,minor,,
Bamnet Narong,11320058.758620664,1747110.3547288845,Thailand,TH,Chaiyaphum,minor,,
Phipun,11088203.636391344,956500.2246590544,Thailand,TH,Nakhon Si Thammarat,minor,,
Phra Samut Chedi,11195634.514732227,1528619.8336376192,Thailand,TH,Samut Prakan,minor,,
Bang Klam,11177673.560170693,791224.2375067691,Thailand,TH,Songkhla,minor,,
Ban Phraek,11196087.585059755,1648529.5791262467,Thailand,TH,Phra Nakhon Si Ayutthaya,minor,,
Amphawa,11127148.537606386,1508255.8889547323,Thailand,TH,Samut Songkhram,minor,,
Khlung,11379236.08860688,1397496.67096721,Thailand,TH,Chanthaburi,minor,,
Na Yung,11371264.388551682,2025551.3038880874,Thailand,TH,Udon Thani,minor,,
Siao,11651829.691686908,1665681.9156636847,Thailand,TH,Sisaket,minor,,
Sao Hai,11225942.915893057,1637489.130221201,Thailand,TH,Sara Buri,minor,,
Sap Yai,11311919.968009787,1762767.9263190692,Thailand,TH,Chaiyaphum,minor,,
Ban Khai,11276262.442677358,1434906.9010953852,Thailand,TH,Rayong,minor,,
Chon Daen,11227637.532501401,1826681.6266007326,Thailand,TH,Phetchabun,minor,,
