city,x,y,country,iso2,admin,capital,population,population_proper
Tunis,1132239.2237786672,4412115.648269004,Tunisia,TN,Tunis,primary,2412500,728453
Sfax,1197828.667754064,4128679.397285118,Tunisia,TN,Sfax,admin,453050,277278
Hammam Sousse,1180335.1437343736,4281498.817548757,Tunisia,TN,Sousse,,327004,164123
Gabès,1124126.0366506719,4012895.6825044984,Tunisia,TN,Gabès,admin,219517,110075
Zarzis,1236999.4362159288,3962391.67279858,Tunisia,TN,Médenine,,159161,79316
Kairouan,1123918.648439324,4256418.624532564,Tunisia,TN,Kairouan,admin,144522,119794
Bizerte,1099158.633338612,4477427.15592435,Tunisia,TN,Bizerte,admin,139843,115268
Gafsa,977848.9974830776,4086012.908076896,Tunisia,TN,Gafsa,admin,126803,81232
Nabeul,1195307.503926578,4363557.071774477,Tunisia,TN,Nabeul,admin,115149,115149
Ariana,1134720.869186922,4419626.795238707,Tunisia,TN,Tunis,admin,97687,97687
Kasserine,983675.3483117067,4186677.7085931343,Tunisia,TN,Kasserine,admin,81987,78158
Mnara,1200201.2200613413,4259108.938021139,Tunisia,TN,Monastir,,71546,41400
Tataouine,1163485.3803299407,3885973.0790935536,Tunisia,TN,Tataouine,admin,62577,62577
Béja,1022101.2780606735,4400932.948963687,Tunisia,TN,Béja,admin,59567,57233
Jendouba,977411.7345232415,4369797.827052046,Tunisia,TN,Jendouba,admin,51408,51408
El Kef,969020.9165852077,4324622.951650187,Tunisia,TN,Kef,admin,47979,36628
Mahdia,1231440.9200821484,4232684.152199927,Tunisia,TN,Mahdia,admin,45977,45977
Sidi Bouzid,1055858.1344072984,4169078.2065990423,Tunisia,TN,Sidi Bouzid,admin,42098,42098
Tozeur,905419.3047569066,4018022.5071658725,Tunisia,TN,Tozeur,admin,39504,34943
Siliana,1043154.6880764423,4312318.8695716895,Tunisia,TN,Siliana,admin,26960,26960
Kebili,998428.2977875577,3989177.155854499,Tunisia,TN,Kébili,admin,19875,19875
Ben Gardane,1248965.613559261,3913612.913205507,Tunisia,TN,Médenine,,19843,13364
Zaghouan,1129105.2461543642,4356203.3202660605,Tunisia,TN,Zaghouan,admin,16911,16911
Dehiba,1191269.1667590705,3764359.747060893,Tunisia,TN,Tataouine,,3525,3525
Sousse,1184104.4216926338,4276621.553133183,Tunisia,TN,Sousse,admin,,
Ben Arous,1137561.5199529848,4404741.647481406,Tunisia,TN,Tunis,admin,,
Medenine,1169464.461499938,3942512.56898668,Tunisia,TN,Médenine,admin,,
Manouba,1124015.719035296,4412382.178563167,Tunisia,TN,Tunis,admin,,
Monastir,1205961.1131539666,4270849.136362005,Tunisia,TN,Monastir,admin,,
