city,x,y,country,iso2,admin,capital,population,population_proper
Istanbul,3223567.327854476,5013971.082876116,Turkey,TR,İstanbul,admin,10061000,9945610
Ankara,3655766.030095796,4853112.082290131,Turkey,TR,Ankara,primary,3716000,3307379
İzmir,3021030.1972763967,4637895.346955335,Turkey,TR,İzmir,admin,2587000,2322818
Bursa,3234958.8739863336,4894406.162996997,Turkey,TR,Bursa,admin,1492000,1359089
Adana,3932793.933772084,4439339.148099961,Turkey,TR,Adana,admin,1293000,1197890
Gaziantep,4161400.8645795495,4447395.756351598,Turkey,TR,Gaziantep,admin,1044000,842524
Konya,3616173.138124843,4561268.353828905,Turkey,TR,Konya,admin,919000,518360
Tarsus,3884245.7227252843,4427635.859188425,Turkey,TR,Mersin,minor,894318,238276
Antalya,3417014.6654118304,4426307.3479577955,Turkey,TR,Antalya,admin,783000,623937
Trabzon,4422383.176852895,5013079.190681613,Turkey,TR,Trabzon,admin,764714,230399
Diyarbakır,4476959.672284623,4567231.662161505,Turkey,TR,Diyarbakır,admin,644763,636410
Samsun,4044237.1005196287,5054717.376922189,Turkey,TR,Samsun,admin,609339,538106
Kayseri,3950203.077617753,4683386.9331283085,Turkey,TR,Kayseri,admin,592840,531591
Eskişehir,3397532.7526475904,4833541.013554164,Turkey,TR,Eskişehir,admin,514869,466420
Kocaeli,3330338.972170881,4978026.494425352,Turkey,TR,Kocaeli,admin,466504,300611
Malatya,4265392.08197441,4629013.723262621,Turkey,TR,Malatya,admin,461574,441805
Şanlıurfa,4318519.308955501,4462421.243030844,Turkey,TR,Şanlıurfa,admin,449549,413266
Erzurum,4594928.387582469,4852670.752760945,Turkey,TR,Erzurum,admin,420691,362917
Kahramanmaraş,4110628.601426191,4520923.538472025,Turkey,TR,Kahramanmaraş,admin,376045,373446
Denizli,3238005.6884493446,4547572.12260628,Turkey,TR,Denizli,admin,372344,313238
Van,4829399.18388696,4649528.782428722,Turkey,TR,Van,admin,371713,280811
Hatay,4025003.875497821,4329079.818009172,Turkey,TR,Hatay,admin,305564,305564
Batman,4578816.449763014,4563528.29510969,Turkey,TR,Batman,admin,302074,250601
İskenderun,4026812.037986776,4381720.847511017,Turkey,TR,Hatay,minor,297943,159965
Sakarya,3384483.547978331,4980027.408518082,Turkey,TR,Sakarya,admin,286787,286787
Rize,4510882.172033547,5015415.012391608,Turkey,TR,Rize,admin,279450,96503
Elazığ,4366307.319199672,4675126.639539617,Turkey,TR,Elazığ,admin,271492,271492
Sivas,4120614.627667293,4829437.830191174,Turkey,TR,Sivas,admin,264022,227581
Balıkesir,3104267.676724705,4815090.392778486,Turkey,TR,Balıkesir,admin,261516,238151
Manisa,3053100.1180595397,4666247.876639096,Turkey,TR,Manisa,admin,243971,231429
Adıyaman,4260896.778297197,4546198.097247851,Turkey,TR,Adıyaman,admin,223744,167250
Kırıkkale,3729914.1618013424,4843483.907588029,Turkey,TR,Kırıkkale,admin,211138,205971
Aydın,3099092.9901951794,4557553.719701054,Turkey,TR,Aydın,admin,198857,163022
Kütahya,3337729.3618451552,4782613.266713645,Turkey,TR,Kütahya,admin,185008,151911
Çorum,3890987.231087725,4946028.881962551,Turkey,TR,Çorum,admin,183418,153670
Isparta,3401057.7956430507,4546202.884968578,Turkey,TR,Isparta,admin,172334,149844
Zonguldak,3539186.4707235587,5079151.608467634,Turkey,TR,Zonguldak,admin,156918,100229
Ordu,4215763.849227936,5009086.888696158,Turkey,TR,Ordu,admin,155117,116788
Uşak,3273438.571049353,4675012.142507716,Turkey,TR,Uşak,admin,152862,141519
Nusaybin,4586848.262343239,4447638.901087634,Turkey,TR,Mardin,minor,152668,88977
Tokat,4069222.092311234,4911661.166245913,Turkey,TR,Tokat,admin,129702,129702
Erzincan,4396023.611988974,4828113.569310695,Turkey,TR,Erzincan,admin,129407,114027
Karabük,3632096.723365876,5042609.139003733,Turkey,TR,Karabük,admin,128564,97481
Edirne,2956497.0639491375,5112530.694219421,Turkey,TR,Edirne,admin,126470,102378
Tekirdağ,3062234.8841545456,5009098.979637273,Turkey,TR,Tekirdağ,admin,122287,94245
Karaman,3697476.8866985817,4464381.480902283,Turkey,TR,Karaman,admin,120399,86840
Giresun,4273266.488794655,5000103.934055606,Turkey,TR,Giresun,admin,98864,98864
Bafra,3997142.7220225898,5096452.970407695,Turkey,TR,Samsun,minor,97452,92944
Bolu,3518376.1824756823,4973454.829716751,Turkey,TR,Bolu,admin,96629,96349
Kırşehir,3803106.72699792,4742582.478430908,Turkey,TR,Kırşehir,admin,94336,94336
Samandağ,4004833.340363534,4311651.092607012,Turkey,TR,Hatay,minor,93638,93638
Polatlı,3577955.0418651877,4804684.518101807,Turkey,TR,Ankara,minor,93262,52001
Ereğli,3790227.0619131387,4510812.28397225,Turkey,TR,Konya,minor,92117,81009
Niğde,3860487.8056806936,4574600.426617268,Turkey,TR,Niğde,admin,91039,91039
Lüleburgaz,3045610.097441005,5072092.886963896,Turkey,TR,Kırklareli,minor,90899,45080
Yozgat,3874412.9834230053,4839819.543196224,Turkey,TR,Yozgat,admin,87881,87881
Ağrı,4791207.6929856045,4824564.542514399,Turkey,TR,Ağrı,admin,87854,87854
Çanakkale,2940249.0937119327,4888568.262561348,Turkey,TR,Çanakkale,admin,87791,61543
Amasya,3988917.5474868566,4961342.051309104,Turkey,TR,Amasya,admin,82896,72505
Muş,4618069.149370102,4683303.166867324,Turkey,TR,Muş,admin,82536,78546
Kilis,4131622.9007923487,4399609.849477545,Turkey,TR,Kilis,admin,82301,64339
Bingöl,4507759.1037193425,4705172.414222255,Turkey,TR,Bingöl,admin,80568,80568
Hakkari,4869207.256433616,4519482.227358042,Turkey,TR,Hakkâri,admin,77699,7071
Kars,4796253.3602253,4953263.016370722,Turkey,TR,Kars,admin,77486,48100
Söke,3050837.5494091664,4543915.73158457,Turkey,TR,Aydın,minor,77341,68230
Nevşehir,3864146.877343068,4668097.505071026,Turkey,TR,Nevşehir,admin,75527,75527
Eskitatvan,4708814.4605554715,4652672.853000328,Turkey,TR,Bitlis,,73222,63651
Çankırı,3742038.19018262,4953512.402728611,Turkey,TR,Çankırı,admin,71379,71379
Mardin,4535553.354180606,4482838.09223431,Turkey,TR,Mardin,admin,71373,57586
Kastamonu,3759846.4144027834,5068265.1900085695,Turkey,TR,Kastamonu,admin,70402,70402
Burdur,3371960.1052640867,4539985.4899068475,Turkey,TR,Burdur,admin,66158,66158
Bitlis,4687423.86380209,4636250.311639543,Turkey,TR,Bitlis,admin,62811,43109
Kırklareli,3030696.51393994,5121378.24805837,Turkey,TR,Kırklareli,admin,58223,58223
Muğla,3157744.0016289223,4469546.119940451,Turkey,TR,Muğla,admin,48183,40794
Bilecik,3337282.5254091118,4886587.772631533,Turkey,TR,Bilecik,admin,40285,40285
Sinop,3914274.3780057523,5164999.145732003,Turkey,TR,Sinop,admin,34834,34834
Gümüşhane,4393976.669192268,4933016.444568657,Turkey,TR,Gümüşhane,admin,32250,32250
Tunceli,4401963.508698213,4735892.820282823,Turkey,TR,Tunceli,admin,29062,29062
Silopi,4727009.074728179,4473142.386678855,Turkey,TR,Şırnak,minor,,
Silvan,4565008.93672247,4598809.042157739,Turkey,TR,Diyarbakır,minor,,
Sille,3608971.991584917,4569162.519078922,Turkey,TR,Konya,minor,,
Yeşilce,4207393.514076208,4944107.701132344,Turkey,TR,Ordu,minor,,
Çubuk,3677130.24412986,4900677.406079063,Turkey,TR,Ankara,minor,,
Çakırhüyük,4214091.941795711,4517558.447604963,Turkey,TR,Adıyaman,minor,,
Bozyazı,3670461.983992361,4315064.2402171865,Turkey,TR,Mersin,minor,,
Derebucak,3507585.427635636,4493858.733136151,Turkey,TR,Konya,minor,,
Zile,3994854.549889334,4910079.777242627,Turkey,TR,Tokat,minor,,
Küçükkuyu,2961685.9993734835,4800602.98102141,Turkey,TR,Çanakkale,minor,,
Korgun,3731255.33902642,4973302.335708814,Turkey,TR,Çankırı,minor,,
Korgan,4157411.953265954,4986522.473945367,Turkey,TR,Ordu,minor,,
Gökçeli,4089135.9246997526,4951076.282660023,Turkey,TR,Tokat,minor,,
Görükle,3210473.372749917,4899588.130032756,Turkey,TR,Bursa,minor,,
Enez,2903490.618615558,4971822.620972657,Turkey,TR,Edirne,minor,,
Gümüşakar,4305055.661822017,4836025.698294817,Turkey,TR,Erzincan,minor,,
Gümüşçay,3037024.359074592,4907047.192033137,Turkey,TR,Çanakkale,minor,,
Yalakdere,3290854.39406447,4954451.800320185,Turkey,TR,Kocaeli,minor,,
Yalangöz,4064014.566531925,4380281.743244308,Turkey,TR,Hatay,minor,,
Aktepe,4061530.8060533456,4397595.586911169,Turkey,TR,Hatay,minor,,
Kandıra,3356574.74976104,5022672.580037134,Turkey,TR,Kocaeli,minor,,
Kangal,4162359.3253952786,4755180.172123767,Turkey,TR,Sivas,minor,,
Yeşilyurt,4032069.212258979,4866871.772327615,Turkey,TR,Tokat,minor,,
Araban,4195519.843229725,4498747.269770018,Turkey,TR,Gaziantep,minor,,
Araç,3710018.919767787,5048135.270875299,Turkey,TR,Kastamonu,minor,,
Arhavi,4598002.697959707,5064283.450570241,Turkey,TR,Artvin,minor,,
Argıthanı,3530444.551111563,4620841.68019695,Turkey,TR,Konya,minor,,
Arguvan,4259448.623041468,4689315.251476924,Turkey,TR,Malatya,minor,,
Çolaklı,4287967.1181098325,4626647.74039354,Turkey,TR,Malatya,minor,,
Çaldıran,4888114.537986382,4742199.527019128,Turkey,TR,Van,minor,,
Bala,3687284.808080022,4801372.925080819,Turkey,TR,Ankara,minor,,
Yeşilyurt,3147600.124349876,4466076.9870050615,Turkey,TR,Muğla,minor,,
Yeşilyazı,4350501.509979899,4769732.822364246,Turkey,TR,Tunceli,minor,,
Yeşilyurt,4257443.313734317,4621328.466650818,Turkey,TR,Malatya,minor,,
Yeşilyurt,3190911.3099523056,4627528.923774525,Turkey,TR,Manisa,minor,,
Milas,3092888.3757368345,4483299.5687356815,Turkey,TR,Muğla,minor,,
Sarıkamış,4740768.720387681,4913676.188028472,Turkey,TR,Kars,minor,,
Sarıkavak,3745120.8495216668,4380901.389694789,Turkey,TR,Mersin,minor,,
Sarıgöl,3194494.4617219595,4613318.281731598,Turkey,TR,Manisa,minor,,
Seydim,3867029.8295156327,4945168.808569058,Turkey,TR,Çorum,minor,,
Eskipazar,3621324.4475613018,5003934.713954074,Turkey,TR,Karabük,minor,,
Gülnar,3717982.7161391377,4347711.213158892,Turkey,TR,Mersin,minor,,
Midyat,4601846.893935271,4497682.955214712,Turkey,TR,Mardin,minor,,
Süleymanlı,4098465.722542627,4561450.270497052,Turkey,TR,Kahramanmaraş,minor,,
Kilimli,3544257.964085119,5085052.541741853,Turkey,TR,Zonguldak,minor,,
Güneysınır,3643373.276463744,4476730.229008543,Turkey,TR,Konya,minor,,
Sarayköy,3219933.970994474,4568763.27934186,Turkey,TR,Denizli,minor,,
Saraykent,3953078.794023416,4821518.046761353,Turkey,TR,Yozgat,minor,,
Saraydüzü,3879134.376986021,5060939.287283339,Turkey,TR,Sinop,minor,,
Demirci,4426996.145231877,4496787.629684034,Turkey,TR,Şanlıurfa,minor,,
Doğanyol,4345279.7353057675,4622950.545162143,Turkey,TR,Malatya,minor,,
