city,x,y,country,iso2,admin,capital,population,population_proper
Kawaala,3623901.827731638,37722.276521703585,Uganda,UG,Kampala,,1420000,1353189
Mbale,3804605.42130247,119653.6517783655,Uganda,UG,Mbale,admin,402368,91800
Jinja,3696270.962654818,47249.32210755676,Uganda,UG,Jinja,admin,301619,89700
Arua,3441002.568524401,336355.0172192706,Uganda,UG,Arua,admin,250000,59400
Old Entebbe,3611791.825606202,3123.1797585054787,Uganda,UG,Wakiso,,175128,79700
Tororo,3804995.150839737,77145.28617747877,Uganda,UG,Tororo,admin,150000,43700
Gulu,3595507.1199370353,308984.3940815063,Uganda,UG,Gulu,admin,146858,142003
Lira,3663493.495188193,248862.1827279834,Uganda,UG,Lira,admin,135445,119323
Mbarara,3412852.874929033,-70197.5956089838,Uganda,UG,Mbarara,admin,83700,83700
Bembe,3623449.4253210546,68648.3818059205,Uganda,UG,Luwero,,75000,21000
Kasese,3338285.9592991224,25603.551646265783,Uganda,UG,Kasese,admin,67269,67269
Masaka,3530601.956871545,-34812.4492857252,Uganda,UG,Masaka,admin,65373,65373
Kitgum,3659943.0713488325,366697.22679991374,Uganda,UG,Kitgum,admin,56891,8680
Busia,3793304.377916628,50589.00509742405,Uganda,UG,Busia,admin,47100,47100
Iganga,3725708.734078155,67813.43785151215,Uganda,UG,Iganga,admin,45024,45024
Kabale,3340017.645297902,-147635.18298790045,Uganda,UG,Kabale,admin,44600,44600
Fort Portal,3371052.962733613,73690.57819670485,Uganda,UG,Kabarole,admin,42670,42670
Mityana,3564759.3407460437,46476.29869784834,Uganda,UG,Mityana,admin,41131,33710
Adjumani,3538946.465901409,376239.8885994444,Uganda,UG,Adjumani,admin,34700,34700
Masindi,3530497.650508671,186424.7921220952,Uganda,UG,Masindi,admin,31486,31486
Pallisa,3752518.141004371,127469.30161976442,Uganda,UG,Pallisa,admin,30745,30745
Nebbi,3460804.4135051803,275964.59322780743,Uganda,UG,Nebbi,admin,30354,30354
Moyo,3531581.4570710342,407805.2035037522,Uganda,UG,Moyo,admin,22434,22434
Kayunga,3661143.429418056,78203.90171340578,Uganda,UG,Kayunga,admin,21704,21704
Mubende,3490979.2312770593,65586.92628203967,Uganda,UG,Mubende,admin,18936,176
Pakwach,3506000.0154477586,274033.9672919887,Uganda,UG,Nebbi,,17541,17541
Ntungamo,3368991.659722594,-97903.10262826,Uganda,UG,Ntungamo,admin,16400,16400
Kiboga,3537084.0908204364,101985.35560009304,Uganda,UG,Kiboga,admin,14512,14512
Sironko,3813444.74546891,137480.53105356052,Uganda,UG,Sironko,admin,14100,14100
Kumi,3777750.59602401,162636.8073612544,Uganda,UG,Kumi,admin,13000,13000
Kisoro,3304880.7612239136,-142905.995071597,Uganda,UG,Kisoro,admin,12900,12900
Kamuli,3686870.5882547805,105449.0742292624,Uganda,UG,Kamuli,admin,12764,12764
Mpami,3599330.165209349,24119.317596709097,Uganda,UG,Mpigi,,11082,11082
Katakwi,3781090.1807478075,210555.74705388513,Uganda,UG,Katakwi,admin,8400,8400
Masindi Port,3571806.19847173,188831.89276893195,Uganda,UG,Kiryandongo,,8319,7828
Nakasongola,3613028.6964684054,145717.53174698545,Uganda,UG,Nakasongola,admin,6921,6921
Kibale,3457954.411901891,88037.92229965827,Uganda,UG,Kibaale,,5200,5200
