city,x,y,country,iso2,admin,capital,population,population_proper
Kiev,3397099.831147896,6521662.458615451,Ukraine,UA,"Kyyiv, Misto",primary,2709000,1662508
Kharkiv,4035634.107632143,6442953.82654427,Ukraine,UA,Kharkivs’ka Oblast’,admin,1461000,1215127
Dnipro,3900484.4534447533,6183608.657915988,Ukraine,UA,Dnipropetrovs’ka Oblast’,admin,1050000,848849
Odesa,3421799.8450430706,5855009.233074508,Ukraine,UA,Odes’ka Oblast’,admin,991000,704001
Donets’k,4205197.069203366,6105468.133535259,Ukraine,UA,Donets’ka Oblast’,admin,988000,760275
L’viv,2675057.5688527115,6418726.724839595,Ukraine,UA,L’vivs’ka Oblast’,admin,803880,717803
Zaporizhzhya,3917367.835335406,6077440.788373075,Ukraine,UA,Zaporiz’ka Oblast’,admin,788000,413557
Kryvyy Rih,3724073.896036364,6092110.814702521,Ukraine,UA,Dnipropetrovs’ka Oblast’,,652380,490907
Mykolayiv,3561934.608667164,5936511.327701017,Ukraine,UA,Mykolayivs’ka Oblast’,admin,510840,194995
Mariupol’,4178164.0214201445,5959344.918744624,Ukraine,UA,Donets’ka Oblast’,,481626,351244
Luhans’k,4376755.098688585,6201714.92663885,Ukraine,UA,Luhans’ka Oblast’,admin,452000,365862
Khmel’nyts’kyy,3005239.861465843,6346704.604769057,Ukraine,UA,Khmel’nyts’ka Oblast’,admin,398346,245840
Horlivka,4236068.413029137,6162896.39010147,Ukraine,UA,Donets’ka Oblast’,,396885,278550
Sevastopol’,3731696.498168434,5556935.818930174,Ukraine,UA,"Sevastopol’, Misto",admin,379200,314465
Makiyivka,4221876.736425866,6114813.403256036,Ukraine,UA,Donets’ka Oblast’,,376610,261155
Simferopol’,3797195.439397816,5614783.8145452775,Ukraine,UA,"Krym, Avtonomna Respublika",admin,358108,253657
Vinnytsya,3170486.8550595194,6314451.30612228,Ukraine,UA,Vinnyts’ka Oblast’,admin,352115,347139
Kherson,3630996.886796839,5886074.001328981,Ukraine,UA,Khersons’ka Oblast’,admin,320477,236680
Poltava,3845056.8091864213,6376211.551858835,Ukraine,UA,Poltavs’ka Oblast’,admin,317847,286588
Chernihiv,3482616.3545312146,6711203.917056452,Ukraine,UA,Chernihivs’ka Oblast’,admin,307684,279629
Chernivtsi,2887665.551123877,6155485.778019853,Ukraine,UA,Chernivets’ka Oblast’,admin,298251,236250
Cherkasy,3569133.3061782927,6347890.293185766,Ukraine,UA,Cherkas’ka Oblast’,admin,297568,273821
Sumy,3873951.007536214,6607436.840016191,Ukraine,UA,Sums’ka Oblast’,admin,294456,285146
Zhytomyr,3192274.6397560514,6492273.299480344,Ukraine,UA,Zhytomyrs’ka Oblast’,admin,282192,274970
Rivne,2919624.152416227,6554889.646442791,Ukraine,UA,Rivnens’ka Oblast’,admin,255106,251416
Ternopil’,2850398.4572740677,6369715.6009450415,Ukraine,UA,Ternopil’s’ka Oblast’,admin,244768,235676
Ivano-Frankivs’k,2750673.0027664048,6261552.745579575,Ukraine,UA,Ivano-Frankivs’ka Oblast’,admin,241239,204200
Kremenchuk,3721130.274741318,6287087.979291575,Ukraine,UA,Poltavs’ka Oblast’,minor,232742,186251
Luts’k,2821107.0709811244,6578829.959110635,Ukraine,UA,Volyns’ka Oblast’,admin,213661,210299
Bila Tserkva,3352062.080243262,6413330.06156012,Ukraine,UA,Kyyivs’ka Oblast’,minor,199163,185674
Krasnotorka,4178116.821956049,6221081.271478461,Ukraine,UA,Donets’ka Oblast’,,184105,173700
Melitopol’,3936850.972614045,5917447.440203162,Ukraine,UA,Zaporiz’ka Oblast’,minor,158000,113700
Kerch,4059888.2869666903,5678485.558733976,Ukraine,UA,"Krym, Avtonomna Respublika",,152195,115749
Uzhhorod,2482424.6446900005,6210066.349071231,Ukraine,UA,Zakarpats’ka Oblast’,admin,150832,117878
Nikopol’,3828986.2822175403,6035809.6613394795,Ukraine,UA,Dnipropetrovs’ka Oblast’,minor,130500,107720
Lysychans’k,4279351.212161414,6258731.485686477,Ukraine,UA,Luhans’ka Oblast’,,124421,111600
Drohobych,2616632.9812632427,6334443.369803617,Ukraine,UA,L’vivs’ka Oblast’,minor,124269,79406
Berdyans’k,4096414.660924761,5904033.463870547,Ukraine,UA,Zaporiz’ka Oblast’,minor,118284,58534
Nizhyn,3549631.4672252005,6629791.241994241,Ukraine,UA,Chernihivs’ka Oblast’,minor,116288,75499
