city,x,y,country,iso2,admin,capital,population,population_proper
London,-10368.853969939468,6712767.34153468,United Kingdom,GB,,primary,8567000,7421209
Birmingham,-213362.39446027126,6884948.685343524,United Kingdom,GB,Birmingham,admin,2285000,984333
Manchester,-246758.24169825338,7076025.276180581,United Kingdom,GB,Manchester,admin,2230000,395515
Leeds,-176255.82331618623,7132369.312295495,United Kingdom,GB,Leeds,admin,1529000,455123
Sheffield,-166979.23618991036,7051111.495120166,United Kingdom,GB,Sheffield,admin,1292900,552700
Glasgow,-473107.8358714127,7525308.262105702,United Kingdom,GB,Glasgow City,admin,1160000,610268
Newcastle upon Tyne,-180275.68144822214,7359548.371174245,United Kingdom,GB,Newcastle upon Tyne,admin,882000,192382
Nottingham,-129872.77636531608,6976834.596067184,United Kingdom,GB,Nottingham,admin,825600,305700
Liverpool,-333958.4723798207,7060445.02993495,United Kingdom,GB,Liverpool,admin,811000,468945
Southend-on-Sea,77923.64355529149,6716181.947681234,United Kingdom,GB,Southend-on-Sea,admin,618386,173600
Bristol,-287575.3141094598,6701282.868773621,United Kingdom,GB,"Bristol, City of",admin,553528,430713
Edinburgh,-356222.37053847546,7548468.502346693,United Kingdom,GB,"Edinburgh, City of",admin,504966,435791
Brighton,-16697.923618991033,6591865.043604825,United Kingdom,GB,Brighton and Hove,,503008,139001
Bradford,-194809.10888822874,7129228.47998395,United Kingdom,GB,Bradford,admin,501700,293717
Leicester,-126162.05245921311,6915460.36606538,United Kingdom,GB,Leicester,admin,457983,339239
Sunderland,-153991.92515753148,7344794.959906219,United Kingdom,GB,Sunderland,admin,452934,177965
Belfast,-660495.6082669263,7284618.101554008,United Kingdom,GB,Belfast,,450406,274770
Portsmouth,-120596.07791954944,6580123.140469525,United Kingdom,GB,Portsmouth,admin,442252,205100
Bournemouth,-209651.6705541683,6571327.600992724,United Kingdom,GB,Bournemouth,admin,426945,163600
Middlesbrough,-129439.85486562108,7279388.643180379,United Kingdom,GB,Redcar and Cleveland,admin,416042,142707
Coventry,-172545.21072957403,6875817.681506911,United Kingdom,GB,Coventry,admin,388271,308313
Southampton,-155847.28711058298,6603623.906655204,United Kingdom,GB,Southampton,admin,384417,384417
Reading,-111319.49079327357,6698306.246038871,United Kingdom,GB,Reading,admin,369804,145700
Sutton on Hull,-35251.20919103356,7129228.47998395,United Kingdom,GB,"Kingston upon Hull, City of",,302296,292501
Blackpool,-339524.44691948436,7135511.393198768,United Kingdom,GB,Blackpool,admin,272792,143101
Plymouth,-460708.06911144074,6515208.547921568,United Kingdom,GB,Plymouth,admin,247297,231575
Luton,-46383.15827036092,6779057.99155278,United Kingdom,GB,Luton,admin,235958,193669
Oxford,-139149.36349159197,6755047.8630344495,United Kingdom,GB,Oxfordshire,admin,192796,154566
Norwich,144715.33803125564,6915460.36606538,United Kingdom,GB,Norfolk,admin,190756,177636
Old Aberdeen,-233770.9306658745,7794260.532019946,United Kingdom,GB,Aberdeen City,,189364,183790
York,-120596.07791954944,7163845.948582826,United Kingdom,GB,York,admin,158947,144202
Dundee,-330247.85979320854,7658602.292988298,United Kingdom,GB,Dundee City,admin,151592,150435
Ipswich,129872.77636531608,6815207.177257663,United Kingdom,GB,Suffolk,admin,143767,134257
Peterborough,-27829.87269831839,6906294.650198962,United Kingdom,GB,Peterborough,admin,140141,140141
Cambridge,12987.311032378848,6836369.119003472,United Kingdom,GB,Cambridgeshire,admin,128488,128488
Exminster,-387762.85582340596,6565469.002675287,United Kingdom,GB,Devon,,113118,103366
Bath,-263332.4893629731,6688689.430500769,United Kingdom,GB,Bath and North East Somerset,admin,93238,92120
Chester,-324681.88525354484,7020078.532642097,United Kingdom,GB,Cheshire West and Chester,admin,89531,77040
Greenock,-528767.5812680495,7545155.572855046,United Kingdom,GB,Inverclyde,admin,74635,43495
Carlisle,-326537.13588710554,7339256.270754422,United Kingdom,GB,Cumbria,admin,72633,65907
Scarborough,-46104.85954337774,7224741.461269247,United Kingdom,GB,North Yorkshire,,70571,70571
Ayr,-513925.01960210985,7449696.34934758,United Kingdom,GB,South Ayrshire,admin,69042,45513
Inverness,-471252.4739183612,7856105.622032028,United Kingdom,GB,Highland,admin,45158,40755
Perth,-382196.8812837423,7638459.950994259,United Kingdom,GB,Perth and Kinross,admin,39654,39654
River,141004.72544464347,6644912.761656353,United Kingdom,GB,Kent,,36384,28156
Dumfries,-395184.19231612113,7374815.58357169,United Kingdom,GB,Dumfries and Galloway,admin,31044,31044
Omagh,-811613.7094501386,7284856.393901593,United Kingdom,GB,Fermanagh and Omagh,admin,21056,16326
Penzance,-617575.8219941257,6465974.562102542,United Kingdom,GB,Cornwall,,20812,15489
Fort William,-569584.7649987467,7722738.948840937,United Kingdom,GB,Highland,,9652,9652
Kirkwall,-328392.49784015707,8173185.830762997,United Kingdom,GB,Orkney Islands,admin,8500,3153
Wick,-343235.0595060966,8058903.522402518,United Kingdom,GB,Highland,,7147,7147
Lerwick,-128017.41441226461,8433209.721803233,United Kingdom,GB,Shetland Islands,admin,6594,4614
Ilford,7881.976545617736,6720895.686025064,United Kingdom,GB,Redbridge,admin,,
Chelmsford,53804.3834435853,6752051.516916597,United Kingdom,GB,Essex,admin,,
Weston-super-Mare,-330371.5357474799,6682697.077729924,United Kingdom,GB,North Somerset,admin,,
Llangefni,-482384.42299768847,7032477.235479334,United Kingdom,GB,Isle of Anglesey,admin,,
Southport,-333958.4723798207,7107278.072617164,United Kingdom,GB,Sefton,admin,,
Armagh,-740226.7463942281,7236363.686067534,United Kingdom,GB,"Armagh, Banbridge and Craigavon",admin,,
Rochester,57515.107349688275,6689383.066639422,United Kingdom,GB,Medway,admin,,
Rochdale,-239336.90520553815,7097889.3042647615,United Kingdom,GB,Rochdale,admin,,
Motherwell,-445277.96317309426,7515403.740522978,United Kingdom,GB,North Lanarkshire,admin,,
Clydach Vale,-386958.90646089695,6732901.51957801,United Kingdom,GB,Rhondda Cynon Taff,admin,,
Kirkintilloch,-463831.24874513684,7541844.266881649,United Kingdom,GB,East Dunbartonshire,admin,,
Stirling,-439711.9886334306,7581675.899037164,United Kingdom,GB,Stirling,admin,,
Lambeth,-12987.311032378848,6710219.083220741,United Kingdom,GB,Lambeth,admin,,
Dungannon,-752995.0919882166,7266063.1982942885,United Kingdom,GB,Mid Ulster,admin,,
Huddersfield,-198519.72147484095,7104147.183689982,United Kingdom,GB,Kirklees,admin,,
Stretford,-257890.1907775807,7066673.422379806,United Kingdom,GB,Trafford,admin,,
