"city, state_name",x,y,population,density
"New York, New York",-8229282.224943669,4967355.015248484,18713220.0,10715
"Los Angeles, California",-13180984.682460986,4044106.286241796,12750807.0,3276
"Chicago, Illinois",-9761183.133597145,5136638.8445921615,8604203.0,4574
"Miami, Florida",-8928958.620426632,2972340.5576109486,6445545.0,5019
"Dallas, Texas",-10771964.110000068,3867939.751815267,5743938.0,1526
"Philadelphia, Pennsylvania",-8363867.489312736,4867061.285616544,5649300.0,4554
"Houston, Texas",-10618643.775330495,3476110.170937185,5464251.0,1399
"Atlanta, Georgia",-9397858.579546059,3996982.7672918392,5449398.0,1441
"Washington, District of Columbia",-8573415.298781997,4708029.844047944,5379184.0,4457
"Boston, Massachusetts",-7913101.475243535,5208854.411200299,4688346.0,5532
"Phoenix, Arizona",-12477701.535476321,3971502.5723097255,4219697.0,1253
"Seattle, Washington",-13617089.919592712,6044049.276350609,3789215.0,3469
"San Francisco, California",-13630292.411200795,4545042.06793131,3592294.0,7256
"Detroit, Michigan",-9250916.851698939,5218585.050841212,3506126.0,1864
"San Diego, California",-13038017.060435183,3872919.9603274823,3220118.0,1686
"Minneapolis, Minnesota",-10382524.003408879,5615777.137336529,2977172.0,3071
"Tampa, Florida",-9177746.550400518,3248242.562024801,2908063.0,1353
"Denver, Colorado",-11674731.784486279,4831431.285067704,2876625.0,1831
"Brooklyn, New York",-8232031.816366264,4960867.682393526,2559903,14221
"Queens, New York",-8215111.2537656855,4975506.972349949,2230722,7885
"Riverside, California",-13068329.357778192,4020493.393800045,2107852.0,1574
"Baltimore, Maryland",-8528675.995432178,4765469.234877615,2106068.0,2830
"Las Vegas, Nevada",-12831285.634082997,4332770.759610168,2104198.0,1773
"Portland, Oregon",-13653335.545795003,5706492.84682004,2074775.0,1894
"San Antonio, Texas",-10967786.226254517,3435066.579729374,2049293.0,1231
"St. Louis, Missouri",-10046038.578588052,4669636.505203756,2024074.0,1879
"Sacramento, California",-13521789.303524591,4659793.753648782,1898019.0,2029
"Orlando, Florida",-9054382.290703412,3309272.102776266,1822394.0,1003
"San Jose, California",-13564124.105873276,4481271.714510232,1798103.0,2218
"Cleveland, Ohio",-9092620.535790903,5082911.12453034,1710093.0,1893
"Pittsburgh, Pennsylvania",-8902909.859581007,4930030.905501387,1703266.0,2093
"Austin, Texas",-10881725.127922237,3542222.2006296003,1687311.0,1181
"Cincinnati, Ohio",-9407176.020925457,4741931.842840858,1662691.0,1507
"Kansas City, Missouri",-10525714.26441627,4739434.755671272,1636715.0,607
"Manhattan, New York",-8233879.719913431,4980445.517872411,1628706,27545
"Indianapolis, Indiana",-9589706.589979185,4833603.731476062,1588961.0,935
"Columbus, Ohio",-9237847.943479808,4863937.103710467,1562009.0,1582
"Charlotte, North Carolina",-8997998.96861662,4192183.562398776,1512923.0,1113
"Virginia Beach, Virginia",-8465123.698138298,4402024.938665113,1478868.0,709
"Bronx, New York",-8222747.770834105,4990256.527162588,1418207,12862
"Milwaukee, Wisconsin",-9792475.042459134,5321748.852431573,1365787.0,2369
"Providence, Rhode Island",-7950293.317117567,5134502.466942793,1203230.0,3773
"Jacksonville, Florida",-9092008.27859154,3546322.926665917,1181496.0,470
"Salt Lake City, Utah",-12460057.396185586,4979607.553004222,1098526.0,699
"Nashville, Tennessee",-9660784.084850691,4324245.239780794,1081903.0,544
"Richmond, Virginia",-8624544.340903345,4513171.507986937,1075798.0,1484
"Memphis, Tennessee",-10016227.218953613,4178104.9673115164,1066967.0,792
"Raleigh, North Carolina",-8754554.37420081,4277598.039638602,1038738.0,1254
"New Orleans, Louisiana",-10010828.223650139,3512383.6480868473,1020886.0,889
"Louisville, Kentucky",-9534347.407207692,4602945.135557163,1005654.0,905
"Oklahoma City, Oklahoma",-10855164.297418961,4227609.085483036,972943.0,417
"Bridgeport, Connecticut",-8148063.524460898,5040673.415359268,924449.0,3470
"Buffalo, New York",-8777397.13371159,5297006.336709275,914341.0,2441
"Fort Worth, Texas",-10836651.866100041,3866284.563866279,909585,1016
"Hartford, Connecticut",-8091079.077123821,5126006.49781437,905152.0,2712
"Tucson, Arizona",-12342904.764074747,3783608.2829845827,888486.0,889
"Omaha, Nebraska",-10692481.993573671,5051167.414710703,847819.0,1309
"El Paso, Texas",-11847833.592669819,3743361.656352099,843386.0,1022
"Honolulu, Hawaii",-17571336.343755063,2431199.6394834784,820987.0,2200
"McAllen, Texas",-10936817.143915828,3027260.3665862055,804114.0,841
"Albuquerque, New Mexico",-11871822.94293577,4178200.216840896,761195.0,1155
"Birmingham, Alabama",-9662387.085518114,3965558.61762896,739573.0,553
"Sarasota, Florida",-9188655.860498259,3165839.410828324,722243.0,1528
"Dayton, Ohio",-9373078.860895475,4833980.336996011,718353.0,978
"Rochester, New York",-8640195.86130888,5337578.220145387,703952.0,2220
"Fresno, California",-13335418.212038495,4408916.693087158,703498.0,1789
"Allentown, Pennsylvania",-8401905.3593168,4952947.810476232,683794.0,2672
"Tulsa, Oklahoma",-10676006.708936268,4318303.427564953,671033.0,784
"Cape Coral, Florida",-9127708.439288942,3079138.9523924766,668382.0,708
"Concord, California",-13581155.987964645,4575499.349262923,652308.0,1633
"Colorado Springs, Colorado",-11661896.647197815,4702695.519256365,642413.0,946
"Charleston, South Carolina",-8901418.178404376,3870813.7107493617,628377.0,480
"Springfield, Massachusetts",-8075060.202398668,5178296.5163692525,623401.0,1860
"Grand Rapids, Michigan",-9535204.5672868,5306189.646913318,609314.0,1734
"Mission Viejo, California",-13097294.689282604,3976487.16926714,590249.0,2058
"Albany, New York",-8215233.705205558,5261331.5909741875,586383.0,1740
"Knoxville, Tennessee",-9345226.724298999,4296384.166728909,586048.0,733
"Bakersfield, California",-13251015.774119033,4211942.8627601005,579295.0,990
"Ogden, Utah",-12464243.009039413,5046000.399187927,578523.0,1230
"Baton Rouge, Louisiana",-10144656.515481815,3560466.465700143,570308.0,983
"Akron, Ohio",-9074976.396500168,5024119.280570165,565208.0,1231
