city,x,y,country,iso2,admin,capital,population,population_proper
Montevideo,-6252908.526994008,-4144608.2131653884,Uruguay,UY,Montevideo,primary,1513000,5324
Rivera,-6183055.546521228,-3619949.2388482904,Uruguay,UY,Rivera,admin,200000,64465
Punta del Este,-6115204.647090366,-4156745.223709851,Uruguay,UY,Maldonado,,159000,9280
Salto,-6452819.853423255,-3682632.9370099264,Uruguay,UY,Salto,admin,105690,99823
Paysandú,-6464941.321456243,-3805572.257893727,Uruguay,UY,Paysandú,admin,79016,73249
Melo,-6029898.517544646,-3812014.112949103,Uruguay,UY,Cerro Largo,admin,55494,51023
Maldonado,-6117006.019090383,-4150299.8337326045,Uruguay,UY,Maldonado,admin,55478,48277
Tacuarembó,-6231788.770561726,-3726212.2101279804,Uruguay,UY,Tacuarembó,admin,54277,51854
Mercedes,-6459777.321597835,-3928867.274493235,Uruguay,UY,Soriano,admin,42359,41544
Artigas,-6285840.617233344,-3555070.4338373523,Uruguay,UY,Artigas,admin,41909,22236
Minas,-6148855.749920737,-4079154.8505107416,Uruguay,UY,Lavalleja,admin,41180,38025
San José,-6313330.297567799,-4074210.561197447,Uruguay,UY,San José,admin,36529,36395
Durazno,-6292179.594317078,-3945926.0337071307,Uruguay,UY,Durazno,admin,34037,33926
Florida,-6257732.445808044,-4041640.090516492,Uruguay,UY,Florida,admin,32234,32234
Treinta y Tres,-6053924.937201031,-3926316.128849248,Uruguay,UY,Treinta y Tres,admin,27684,25653
Rocha,-6048358.962661367,-4093887.957346051,Uruguay,UY,Rocha,admin,26874,25515
Fray Bentos,-6490266.505611713,-3911501.198148127,Uruguay,UY,Río Negro,admin,23279,23279
Bella Unión,-6411912.166946542,-3536970.9584012576,Uruguay,UY,Artigas,,22723,13171
Colonia del Sacramento,-6438850.036565134,-4090058.8944230773,Uruguay,UY,Colonia,admin,21714,21714
Trinidad,-6333862.621047163,-3964122.3761902517,Uruguay,UY,Flores,admin,21093,21093
Canelones,-6264813.589936893,-4099216.2171359058,Uruguay,UY,Canelones,admin,19698,19698
Carmelo,-6488184.385855915,-4027832.463466594,Uruguay,UY,Colonia,,16921,13306
Santa Lucía,-6277367.979469577,-4089837.2218212737,Uruguay,UY,Canelones,,16438,14091
Paso de los Toros,-6291406.591773008,-3870994.7804135615,Uruguay,UY,Durazno,,13221,9679
Castillos,-5995333.25905588,-4055576.0703946115,Uruguay,UY,Rocha,,7686,7686
Tranqueras,-6206061.611725002,-3658750.2802829933,Uruguay,UY,Rivera,,7474,2077
Lascano,-6034239.866366093,-3984891.5652453187,Uruguay,UY,Rocha,,6976,3455
Vergara,-6005686.5282971095,-3886458.373729037,Uruguay,UY,Treinta y Tres,,3998,3500
La Paloma,-6029966.422434029,-4117787.9297771887,Uruguay,UY,Rocha,,3230,2564
Aiguá,-6095481.95026754,-4056359.6917643775,Uruguay,UY,Maldonado,,2692,2552
Baltasar Brum,-6381496.78775506,-3596315.6785785207,Uruguay,UY,Artigas,,2517,2347
José Batlle y Ordóñez,-6135559.304662425,-3957411.2887477907,Uruguay,UY,Lavalleja,,2438,2438
