city,x,y,country,iso2,admin,capital,population,population_proper
Tashkent,7708874.737434195,5059162.77772887,Uzbekistan,UZ,Toshkent,primary,2184000,1978028
Namangan,7976041.515338052,5012341.663847514,Uzbekistan,UZ,Namangan,admin,750000,449200
Farg‘ona,7990451.155504296,4923266.072472213,Uzbekistan,UZ,Farg‘ona,admin,750000,214000
Samarqand,7453922.156699158,4815813.304704998,Uzbekistan,UZ,Samarqand,admin,708000,596300
Andijon,8053323.735987392,4980247.928098318,Uzbekistan,UZ,Andijon,admin,650000,323900
Shahrisabz,7439945.438032608,4729951.1577407215,Uzbekistan,UZ,Qashqadaryo,,498545,57051
Qarshi,7324822.494197401,4701399.257950842,Uzbekistan,UZ,Qashqadaryo,admin,386361,222898
Qatog‘on,7899512.593682908,4940269.688450745,Uzbekistan,UZ,Farg‘ona,,350000,192500
Kattaqo‘rg‘on,7375596.538462612,4851259.964847596,Uzbekistan,UZ,Samarqand,,247113,59382
Jizzax,7552161.607324223,4882789.1202345425,Uzbekistan,UZ,Jizzax,admin,235352,152642
Nukus,6635785.793005478,5229088.496219038,Uzbekistan,UZ,Qoraqalpog‘iston,admin,230006,226416
Denov,7558466.1866852995,4617277.720304087,Uzbekistan,UZ,Surxondaryo,,217274,68994
Navoiy,7277975.578928394,4878221.049958817,Uzbekistan,UZ,Navoiy,,214828,129725
Angren,7808351.058921463,5014800.353455267,Uzbekistan,UZ,Toshkent,,202070,126957
Iskandar,7759061.237426999,5094386.665336332,Uzbekistan,UZ,Toshkent,,195633,27636
Termiz,7489946.36843426,4471680.495090718,Uzbekistan,UZ,Surxondaryo,admin,177687,140385
Chirchiq,7745857.521304518,5081750.640010123,Uzbekistan,UZ,Toshkent,,167842,142345
Urganch,6749671.7546589915,5093808.1675846,Uzbekistan,UZ,Xorazm,admin,150110,102843
Khiwa,6719677.385781689,5068306.87754997,Uzbekistan,UZ,Xorazm,,149751,55567
Olmaliq,7747650.989620687,4989465.10278164,Uzbekistan,UZ,Toshkent,,121207,118329
Kogon,7185858.700296961,4825738.534354938,Uzbekistan,UZ,Buxoro,,107566,62620
Urgut,7485462.753303579,4779451.286184564,Uzbekistan,UZ,Samarqand,,99675,47373
Guliston,7656630.719293058,4932557.341938645,Uzbekistan,UZ,Sirdaryo,,95520,53373
Zarafshon Shahri,7147546.205109113,5098147.675032096,Uzbekistan,UZ,Navoiy,,63543,47042
Khŭjayli,6619062.377223095,5221152.383734097,Uzbekistan,UZ,Qoraqalpog‘iston,,60401,50000
Qŭnghirot,6549976.944639336,5318569.89898828,Uzbekistan,UZ,Qoraqalpog‘iston,,57758,57758
Chimboy Shahri,6654900.796728062,5301250.369798595,Uzbekistan,UZ,Qoraqalpog‘iston,minor,36917,31638
Mŭynoq,6570230.9693917185,5429660.894913143,Uzbekistan,UZ,Qoraqalpog‘iston,,13000,13000
Qo‘rg‘ontepa,8099803.074297798,4972880.712443568,Uzbekistan,UZ,Andijon,minor,,
Uchqŭrghon Shahri,8023814.386131475,5029128.358270944,Uzbekistan,UZ,Namangan,minor,,
Uchko‘prik,7910455.744905851,4945052.204183304,Uzbekistan,UZ,Farg‘ona,minor,,
Beshrabot,7273089.543838497,4894700.407509897,Uzbekistan,UZ,Navoiy,minor,,
Tomdibuloq,7193143.447774473,5123723.7263314575,Uzbekistan,UZ,Navoiy,minor,,
Mug‘lon Shahar,7281649.456083046,4710043.743705836,Uzbekistan,UZ,Qashqadaryo,minor,,
Beruniy Shahri,6763216.442381771,5116003.314197826,Uzbekistan,UZ,Qoraqalpog‘iston,minor,,
Yangi-Nishon Shahri,7312524.250813032,4670948.970980163,Uzbekistan,UZ,Qashqadaryo,minor,,
