city,x,y,country,iso2,admin,capital,population,population_proper
Nueva Caracas,-7451530.568758955,1175830.0704102938,Venezuela,VE,Distrito Capital,,2985000,1815679
Maracaibo,-7971861.134500292,1194323.125090688,Venezuela,VE,Zulia,admin,2072000,1457300
Valencia,-7570576.74540819,1137209.0108743818,Venezuela,VE,Carabobo,admin,1770000,1369053
Barquisimeto,-7716976.347335149,1127243.1010758448,Venezuela,VE,Lara,admin,1116000,809490
Maracay,-7524209.951102976,1145502.8931748252,Venezuela,VE,Aragua,admin,1007000,1007000
Ciudad Guayana,-6973166.783129738,932963.4442121945,Venezuela,VE,Bolívar,,746535,522100
Barcelona,-7200832.062364584,1134294.2534192046,Venezuela,VE,Anzoátegui,admin,600954,121906
Cabimas,-7952656.073309654,1162806.586360934,Venezuela,VE,Zulia,,441094,200818
San Cristóbal,-8040050.222544183,867272.5257688002,Venezuela,VE,Táchira,admin,438798,246583
Maturín,-7032089.191482035,1090204.100789055,Venezuela,VE,Monagas,admin,410972,304443
Ciudad Bolívar,-7073335.623169231,907993.711557496,Venezuela,VE,Bolívar,admin,338000,297943
Cumaná,-7144206.731704806,1171325.022192543,Venezuela,VE,Sucre,admin,317603,257783
Maiquetía,-7453379.47418154,1186346.2992016722,Venezuela,VE,Vargas,,315442,52564
Los Teques,-7463220.117167665,1157848.9801446095,Venezuela,VE,Miranda,admin,303470,303470
Alto Barinas,-7817534.1376754735,960186.4935754028,Venezuela,VE,Barinas,,284289,238522
Acarigua,-7702823.298595182,1068567.6554746798,Venezuela,VE,Portuguesa,,260921,143704
Punto Fijo,-7814580.831584727,1311084.885365509,Venezuela,VE,Falcón,,234736,131784
El Tigre,-7151769.555270319,993345.1668718329,Venezuela,VE,Anzoátegui,,197440,150999
Porlamar,-7107644.73550968,1227340.1318431497,Venezuela,VE,Nueva Esparta,,196934,87120
Coro,-7756012.307893663,1278010.3237792468,Venezuela,VE,Falcón,admin,195227,172969
Valera,-7859558.024686368,1041852.8244283906,Venezuela,VE,Trujillo,,191167,93756
Ocumare del Tuy,-7433480.55860479,1132059.5461961976,Venezuela,VE,Miranda,,166072,95576
Guanare,-7763650.16079597,1010735.42297697,Venezuela,VE,Portuguesa,admin,151642,112286
Carora,-7801575.48679484,1138738.2951141153,Venezuela,VE,Lara,,149711,93788
Carúpano Arriba,-7037152.669840258,1192049.2810064713,Venezuela,VE,Sucre,,126293,112082
San Fernando,-7510988.980459422,880854.4826695517,Venezuela,VE,Apure,admin,122701,78779
Anaco,-7177322.276464969,1054168.5322954017,Venezuela,VE,Anzoátegui,,117596,82640
Calabozo,-7506193.782074011,997474.4748667693,Venezuela,VE,Guárico,,117132,104682
San Carlos del Zulia,-8005375.870954442,1006024.3312612288,Venezuela,VE,Zulia,,97288,56582
Valle de La Pascua,-7347903.366098988,1030321.0233796021,Venezuela,VE,Guárico,,89080,83467
San Juan de los Morros,-7497791.832186897,1108890.1776306771,Venezuela,VE,Guárico,admin,87739,87739
San Carlos,-7634589.348796501,1080617.474199015,Venezuela,VE,Cojedes,admin,77192,77192
San Felipe,-7652376.644952394,1157333.093018588,Venezuela,VE,Yaracuy,admin,76766,76766
Machiques,-8075672.459598032,1126175.2406683587,Venezuela,VE,Zulia,,62968,26905
Upata,-6946212.549545999,894431.7538117614,Venezuela,VE,Bolívar,,53685,53264
Puerto Ayacucho,-7524919.278898309,629976.9503451748,Venezuela,VE,Amazonas,admin,52526,50719
Tucupita,-6907374.403722624,1012564.9125150903,Venezuela,VE,Delta Amacuro,admin,51534,47874
Trujillo,-7841004.7391143255,1047274.1832757329,Venezuela,VE,Trujillo,admin,50353,38110
Zaraza,-7271892.191395525,1045520.1555848019,Venezuela,VE,Guárico,,41483,29076
Altagracia de Orituco,-7389542.421630211,1103073.642430447,Venezuela,VE,Guárico,,40052,28802
La Asunción,-7109255.63986095,1235830.1441329888,Venezuela,VE,Nueva Esparta,admin,35084,35084
Santa Rita,-7961229.789171061,1179761.3952533882,Venezuela,VE,Zulia,,31810,10380
Guasdalito,-7873889.741209058,808376.7452104251,Venezuela,VE,Apure,,30860,25715
Chaguarama,-7096864.889979732,1030323.0533313364,Venezuela,VE,Anzoátegui,,15000,10000
El Dorado,-6860991.245452265,751282.4832009844,Venezuela,VE,Bolívar,,2383,2383
El Manteco,-6962045.075443563,820442.7384321227,Venezuela,VE,Bolívar,,2215,2215
Esmeralda,-7296992.621499082,352691.3610009926,Venezuela,VE,Amazonas,,150,149
La Guaira,-7450615.745183616,1186821.5023740458,Venezuela,VE,Vargas,admin,,
Barinas,-7815462.036673847,963508.2809279381,Venezuela,VE,Barinas,admin,,
Caracas,-7444957.709425067,1174095.296775277,Venezuela,VE,Distrito Capital,primary,,
Mérida,-7921062.043349652,959805.6259383359,Venezuela,VE,Mérida,admin,,
