city,x,y,country,iso2,admin,capital,population,population_proper
Ho Chi Minh City,11877884.289209465,1206779.4915275509,Vietnam,VN,Hồ Chí Minh,admin,5314000,3467331
Hanoi,11783630.298993781,2395237.518814707,Vietnam,VN,Hà Nội,primary,4378000,1431270
Haiphong,11875947.21875017,2375765.548351157,Vietnam,VN,Hải Phòng,admin,1969000,602695
Cần Thơ,11776294.01059203,1123084.4441152192,Vietnam,VN,Cần Thơ,admin,1121000,259598
Đà Nẵng,12047435.896192625,1813387.344707226,Vietnam,VN,Đà Nẵng,admin,1000000,887069
Huế,11977471.596229052,1858275.9928479448,Vietnam,VN,Thừa Thiên-Huế,admin,950000,340000
Quy Nhơn,12159268.013241,1547716.0713597154,Vietnam,VN,Bình Định,admin,805290,280900
Hiệp Hòa,11892632.229308229,1224547.4156390107,Vietnam,VN,Đồng Nai,,652646,652646
Phú Vinh,11766470.176849017,2121606.277450886,Vietnam,VN,Nghệ An,,593645,435208
Thành Phố Thái Nguyên,11782964.608438838,2462875.664728998,Vietnam,VN,Thái Nguyên,admin,500000,330000
Nha Trang,12155460.5526974,1373955.62205615,Vietnam,VN,Khánh Hòa,admin,411556,283441
Cà Mau,11705513.961399926,1025954.498031622,Vietnam,VN,Cà Mau,admin,356636,204895
Việt Trì,11733294.853522297,2430403.754098347,Vietnam,VN,Phú Thọ,admin,350000,260288
Long Xuyên,11736990.32665816,1162592.8001747858,Vietnam,VN,An Giang,admin,350000,158153
Buôn Ma Thuột,12027352.078941667,1422533.6849759612,Vietnam,VN,Đắk Lắk,admin,349945,146975
Phan Thiết,12033868.27665474,1224043.4566157474,Vietnam,VN,Bình Thuận,admin,336846,160652
Xóm Rạch Giồng,11695967.86978644,1122658.023107353,Vietnam,VN,Kiến Giang,,300000,205660
Sóc Trăng,11796741.50861941,1073696.6088674224,Vietnam,VN,Sóc Trăng,admin,300000,173922
Đà Lạt,12071807.40627047,1338412.3474230305,Vietnam,VN,Lâm Đồng,admin,256019,131377
Quảng Ngãi,12110705.441979889,1703087.4522390543,Vietnam,VN,Quảng Ngãi,admin,250000,119251
Vũng Tàu,11918606.851372987,1158474.4142214737,Vietnam,VN,Bà Rịa-Vũng Tàu,admin,248767,209683
Thủ Dầu Một,11872435.756732587,1229883.7229014123,Vietnam,VN,Bình Dương,admin,244277,244277
Thành Phố Nam Định,11819601.411331773,2324502.138691775,Vietnam,VN,Nam Định,admin,243186,243186
Thành phố Bạc Liêu,11769560.851191401,1039186.4734994699,Vietnam,VN,Bạc Liêu,admin,225000,150000
Thành Phố Thái Bình,11837716.654707547,2326416.494530247,Vietnam,VN,Thái Bình,admin,210000,210000
Tinh Xa,11775746.763975292,2249353.171430874,Vietnam,VN,Thanh Hóa,,197551,197551
Sơn Vi,11747916.891276974,2405795.3303568484,Vietnam,VN,Hà Nội,,189547,40636
Động Hỏi,11870368.331149574,1979106.499724388,Vietnam,VN,Quảng Bình,,189265,31040
Phan Rang-Tháp Chàm,12132553.33920145,1296164.2033507116,Vietnam,VN,Ninh Thuận,admin,179773,91520
Hà Tĩnh,11789368.039507737,2077714.3178425904,Vietnam,VN,Hà Tĩnh,admin,165396,165396
Cao Lãnh,11759005.537074381,1170943.6468490337,Vietnam,VN,Đồng Tháp,admin,149837,149837
Thành Phố Lạng Sơn,11884581.269775588,2493841.9540720363,Vietnam,VN,Lạng Sơn,admin,148000,148000
Cam Ranh,12157943.756578526,1334329.8696704558,Vietnam,VN,Khánh Hòa,,146771,23883
Plei Khưn,12026215.618260156,1568480.802180709,Vietnam,VN,Gia Lai,,142900,114225
Tân An,11845914.444648543,1179516.481234514,Vietnam,VN,Long An,admin,137498,64801
Cẩm Phả Mines,11944581.362118255,2393866.060606136,Vietnam,VN,Quảng Ninh,,135477,16374
Trà Vinh,11837965.008491505,1112920.7610070482,Vietnam,VN,Trà Vinh,admin,131360,131360
Thành Phố Ninh Bình,11797600.783768846,2303629.831678931,Vietnam,VN,Ninh Bình,admin,130517,130517
Tây Ninh,11810805.947044708,1267285.2917119828,Vietnam,VN,Tây Ninh,admin,126370,126370
Mỹ Hòa,11842441.610494267,1161740.384455181,Vietnam,VN,Tiền Giang,,124143,122310
Kon Tum,12020649.643720495,1618232.3909686853,Vietnam,VN,Kon Tum,,105489,47409
Thành Phố Hòa Bình,11726126.880190628,2370090.89150673,Vietnam,VN,Hòa Bình,admin,105260,99502
An Long,11793460.700586753,1151059.195906449,Vietnam,VN,Vĩnh Long,,103314,103314
Yên Bái,11678672.049182398,2478286.1272036666,Vietnam,VN,Yên Bái,admin,96540,96540
Quảng Trị,11933449.413038926,1891742.8731838756,Vietnam,VN,Quảng Trị,,72722,72722
Châu Phong,11703389.094959663,1199991.2848184232,Vietnam,VN,An Giang,,70239,70239
Tuy Hòa,12169551.26252252,1470640.1128233075,Vietnam,VN,Phú Yên,admin,69596,69596
Lào Cai,11573961.03996007,2569922.6404975276,Vietnam,VN,Lào Cai,admin,67206,36502
Hàn Thượng,11835117.23327803,2385917.619785344,Vietnam,VN,Hải Dương,,58030,58030
Bắc Giang,11821528.463036899,2424469.5706986887,Vietnam,VN,Bắc Giang,admin,53728,53728
Nà Hoàng,11827695.896785317,2589746.57686298,Vietnam,VN,Cao Bằng,,41112,41112
Thành Phố Hà Giang,11686717.776698973,2610667.687992364,Vietnam,VN,Hà Giang,admin,38362,32690
Thành Phố Tuyên Quang,11712395.621001275,2490354.5203874097,Vietnam,VN,Tuyên Quang,admin,36430,36430
Bắc Kạn,11781477.157402858,2529184.5945652802,Vietnam,VN,Bắc Kạn,admin,29227,29227
Bản Lân,11566095.093421126,2431669.659033738,Vietnam,VN,Sơn La,,19054,19054
Đông Hà,11922403.402606493,1899604.643497218,Vietnam,VN,Quảng Trị,admin,17662,17662
Luân Châu,11501158.760898212,2479538.6273071095,Vietnam,VN,Điện Biên,,7335,7335
Kiến Đức,11968057.86349012,1344817.5445730204,Vietnam,VN,Đắk Nông,minor,,
Kẻ Sặt,11816308.46947462,2381158.8593408526,Vietnam,VN,Hải Dương,minor,,
Lộc Bình,11902652.430633005,2482582.7788157235,Vietnam,VN,Lạng Sơn,minor,,
Phú Hòa,12019049.648679322,1585697.2987122615,Vietnam,VN,Gia Lai,minor,,
Đại Nghĩa,11771447.493921366,2354556.3074055137,Vietnam,VN,Hà Nội,minor,,
Cẩm Xuyên,11800012.965814847,2066865.5698346316,Vietnam,VN,Hà Tĩnh,minor,,
Neo,11827405.018955875,2415799.803233852,Vietnam,VN,Bắc Giang,minor,,
Thị Trấn Hùng Quốc,11835861.404073985,2611349.359514475,Vietnam,VN,Cao Bằng,minor,,
Tam Đảo,11756942.564271001,2438830.1430993066,Vietnam,VN,Vĩnh Phúc,minor,,
Tân Thạnh,11805113.847521974,1187530.4686902124,Vietnam,VN,Long An,minor,,
Phố Mới,11816746.956948854,2410165.1223972277,Vietnam,VN,Bắc Ninh,minor,,
Phát Diệm,11809130.70002776,2283759.485947303,Vietnam,VN,Ninh Bình,minor,,
Vũng Liêm,11820513.451919844,1129715.4112556183,Vietnam,VN,Vĩnh Long,minor,,
Triệu Sơn,11755774.154895635,2251616.420190668,Vietnam,VN,Thanh Hóa,minor,,
Quảng Phú,12031119.01919062,1439134.814676029,Vietnam,VN,Đắk Lắk,minor,,
Rừng Thông,11770120.899549581,2251608.37386391,Vietnam,VN,Thanh Hóa,minor,,
Mường Nhé,11405561.367067635,2534636.3110070676,Vietnam,VN,Điện Biên,minor,,
Sa Thầy,11999505.61963922,1621730.844699236,Vietnam,VN,Kon Tum,minor,,
Gia Ray,11955905.00336073,1223732.9218453756,Vietnam,VN,Đồng Nai,minor,,
Ngọc Lặc,11729468.35734577,2283919.8605012787,Vietnam,VN,Thanh Hóa,minor,,
Đạ Tẻh,11965834.590619996,1290161.4492106421,Vietnam,VN,Lâm Đồng,minor,,
Kỳ Sơn,11727779.751989925,2378371.3874863507,Vietnam,VN,Hòa Bình,minor,,
Thị Trấn Vĩnh Lộc,11718816.30659125,2528774.6419297885,Vietnam,VN,Tuyên Quang,minor,,
Tô Hạp,12128111.580199309,1346370.1999647922,Vietnam,VN,Khánh Hòa,minor,,
Khe Sanh,11882113.3166647,1877593.4852158914,Vietnam,VN,Quảng Trị,minor,,
Cái Nước,11690116.694711365,999519.2819509035,Vietnam,VN,Cà Mau,minor,,
Khánh Vĩnh,12123216.082952693,1377994.7696495892,Vietnam,VN,Khánh Hòa,minor,,
Cầu Diễn,11773883.275699412,2396564.117723125,Vietnam,VN,Hà Nội,minor,,
Chờ,11794824.920946425,2415134.874833557,Vietnam,VN,Bắc Ninh,minor,,
Tiên Lãng,11861526.557954337,2359075.5681828125,Vietnam,VN,Hải Phòng,minor,,
Gò Quao,11719040.83800418,1088743.5773425826,Vietnam,VN,Kiến Giang,minor,,
Phú Quốc,11572630.549406108,1143321.220583168,Vietnam,VN,Kiến Giang,minor,,
Vân Tùng,11799517.928039288,2563329.416965679,Vietnam,VN,Bắc Kạn,minor,,
Quận Chín,11885685.559124257,1213933.4413915526,Vietnam,VN,Hồ Chí Minh,minor,,
Ba Tri,11865567.12151166,1123894.793383457,Vietnam,VN,Bến Tre,minor,,
Trà Ôn,11791147.370248578,1114663.3206504139,Vietnam,VN,Vĩnh Long,minor,,
Khoái Châu,11797367.235477163,2372705.1961460337,Vietnam,VN,Hưng Yên,minor,,
Nhà Bàng,11689497.758342553,1189610.1114255546,Vietnam,VN,An Giang,minor,,
Thị Trấn Long Điền,11934813.74471809,1173819.2896800856,Vietnam,VN,Bà Rịa-Vũng Tàu,minor,,
Anh Sơn,11697008.150427904,2146989.55197735,Vietnam,VN,Nghệ An,minor,,
Thị Trấn Ngan Dừa,11738660.898256496,1069980.894093934,Vietnam,VN,Bạc Liêu,minor,,
Văn Quan,11859895.393455744,2495343.280098203,Vietnam,VN,Lạng Sơn,minor,,
Lạc Dương,12069153.549609957,1346169.5555478607,Vietnam,VN,Lâm Đồng,minor,,
Chí Thạnh,12157782.343316874,1494993.5900149865,Vietnam,VN,Phú Yên,minor,,
Đống Đa,11781049.356599739,2394273.909299796,Vietnam,VN,Hà Nội,minor,,
Ba Đình,11779219.041532116,2395941.773906455,Vietnam,VN,Hà Nội,minor,,
Tân Trụ,11856374.35796195,1176891.378099553,Vietnam,VN,Long An,minor,,
Bến Tre,11841705.67734063,1146194.7396749104,Vietnam,VN,Bến Tre,admin,,
Thốt Nốt,11747969.100118155,1149664.0150424906,Vietnam,VN,Cần Thơ,minor,,
Cầu Kè,11805985.701773869,1104469.6408564006,Vietnam,VN,Trà Vinh,minor,,
Cầu Giát,11758776.775520802,2172132.966755057,Vietnam,VN,Nghệ An,minor,,
Nàng Mau,11748044.01813546,1090787.4901759601,Vietnam,VN,Hậu Giang,minor,,
Tân Việt,11739647.188944925,2615589.063619473,Vietnam,VN,Cao Bằng,minor,,
Pác Miầu,11743464.890881678,2611434.389270281,Vietnam,VN,Cao Bằng,minor,,
Phú Thọ,11713282.614703916,2439594.368847048,Vietnam,VN,Phú Thọ,minor,,
Mường Chiên,11528922.955096962,2492613.835983776,Vietnam,VN,Sơn La,minor,,
Chợ Chu,11760035.24236422,2500391.3254443957,Vietnam,VN,Thái Nguyên,minor,,
Hậu Lộc,11787192.188740693,2262898.0385627,Vietnam,VN,Thanh Hóa,minor,,
Yên Thành,11740995.601936903,2154766.025955339,Vietnam,VN,Nghệ An,minor,,
Cam Lâm,12151639.845134392,1351852.1820143117,Vietnam,VN,Khánh Hòa,minor,,
Gia Lộc,11833261.98264447,2376125.4489641935,Vietnam,VN,Hải Dương,minor,,
Phú Lộc,11771046.74375451,1054331.8170524864,Vietnam,VN,Sóc Trăng,minor,,
Lộc Ninh,11865625.675563818,1328045.7064094504,Vietnam,VN,Bình Phước,minor,,
Gio Linh,11920579.210110862,1912073.304693198,Vietnam,VN,Quảng Trị,minor,,
Điện Biên Đông,11490408.192394342,2427296.0837374656,Vietnam,VN,Điện Biên,minor,,
Tam Điệp,11790667.360604277,2291561.7207885524,Vietnam,VN,Ninh Bình,minor,,
Đức Phổ,12129295.129025422,1667722.2304870044,Vietnam,VN,Quảng Ngãi,minor,,
Đức Phong,11938384.206065793,1324486.4884170638,Vietnam,VN,Bình Phước,minor,,
Mộ Đức,12121118.823746147,1684029.574811841,Vietnam,VN,Quảng Ngãi,minor,,
Nam Giang,11819629.686482435,2312547.5904958425,Vietnam,VN,Nam Định,minor,,
Đô Lương,11722829.59687333,2142992.3956120634,Vietnam,VN,Nghệ An,minor,,
Vũ Thư,11832277.80702637,2324837.617605428,Vietnam,VN,Thái Bình,minor,,
Thị Trấn Yên Thế,11662661.96869702,2524827.297692073,Vietnam,VN,Yên Bái,minor,,
Ea Drăng,12045914.381392462,1483105.254353927,Vietnam,VN,Đắk Lắk,minor,,
Bình Minh,11780074.754457844,1126600.5721110478,Vietnam,VN,Vĩnh Long,minor,,
An Phú,11698607.811510604,1211237.25970579,Vietnam,VN,An Giang,minor,,
An Lão,12121567.886572009,1644571.2997529674,Vietnam,VN,Bình Định,minor,,
Đồng Lê,11802689.309012497,2023962.4197712147,Vietnam,VN,Quảng Bình,minor,,
Lũng Hồ,11715244.509409657,2630179.107144149,Vietnam,VN,Hà Giang,minor,,
Thị Trấn Yên Minh,11704308.593953617,2646285.7937350287,Vietnam,VN,Hà Giang,minor,,
Thị Trấn Đất Đỏ,11941257.918720622,1174426.2138083188,Vietnam,VN,Bà Rịa-Vũng Tàu,minor,,
Ea T’ling,12010903.733621033,1412819.0303752976,Vietnam,VN,Đắk Nông,minor,,
Bút Sơn,11783704.437774649,2256212.7371869734,Vietnam,VN,Thanh Hóa,minor,,
Bích Động,11811074.672295483,2424605.5158194304,Vietnam,VN,Bắc Giang,minor,,
Phù Cát,12140285.368392969,1574578.859731168,Vietnam,VN,Bình Định,minor,,
Phùng,11761907.524879873,2402497.0392078157,Vietnam,VN,Hà Nội,minor,,
Tam Bình,11799885.059719924,1124329.0295021387,Vietnam,VN,Vĩnh Long,minor,,
Tĩnh Gia,11775221.335978748,2207569.3407208323,Vietnam,VN,Thanh Hóa,minor,,
Phước Vĩnh,11888401.53206063,1265539.1109415216,Vietnam,VN,Bình Dương,minor,,
Long Thành,11905652.379590392,1208197.1290859762,Vietnam,VN,Đồng Nai,minor,,
Đầm Dơi,11710367.713837493,1005134.969143247,Vietnam,VN,Cà Mau,minor,,
Thành Phố Hải Dương,11836937.195633011,2384844.1420088843,Vietnam,VN,Hải Dương,admin,,
Thị Trấn Na Hang,11731116.665045943,2553499.8191000307,Vietnam,VN,Tuyên Quang,minor,,
Đăk Đoa,12034980.024409294,1573643.605828457,Vietnam,VN,Gia Lai,minor,,
Bắc Sơn,11835573.977148756,2499521.8263372486,Vietnam,VN,Lạng Sơn,minor,,
Ia Pa,12073187.100039361,1520763.0510778353,Vietnam,VN,Gia Lai,minor,,
Châu Thành,11803150.283023873,1267470.4500379683,Vietnam,VN,Tây Ninh,minor,,
Me,11781626.214201031,2314180.1410140498,Vietnam,VN,Ninh Bình,minor,,
Trới,11910185.086616512,2395624.169891203,Vietnam,VN,Quảng Ninh,minor,,
Cái Nhum,11812167.4957366,1138577.3564442927,Vietnam,VN,Vĩnh Long,minor,,
Pleiku,12022505.005673544,1572304.456157597,Vietnam,VN,Gia Lai,admin,,
Sơn Tây,11744969.48511924,2408643.676381804,Vietnam,VN,Hà Nội,minor,,
Yên Định,11832792.659671286,2296911.2514886507,Vietnam,VN,Nam Định,minor,,
Lắk,12042188.07275765,1392503.5627018844,Vietnam,VN,Đắk Lắk,minor,,
A Lưới,11937217.46648279,1836276.1698127748,Vietnam,VN,Thừa Thiên-Huế,minor,,
Thạnh Mỹ,12004334.993108304,1775660.8699084518,Vietnam,VN,Quảng Nam,minor,,
Chư Ty,11988675.01242147,1551861.946517864,Vietnam,VN,Gia Lai,minor,,
Thanh Lưu,11794598.608421642,2329265.5902765566,Vietnam,VN,Hà Nam,minor,,
Ô Môn,11757918.724885767,1131296.7330981416,Vietnam,VN,Cần Thơ,minor,,
Thị Trấn Quảng Uyên,11849108.200839404,2595174.0346100777,Vietnam,VN,Cao Bằng,minor,,
Phụng Hiệp,11770232.88695732,1093998.9480764333,Vietnam,VN,Hậu Giang,minor,,
Cù Lao Dung,11816424.130425552,1081960.806458029,Vietnam,VN,Sóc Trăng,minor,,
Dương Minh Châu,11825555.890894309,1275698.1769642509,Vietnam,VN,Tây Ninh,minor,,
Giồng Trôm,11856200.03163937,1135873.3999296178,Vietnam,VN,Bến Tre,minor,,
Nam Sách,11837283.62188836,2390931.018328163,Vietnam,VN,Hải Dương,minor,,
