city,x,y,country,iso2,admin,capital,population,population_proper
Sanaa,4921063.660107811,1730114.786570666,Yemen,YE,Amānat al ‘Āşimah,primary,2008000,1835853
Aden,5013458.837466228,1434545.3951123406,Yemen,YE,‘Adan,admin,1000000,550602
Al Ḩudaydah,4781674.848391523,1665909.658113791,Yemen,YE,Al Ḩudaydah,admin,780000,475221
Ta‘izz,4900385.062817543,1526019.8550983802,Yemen,YE,Ta‘izz,admin,751000,615222
Al Mukallā,5468485.8276845245,1636528.4834721868,Yemen,YE,Ḩaḑramawt,admin,258132,130029
Ibb,4917799.327359789,1567422.2342470577,Yemen,YE,Ibb,admin,234837,234837
Ḩajjah,4854177.789342635,1769341.7506057878,Yemen,YE,Ḩajjah,admin,208287,43549
Dhamār,4943158.130001478,1636558.499539184,Yemen,YE,Dhamār,admin,191259,191259
Zabīd,4821823.892538479,1596609.4112181761,Yemen,YE,Al Ḩudaydah,minor,152504,52590
Say’ūn,5431648.983666631,1798161.3394173263,Yemen,YE,Ḩaḑramawt,minor,68747,68747
Laḩij,4996235.15189222,1466207.0837970087,Yemen,YE,Laḩij,admin,66288,23375
Ash Shiḩr,5522044.5290119285,1661586.1296879903,Yemen,YE,Ḩaḑramawt,minor,54274,54274
Radā‘,4991241.916132688,1621883.0221797149,Yemen,YE,Al Bayḑā’,minor,45233,45233
Al Bayḑā’,5073131.873144944,1572521.6202484665,Yemen,YE,Al Bayḑā’,admin,37821,37821
‘Ataq,5213299.698657803,1635974.6301487135,Yemen,YE,Shabwah,admin,37315,37315
Al Ghayz̧ah,5808211.317604381,1828807.7442121732,Yemen,YE,Al Mahrah,admin,27404,20000
Ma’rib,5045589.427371854,1742384.008966487,Yemen,YE,Ma’rib,admin,16794,16794
Ḩadībū,6013738.9349831315,1419782.6429964637,Yemen,YE,Arkhabīl Suquţrá,admin,11396,8545
Sayḩūt,5704629.199338186,1713477.9738687738,Yemen,YE,Al Mahrah,minor,189,189
Bājil,4818721.41833007,1695998.773208286,Yemen,YE,Al Ḩudaydah,minor,,
Burūm,5452397.712236099,1615966.0060331996,Yemen,YE,Ḩaḑramawt,minor,,
Ḩaydān,4835019.148379658,1895113.2725589825,Yemen,YE,Şa‘dah,minor,,
Kirsh,4952655.5749974875,1501433.2069214778,Yemen,YE,Laḩij,minor,,
Ḑawrān ad Daydah,4921061.099759522,1659169.6817034658,Yemen,YE,Dhamār,minor,,
Bayḩān,5089403.665753177,1666238.6103041652,Yemen,YE,Shabwah,minor,,
Ḩarīb,5065432.683203208,1681314.280552549,Yemen,YE,Ma’rib,minor,,
Al Ghayl,4973760.08065953,1817202.5708479187,Yemen,YE,Al Jawf,minor,,
Bayt al Faqīh,4822856.714774058,1633523.8360439746,Yemen,YE,Al Ḩudaydah,minor,,
Jiblah,4914386.383091558,1565225.5167847488,Yemen,YE,Ibb,minor,,
Al Tuḩaytā’,4811937.385922146,1595284.358272665,Yemen,YE,Al Ḩudaydah,minor,,
Bayt as Sayyid,4944255.9628196815,1747411.7535144715,Yemen,YE,Şan‘ā’,minor,,
Al Ḩarjah,4972166.319509843,1745585.2820837575,Yemen,YE,Ma’rib,minor,,
Nişāb,5175631.965960629,1632497.3371828771,Yemen,YE,Shabwah,minor,,
Al Manşūrah,5007336.042833616,1443763.9036927565,Yemen,YE,‘Adan,minor,,
Al Manşūrīyah,4820047.122145927,1652992.750638652,Yemen,YE,Al Ḩudaydah,minor,,
Ḩūth,4894555.038445718,1831505.292157371,Yemen,YE,‘Amrān,minor,,
Al Ḩuşūn,5050221.431383762,1743876.651004209,Yemen,YE,Ma’rib,minor,,
As Suwaydā,5035025.541654044,1549783.541430885,Yemen,YE,Laḩij,minor,,
Al Misrākh,4900332.074739926,1512403.5138587067,Yemen,YE,Ta‘izz,minor,,
Ḩabābah,4884213.01247306,1751996.2804351896,Yemen,YE,‘Amrān,minor,,
Madīnat Lab‘ūs,5037206.958395629,1558924.024031252,Yemen,YE,Laḩij,minor,,
Al ‘Ayn,4908308.450213736,1497464.785013856,Yemen,YE,Ta‘izz,minor,,
Ḩabūr,4865439.982226191,1810626.3632834607,Yemen,YE,‘Amrān,minor,,
Al Qaflah,4872222.790119716,1841691.33326783,Yemen,YE,‘Amrān,minor,,
Ḩabīl ar Raydah,4992787.141984388,1533450.8761131472,Yemen,YE,Laḩij,minor,,
Ḩadādah,4928627.3742292505,1479773.0523937289,Yemen,YE,Laḩij,minor,,
Aş Şalw,4922222.273367987,1497330.2489528898,Yemen,YE,Ta‘izz,minor,,
Bi’r Ḩāt,5799262.23242002,1958336.3196343458,Yemen,YE,Al Mahrah,minor,,
Al Ḩadīyah,4850240.196314297,1634676.5262208094,Yemen,YE,Raymah,minor,,
Mocha,4814920.970914387,1496195.6417639146,Yemen,YE,Ta‘izz,minor,,
Sharas,4859012.506147278,1771432.901978907,Yemen,YE,Ḩajjah,minor,,
Al Ḩajab,5068269.660426075,1672140.9133531018,Yemen,YE,Shabwah,minor,,
Rajūzah,4944203.531339518,1885996.2409045205,Yemen,YE,Al Jawf,minor,,
