city,x,y,country,iso2,admin,capital,population,population_proper
Lusaka,3148486.2274965905,-1737266.788567025,Zambia,ZM,Lusaka,primary,1328000,1267440
Kitwe,3144516.4631354115,-1436451.2573197412,Zambia,ZM,Copperbelt,,404901,400914
Ndola,3187810.9508142225,-1455011.0376605303,Zambia,ZM,Copperbelt,admin,396339,394518
Kasama,3471035.4539455175,-1142962.2023807622,Zambia,ZM,Northern,admin,200000,113000
Kabwe,3167233.542941086,-1625115.283182746,Zambia,ZM,Central,admin,188979,188355
Chingola,3104012.421132316,-1405968.3724644387,Zambia,ZM,Copperbelt,,182015,148564
Livingstone,2878081.944841993,-2019056.0461814827,Zambia,ZM,Southern,admin,165480,109203
Mufulira,3143741.56816,-1408346.3279628593,Zambia,ZM,Copperbelt,,153624,120500
Luanshya,3163322.6665905365,-1475350.9283792393,Zambia,ZM,Copperbelt,,151993,113365
Chipata,3634581.374400382,-1532183.0406322249,Zambia,ZM,Eastern,admin,85963,78947
Chililabombwe,3097226.607612539,-1387248.1527628493,Zambia,ZM,Copperbelt,,82068,57328
Solwezi,2937652.4552696887,-1364924.5243250139,Zambia,ZM,North-Western,admin,65000,38587
Mazabuka,3088893.119212264,-1788053.9051044625,Zambia,ZM,Southern,,64006,51743
Mongu,2574531.838525736,-1717838.5416661939,Zambia,ZM,Western,admin,52534,37663
Kafue,3137134.8677009097,-1777999.427702752,Zambia,ZM,Lusaka,,47554,3897
Choma,3000400.357923096,-1898309.4069240019,Zambia,ZM,Southern,,46746,37902
Mansa,3216500.3213009555,-1254767.5749934064,Zambia,ZM,Luapula,admin,42277,20437
Kapiri Mposhi,3192738.174115714,-1570222.2724311133,Zambia,ZM,Central,,37942,22214
Mpika,3501317.0271090674,-1326857.473286218,Zambia,ZM,Muchinga,,28445,6040
Nchelenge,3198649.4617158184,-1044930.796410813,Zambia,ZM,Luapula,,23693,8115
Kawambwa,3237074.389589369,-1095328.974833483,Zambia,ZM,Luapula,,20589,20121
Mbala,3491632.454049034,-988019.1529339132,Zambia,ZM,Northern,,20570,16198
Sesheke,2704711.63404666,-1976297.5438129783,Zambia,ZM,Western,,20149,206
Mumbwa,3012515.146786637,-1686701.2629369737,Zambia,ZM,Central,,19086,9731
Kaoma,2760723.3716731844,-1664242.6267971736,Zambia,ZM,Western,,14212,306
Chinsali,3571310.047501264,-1180142.3005479453,Zambia,ZM,Muchinga,admin,14015,950
Mwinilunga,2712484.962769263,-1328642.1717503835,Zambia,ZM,North-Western,,13798,2875
Lundazi,3693380.44075688,-1379063.202376364,Zambia,ZM,Eastern,,11635,7446
Senanga,2590033.522896662,-1818237.4137723204,Zambia,ZM,Western,,10005,10005
Masambo,2528807.8029603614,-1689200.139607893,Zambia,ZM,Western,,7731,7731
Zambezi,2571999.54274917,-1521864.20831377,Zambia,ZM,North-Western,,7074,2901
Kasempa,2875805.683894252,-1512147.5740357172,Zambia,ZM,North-Western,,5622,5622
Likulunga,2588178.1609436106,-1614401.992887747,Zambia,ZM,Western,,3349,3349
Nyimba,3430298.8655261546,-1638147.7917064622,Zambia,ZM,Eastern,,1336,292
