file, n, labels sol, time
afghanistan, 287, 140, 1
albania, 26, 16, 0
algeria, 60, 56, 0
angola, 49, 47, 0
argentina, 528, 383, 5
australia, 219, 207, 0
austria, 80, 47, 0
azerbaijan, 73, 46, 0
belarus, 106, 83, 0
belgium, 47, 21, 0
bolivia, 66, 61, 0
bosnia-and-herzegovina, 138, 36, 0
botswana, 25, 25, 0
brazil, 382, 349, 2
bulgaria, 39, 28, 0
burkina-faso, 52, 43, 0
burma, 38, 36, 0
burundi, 25, 10, 0
cambodia, 73, 38, 0
cameroon, 30, 28, 0
canada, 1738, 709, 41
chad, 27, 26, 0
chile, 84, 72, 0
china, 2187, 1305, 65
colombia, 71, 65, 0
congo-kinshasa, 85, 84, 0
cote-divoire, 119, 70, 0
croatia, 556, 65, 2
cuba, 137, 49, 0
denmark, 99, 47, 0
dominican-republic, 34, 20, 0
ecuador, 41, 37, 0
egypt, 43, 37, 0
ethiopia, 35, 33, 0
finland, 324, 201, 2
france, 58, 57, 0
germany, 365, 185, 2
greece, 326, 109, 1
guatemala, 338, 35, 0
guinea, 35, 30, 0
hungary, 177, 58, 0
india, 212, 202, 0
indonesia, 9008, 589, 138
iran, 402, 273, 3
iraq, 125, 74, 0
ireland, 34, 28, 0
italy, 118, 94, 0
japan, 77, 72, 0
jordan, 90, 21, 0
kazakhstan, 92, 90, 0
kenya, 36, 33, 0
korea-north, 36, 26, 0
korea-south, 93, 41, 0
kosovo, 37, 9, 0
kyrgyzstan, 74, 41, 0
laos, 44, 34, 0
latvia, 113, 50, 0
lebanon, 28, 12, 0
libya, 38, 36, 0
lithuania, 56, 46, 0
luxembourg, 106, 9, 0
macedonia, 71, 19, 0
madagascar, 37, 37, 0
malawi, 31, 25, 0
malaysia, 40, 33, 0
mali, 57, 53, 0
malta, 68, 4, 0
mexico, 1189, 293, 13
moldova, 32, 21, 0
mongolia, 331, 280, 2
montenegro, 26, 13, 0
mozambique, 30, 29, 0
namibia, 30, 30, 0
netherlands, 408, 44, 1
new-zealand, 36, 33, 0
niger, 42, 37, 0
nigeria, 750, 222, 7
norway, 416, 257, 3
pakistan, 127, 107, 0
panama, 560, 41, 1
paraguay, 37, 30, 0
peru, 89, 82, 0
philippines, 155, 91, 0
poland, 336, 180, 2
portugal, 285, 61, 1
puerto-rico, 241, 11, 0
romania, 44, 43, 0
russia, 676, 620, 7
saudi-arabia, 31, 30, 0
serbia, 156, 51, 0
slovakia, 71, 32, 0
slovenia, 212, 26, 0
somalia, 33, 32, 0
south-africa, 72, 70, 0
spain, 63, 61, 0
sudan, 32, 32, 0
sweden, 294, 190, 1
switzerland, 111, 29, 0
syria, 273, 67, 0
taiwan, 32, 16, 0
tajikistan, 61, 36, 0
tanzania, 60, 56, 0
thailand, 933, 191, 8
tunisia, 29, 23, 0
turkey, 1620, 380, 22
uganda, 119, 56, 0
ukraine, 509, 284, 5
united-kingdom, 231, 115, 1
united-states, 29488, 3557, 5831
uruguay, 32, 30, 0
uxbekistan, 102, 54, 0
venezuela, 51, 44, 0
vietnam, 624, 128, 3
world, 61756, 14741, 98030
yemen, 298, 86, 0
zambia, 34, 33, 0
