file, n, temperature, max tries, labels sol, time, lables init, labels max during
generated_n100_d1, 100, 1.0, log(n)*sqrt(n), 74, 20, 57, 74
generated_n100_d0_5, 100, 1.0, log(n)*sqrt(n), 87, 12, 66, 87
generated_n100_d0_3, 100, 1.0, log(n)*sqrt(n), 96, 4, 83, 96
generated_n100_d0_1, 100, 1.0, log(n)*sqrt(n), 100, 2, 95, 100
generated_n100_d0_01, 100, 1.0, log(n)*sqrt(n), 100, 1, 100, 100
generated_n1000_d1, 1000, 1.0, log(n)*sqrt(n), 654, 268, 483, 654
generated_n1000_d0_5, 1000, 1.0, log(n)*sqrt(n), 878, 165, 710, 878
generated_n1000_d0_3, 1000, 1.0, log(n)*sqrt(n), 942, 146, 804, 942
generated_n1000_d0_1, 1000, 1.0, log(n)*sqrt(n), 995, 128, 929, 995
generated_n1000_d0_01, 1000, 1.0, log(n)*sqrt(n), 1000, 123, 994, 1000
generated_n10000_d1, 10000, 1.0, log(n)*sqrt(n), 6401, 12618, 4953, 6401
generated_n10000_d0_5, 10000, 1.0, log(n)*sqrt(n), 8284, 12157, 6760, 8284
generated_n10000_d0_3, 10000, 1.0, log(n)*sqrt(n), 9316, 12058, 7935, 9316
generated_n10000_d0_1, 10000, 1.0, log(n)*sqrt(n), 9954, 11917, 9445, 9954
generated_n10000_d0_01, 10000, 1.0, log(n)*sqrt(n), 5321, 40953, 4613, 5321
generated_n100000_d1, 100000, 1.0, log(n)*sqrt(n), 59967, 1193758, 48268, 59967
generated_n100000_d0_5, 100000, 1.0, log(n)*sqrt(n), 79246, 1189739, 67723, 79246
generated_n100000_d0_3, 100000, 1.0, log(n)*sqrt(n), 89685, 1189755, 80123, 89685
generated_n100000_d0_1, 100000, 1.0, log(n)*sqrt(n), 36853, 9586546, 30715, 36853
