file, n, temperature, max tries, labels sol, time, lables init, labels max during
afghanistan, 287, 1.0, log(n), 158, 13, 0, 158
afghanistan, 287, 1.0, 1*sqrt(n), 157, 21, 0, 157
afghanistan, 287, 1.0, 3*sqrt(n), 172, 43, 0, 172
afghanistan, 287, 1.0, log(n)*sqrt(n), 176, 97, 0, 176
afghanistan, 287, 2.0, log(n), 154, 19, 0, 154
afghanistan, 287, 2.0, 1*sqrt(n), 165, 23, 0, 165
afghanistan, 287, 2.0, 3*sqrt(n), 172, 50, 0, 172
afghanistan, 287, 2.0, log(n)*sqrt(n), 176, 112, 0, 176
afghanistan, 287, 4.0, log(n), 158, 19, 0, 158
afghanistan, 287, 4.0, 1*sqrt(n), 166, 24, 0, 166
afghanistan, 287, 4.0, 3*sqrt(n), 172, 47, 0, 172
afghanistan, 287, 4.0, log(n)*sqrt(n), 177, 118, 0, 177
afghanistan, 287, 8.0, log(n), 153, 19, 0, 153
afghanistan, 287, 8.0, 1*sqrt(n), 163, 27, 0, 163
afghanistan, 287, 8.0, 3*sqrt(n), 167, 57, 0, 167
afghanistan, 287, 8.0, log(n)*sqrt(n), 176, 136, 0, 176
afghanistan, 287, 1.0, log(n), 153, 17, 136, 153
afghanistan, 287, 1.0, 1*sqrt(n), 163, 21, 136, 163
afghanistan, 287, 1.0, 3*sqrt(n), 170, 41, 142, 170
afghanistan, 287, 1.0, log(n)*sqrt(n), 175, 96, 144, 175
afghanistan, 287, 2.0, log(n), 159, 17, 137, 159
afghanistan, 287, 2.0, 1*sqrt(n), 167, 24, 136, 167
afghanistan, 287, 2.0, 3*sqrt(n), 171, 49, 144, 171
afghanistan, 287, 2.0, log(n)*sqrt(n), 179, 114, 136, 179
afghanistan, 287, 4.0, log(n), 162, 18, 130, 162
afghanistan, 287, 4.0, 1*sqrt(n), 161, 28, 141, 161
afghanistan, 287, 4.0, 3*sqrt(n), 173, 52, 136, 173
afghanistan, 287, 4.0, log(n)*sqrt(n), 176, 125, 141, 176
afghanistan, 287, 8.0, log(n), 164, 21, 138, 164
afghanistan, 287, 8.0, 1*sqrt(n), 159, 28, 138, 159
afghanistan, 287, 8.0, 3*sqrt(n), 172, 63, 140, 172
afghanistan, 287, 8.0, log(n)*sqrt(n), 177, 133, 138, 177
albania, 26, 1.0, log(n), 20, 1, 0, 20
albania, 26, 1.0, 1*sqrt(n), 21, 1, 0, 21
albania, 26, 1.0, 3*sqrt(n), 21, 3, 0, 21
albania, 26, 1.0, log(n)*sqrt(n), 21, 3, 0, 21
albania, 26, 2.0, log(n), 19, 1, 0, 19
albania, 26, 2.0, 1*sqrt(n), 20, 1, 0, 20
albania, 26, 2.0, 3*sqrt(n), 20, 4, 0, 20
albania, 26, 2.0, log(n)*sqrt(n), 21, 6, 0, 21
albania, 26, 4.0, log(n), 20, 1, 0, 20
albania, 26, 4.0, 1*sqrt(n), 20, 1, 0, 20
albania, 26, 4.0, 3*sqrt(n), 21, 4, 0, 21
albania, 26, 4.0, log(n)*sqrt(n), 21, 6, 0, 21
albania, 26, 8.0, log(n), 19, 1, 0, 20
albania, 26, 8.0, 1*sqrt(n), 20, 1, 0, 20
albania, 26, 8.0, 3*sqrt(n), 21, 5, 0, 21
albania, 26, 8.0, log(n)*sqrt(n), 21, 8, 0, 21
albania, 26, 1.0, log(n), 20, 1, 19, 20
albania, 26, 1.0, 1*sqrt(n), 20, 1, 19, 20
albania, 26, 1.0, 3*sqrt(n), 21, 3, 17, 21
albania, 26, 1.0, log(n)*sqrt(n), 20, 5, 17, 21
albania, 26, 2.0, log(n), 20, 1, 17, 20
albania, 26, 2.0, 1*sqrt(n), 20, 1, 16, 20
albania, 26, 2.0, 3*sqrt(n), 21, 4, 15, 21
albania, 26, 2.0, log(n)*sqrt(n), 21, 6, 16, 21
albania, 26, 4.0, log(n), 19, 1, 17, 20
albania, 26, 4.0, 1*sqrt(n), 20, 1, 16, 20
albania, 26, 4.0, 3*sqrt(n), 20, 4, 15, 20
albania, 26, 4.0, log(n)*sqrt(n), 21, 7, 16, 21
albania, 26, 8.0, log(n), 20, 1, 14, 20
albania, 26, 8.0, 1*sqrt(n), 21, 1, 16, 21
albania, 26, 8.0, 3*sqrt(n), 21, 4, 15, 21
albania, 26, 8.0, log(n)*sqrt(n), 21, 7, 17, 21
algeria, 60, 1.0, log(n), 53, 0, 0, 53
algeria, 60, 1.0, 1*sqrt(n), 56, 0, 0, 56
algeria, 60, 1.0, 3*sqrt(n), 60, 1, 0, 60
algeria, 60, 1.0, log(n)*sqrt(n), 60, 2, 0, 60
algeria, 60, 2.0, log(n), 55, 0, 0, 55
algeria, 60, 2.0, 1*sqrt(n), 55, 0, 0, 55
algeria, 60, 2.0, 3*sqrt(n), 60, 1, 0, 60
algeria, 60, 2.0, log(n)*sqrt(n), 60, 2, 0, 60
algeria, 60, 4.0, log(n), 57, 0, 0, 57
algeria, 60, 4.0, 1*sqrt(n), 58, 1, 0, 58
algeria, 60, 4.0, 3*sqrt(n), 60, 1, 0, 60
algeria, 60, 4.0, log(n)*sqrt(n), 60, 2, 0, 60
algeria, 60, 8.0, log(n), 54, 0, 0, 54
algeria, 60, 8.0, 1*sqrt(n), 57, 1, 0, 57
algeria, 60, 8.0, 3*sqrt(n), 60, 1, 0, 60
algeria, 60, 8.0, log(n)*sqrt(n), 60, 2, 0, 60
algeria, 60, 1.0, log(n), 60, 0, 59, 60
algeria, 60, 1.0, 1*sqrt(n), 60, 0, 54, 60
algeria, 60, 1.0, 3*sqrt(n), 60, 1, 53, 60
algeria, 60, 1.0, log(n)*sqrt(n), 60, 2, 56, 60
algeria, 60, 2.0, log(n), 60, 0, 55, 60
algeria, 60, 2.0, 1*sqrt(n), 59, 1, 58, 59
algeria, 60, 2.0, 3*sqrt(n), 60, 1, 58, 60
algeria, 60, 2.0, log(n)*sqrt(n), 60, 2, 58, 60
algeria, 60, 4.0, log(n), 58, 0, 57, 58
algeria, 60, 4.0, 1*sqrt(n), 60, 1, 58, 60
algeria, 60, 4.0, 3*sqrt(n), 60, 1, 58, 60
algeria, 60, 4.0, log(n)*sqrt(n), 60, 2, 58, 60
algeria, 60, 8.0, log(n), 59, 0, 55, 59
algeria, 60, 8.0, 1*sqrt(n), 60, 1, 56, 60
algeria, 60, 8.0, 3*sqrt(n), 60, 1, 57, 60
algeria, 60, 8.0, log(n)*sqrt(n), 60, 2, 58, 60
angola, 49, 1.0, log(n), 43, 0, 0, 43
angola, 49, 1.0, 1*sqrt(n), 44, 0, 0, 44
angola, 49, 1.0, 3*sqrt(n), 49, 0, 0, 49
angola, 49, 1.0, log(n)*sqrt(n), 49, 1, 0, 49
angola, 49, 2.0, log(n), 46, 0, 0, 46
angola, 49, 2.0, 1*sqrt(n), 46, 0, 0, 46
angola, 49, 2.0, 3*sqrt(n), 49, 0, 0, 49
angola, 49, 2.0, log(n)*sqrt(n), 49, 1, 0, 49
angola, 49, 4.0, log(n), 44, 0, 0, 44
angola, 49, 4.0, 1*sqrt(n), 48, 0, 0, 48
angola, 49, 4.0, 3*sqrt(n), 49, 0, 0, 49
angola, 49, 4.0, log(n)*sqrt(n), 49, 1, 0, 49
angola, 49, 8.0, log(n), 47, 0, 0, 47
angola, 49, 8.0, 1*sqrt(n), 49, 0, 0, 49
angola, 49, 8.0, 3*sqrt(n), 49, 1, 0, 49
angola, 49, 8.0, log(n)*sqrt(n), 49, 1, 0, 49
angola, 49, 1.0, log(n), 49, 0, 48, 49
angola, 49, 1.0, 1*sqrt(n), 49, 0, 48, 49
angola, 49, 1.0, 3*sqrt(n), 49, 0, 48, 49
angola, 49, 1.0, log(n)*sqrt(n), 49, 1, 49, 49
angola, 49, 2.0, log(n), 49, 0, 47, 49
angola, 49, 2.0, 1*sqrt(n), 49, 0, 47, 49
angola, 49, 2.0, 3*sqrt(n), 49, 0, 46, 49
angola, 49, 2.0, log(n)*sqrt(n), 49, 1, 48, 49
angola, 49, 4.0, log(n), 49, 0, 48, 49
angola, 49, 4.0, 1*sqrt(n), 49, 0, 48, 49
angola, 49, 4.0, 3*sqrt(n), 49, 1, 49, 49
angola, 49, 4.0, log(n)*sqrt(n), 49, 0, 48, 49
angola, 49, 8.0, log(n), 49, 0, 49, 49
angola, 49, 8.0, 1*sqrt(n), 49, 0, 48, 49
angola, 49, 8.0, 3*sqrt(n), 49, 0, 49, 49
angola, 49, 8.0, log(n)*sqrt(n), 49, 1, 47, 49
argentina, 528, 1.0, log(n), 288, 39, 0, 288
argentina, 528, 1.0, 1*sqrt(n), 381, 41, 0, 381
argentina, 528, 1.0, 3*sqrt(n), 435, 53, 0, 435
argentina, 528, 1.0, log(n)*sqrt(n), 447, 87, 0, 447
