file, labels, time
afghanistan, 184, 1841
albania, 21, 29
algeria, 60, 16
angola, 49, 14
australia, 218, 169
austria, 60, 87
azerbaijan, 58, 59
belarus, 101, 49
belgium, 29, 41
bolivia, 66, 22
bosnia-and-herzegovina, 52, 777
botswana, 25, 6
brazil, 381, 462
bulgaria, 33, 20
burkina-faso, 52, 18
burma, 38, 8
burundi, 15, 17
cambodia, 51, 48
cameroon, 30, 6
chad, 27, 5
chile, 84, 27
colombia, 71, 20
congo-kinshasa, 85, 26
cote-divoire, 90, 161
cuba, 65, 387
denmark, 62, 116
dominican-republic, 27, 15
ecuador, 41, 11
egypt, 42, 11
ethiopia, 35, 9
finland, 261, 904
france, 58, 16
germany, 249, 61452
greece, 155, 6133
guatemala, 54, 150723
guinea, 35, 27
hungary, 87, 1838
india, 211, 142
iran, 346, 650
iraq, 97, 152
ireland, 33, 10
italy, 114, 55
japan, 77, 23
jordan, 30, 282
kazakhstan, 92, 26
kenya, 36, 7
korea-north, 35, 10
korea-south, 53, 122
kosovo, 15, 35
kyrgyzstan, 56, 41
laos, 43, 12
latvia, 75, 282
lebanon, 14, 20
libya, 38, 8
lithuania, 55, 17
luxembourg, 13, 1445
macedonia, 27, 140
madagascar, 37, 7
malawi, 30, 9
malaysia, 37, 9
mali, 57, 13
malta, 6, 399
moldova, 26, 13
mongolia, 324, 367
montenegro, 17, 14
mozambique, 30, 6
namibia, 30, 7
netherlands, 72, 309616
new-zealand, 36, 27
niger, 41, 9
norway, 325, 1414
pakistan, 121, 72
paraguay, 34, 10
peru, 88, 26
philippines, 119, 112
poland, 238, 25784
portugal, 92, 62964
puerto-rico, 18, 6983
romania, 44, 29
saudi-arabia, 31, 5
serbia, 69, 3818
slovakia, 43, 91
slovenia, 37, 5847
somalia, 33, 19
south-africa, 72, 16
spain, 63, 15
sudan, 32, 5
sweden, 233, 450
switzerland, 43, 390
syria, 90, 6582
taiwan, 21, 28
tajikistan, 49, 32
tanzania, 60, 15
tunisia, 28, 7
uganda, 75, 161
united-kingdom, 152, 663
uruguay, 32, 7
uxbekistan, 73, 77
venezuela, 50, 12
yemen, 116, 83079
zambia, 34, 24
