file, labels, time
afghanistan, 184, 1668
afghanistan, 184, 1723
afghanistan, 184, 1678
afghanistan, 184, 1877
afghanistan, 184, 1838
afghanistan, 184, 2252
afghanistan, 184, 4905
afghanistan, 184, 12438
afghanistan, 184, 1983
afghanistan, 184, 2132
afghanistan, 184, 1818
afghanistan, 184, 2750
afghanistan, 184, 3734
afghanistan, 184, 3738
afghanistan, 184, 2425
afghanistan, 184, 1805
afghanistan, 184, 7277
afghanistan, 184, 1848
afghanistan, 184, 2526
afghanistan, 184, 6532
afghanistan, 184, 1695
afghanistan, 184, 22962
afghanistan, 184, 2225
afghanistan, 184, 2173
albania, 21, 32
albania, 21, 11
albania, 21, 11
albania, 21, 10
albania, 21, 10
albania, 21, 10
albania, 21, 10
albania, 21, 10
albania, 21, 10
albania, 21, 11
albania, 21, 12
albania, 21, 13
albania, 21, 10
albania, 21, 10
albania, 21, 11
albania, 21, 9
albania, 21, 10
albania, 21, 12
albania, 21, 12
albania, 21, 11
albania, 21, 10
albania, 21, 32
albania, 21, 10
albania, 21, 10
algeria, 60, 14
algeria, 60, 16
algeria, 60, 16
algeria, 60, 16
algeria, 60, 15
algeria, 60, 14
algeria, 60, 15
algeria, 60, 15
algeria, 60, 14
algeria, 60, 13
algeria, 60, 14
algeria, 60, 14
algeria, 60, 14
algeria, 60, 14
algeria, 60, 14
algeria, 60, 16
algeria, 60, 17
algeria, 60, 16
algeria, 60, 17
algeria, 60, 17
algeria, 60, 16
algeria, 60, 18
algeria, 60, 16
algeria, 60, 16
angola, 49, 9
angola, 49, 10
angola, 49, 9
angola, 49, 9
angola, 49, 9
angola, 49, 9
angola, 49, 10
angola, 49, 9
angola, 49, 10
angola, 49, 10
angola, 49, 10
angola, 49, 9
angola, 49, 10
angola, 49, 9
angola, 49, 9
angola, 49, 9
angola, 49, 9
angola, 49, 9
angola, 49, 10
angola, 49, 9
angola, 49, 9
angola, 49, 12
angola, 49, 11
angola, 49, 10
australia, 218, 146
australia, 218, 129
australia, 218, 135
australia, 218, 136
australia, 218, 130
australia, 218, 135
australia, 218, 142
australia, 218, 130
australia, 218, 137
australia, 218, 131
australia, 218, 135
australia, 218, 136
australia, 218, 135
australia, 218, 129
australia, 218, 135
australia, 218, 134
australia, 218, 128
australia, 218, 134
australia, 218, 129
australia, 218, 136
